"date_time";"fuseau_hor";"dt_posix";"puissance"
"2015-09-13T00:59:59+02:00";"+02:00";2015-09-13 01:00:00;526,166666667
"2015-09-13T01:59:59+02:00";"+02:00";2015-09-13 02:00:00;495
"2015-09-13T02:59:59+02:00";"+02:00";2015-09-13 03:00:00;446,166666667
"2015-09-13T03:59:59+02:00";"+02:00";2015-09-13 04:00:00;365,833333333
"2015-09-13T04:59:59+02:00";"+02:00";2015-09-13 05:00:00;341
"2015-09-13T05:59:59+02:00";"+02:00";2015-09-13 06:00:00;352,333333333
"2015-09-13T06:59:59+02:00";"+02:00";2015-09-13 07:00:00;374,833333333
"2015-09-13T07:59:59+02:00";"+02:00";2015-09-13 08:00:00;459,166666667
"2015-09-13T08:59:59+02:00";"+02:00";2015-09-13 09:00:00;555,5
"2015-09-13T09:59:59+02:00";"+02:00";2015-09-13 10:00:00;684,166666667
"2015-09-13T10:59:59+02:00";"+02:00";2015-09-13 11:00:00;744,666666667
"2015-09-13T11:59:59+02:00";"+02:00";2015-09-13 12:00:00;748
"2015-09-13T12:59:59+02:00";"+02:00";2015-09-13 13:00:00;634,5
"2015-09-13T13:59:59+02:00";"+02:00";2015-09-13 14:00:00;615,166666667
"2015-09-13T14:59:59+02:00";"+02:00";2015-09-13 15:00:00;566,166666667
"2015-09-13T15:59:59+02:00";"+02:00";2015-09-13 16:00:00;507,666666667
"2015-09-13T16:59:59+02:00";"+02:00";2015-09-13 17:00:00;458,166666667
"2015-09-13T17:59:59+02:00";"+02:00";2015-09-13 18:00:00;490,833333333
"2015-09-13T18:59:59+02:00";"+02:00";2015-09-13 19:00:00;520,333333333
"2015-09-13T19:59:59+02:00";"+02:00";2015-09-13 20:00:00;545,666666667
"2015-09-13T20:59:59+02:00";"+02:00";2015-09-13 21:00:00;564,833333333
"2015-09-13T21:59:59+02:00";"+02:00";2015-09-13 22:00:00;688,666666667
"2015-09-13T22:59:59+02:00";"+02:00";2015-09-13 23:00:00;746
"2015-09-13T23:59:59+02:00";"+02:00";2015-09-14 00:00:00;612,5
"2015-09-14T00:59:59+02:00";"+02:00";2015-09-14 01:00:00;514,166666667
"2015-09-14T01:59:59+02:00";"+02:00";2015-09-14 02:00:00;411,833333333
"2015-09-14T02:59:59+02:00";"+02:00";2015-09-14 03:00:00;388,333333333
"2015-09-14T03:59:59+02:00";"+02:00";2015-09-14 04:00:00;362,333333333
"2015-09-14T04:59:59+02:00";"+02:00";2015-09-14 05:00:00;332
"2015-09-14T05:59:59+02:00";"+02:00";2015-09-14 06:00:00;329
"2015-09-14T06:59:59+02:00";"+02:00";2015-09-14 07:00:00;395,333333333
"2015-09-14T07:59:59+02:00";"+02:00";2015-09-14 08:00:00;478,333333333
"2015-09-14T08:59:59+02:00";"+02:00";2015-09-14 09:00:00;528,5
"2015-09-14T09:59:59+02:00";"+02:00";2015-09-14 10:00:00;589,666666667
"2015-09-14T10:59:59+02:00";"+02:00";2015-09-14 11:00:00;600,5
"2015-09-14T11:59:59+02:00";"+02:00";2015-09-14 12:00:00;605
"2015-09-14T12:59:59+02:00";"+02:00";2015-09-14 13:00:00;535,166666667
"2015-09-14T13:59:59+02:00";"+02:00";2015-09-14 14:00:00;503,333333333
"2015-09-14T14:59:59+02:00";"+02:00";2015-09-14 15:00:00;440,5
"2015-09-14T15:59:59+02:00";"+02:00";2015-09-14 16:00:00;455,333333333
"2015-09-14T16:59:59+02:00";"+02:00";2015-09-14 17:00:00;434,666666667
"2015-09-14T17:59:59+02:00";"+02:00";2015-09-14 18:00:00;474,666666667
"2015-09-14T18:59:59+02:00";"+02:00";2015-09-14 19:00:00;527,666666667
"2015-09-14T19:59:59+02:00";"+02:00";2015-09-14 20:00:00;541,333333333
"2015-09-14T20:59:59+02:00";"+02:00";2015-09-14 21:00:00;540,166666667
"2015-09-14T21:59:59+02:00";"+02:00";2015-09-14 22:00:00;669
"2015-09-14T22:59:59+02:00";"+02:00";2015-09-14 23:00:00;711,5
"2015-09-14T23:59:59+02:00";"+02:00";2015-09-15 00:00:00;566
"2015-09-15T00:59:59+02:00";"+02:00";2015-09-15 01:00:00;494,166666667
"2015-09-15T01:59:59+02:00";"+02:00";2015-09-15 02:00:00;439,166666667
"2015-09-15T02:59:59+02:00";"+02:00";2015-09-15 03:00:00;375
"2015-09-15T03:59:59+02:00";"+02:00";2015-09-15 04:00:00;374,666666667
"2015-09-15T04:59:59+02:00";"+02:00";2015-09-15 05:00:00;354,5
"2015-09-15T05:59:59+02:00";"+02:00";2015-09-15 06:00:00;357,833333333
"2015-09-15T06:59:59+02:00";"+02:00";2015-09-15 07:00:00;447,666666667
"2015-09-15T07:59:59+02:00";"+02:00";2015-09-15 08:00:00;516,666666667
"2015-09-15T08:59:59+02:00";"+02:00";2015-09-15 09:00:00;566,333333333
"2015-09-15T09:59:59+02:00";"+02:00";2015-09-15 10:00:00;596,5
"2015-09-15T10:59:59+02:00";"+02:00";2015-09-15 11:00:00;618,5
"2015-09-15T11:59:59+02:00";"+02:00";2015-09-15 12:00:00;586,166666667
"2015-09-15T12:59:59+02:00";"+02:00";2015-09-15 13:00:00;517,333333333
"2015-09-15T13:59:59+02:00";"+02:00";2015-09-15 14:00:00;480,833333333
"2015-09-15T14:59:59+02:00";"+02:00";2015-09-15 15:00:00;439,166666667
"2015-09-15T15:59:59+02:00";"+02:00";2015-09-15 16:00:00;462
"2015-09-15T16:59:59+02:00";"+02:00";2015-09-15 17:00:00;491,833333333
"2015-09-15T17:59:59+02:00";"+02:00";2015-09-15 18:00:00;533,833333333
"2015-09-15T18:59:59+02:00";"+02:00";2015-09-15 19:00:00;589,166666667
"2015-09-15T19:59:59+02:00";"+02:00";2015-09-15 20:00:00;587,5
"2015-09-15T20:59:59+02:00";"+02:00";2015-09-15 21:00:00;568,333333333
"2015-09-15T21:59:59+02:00";"+02:00";2015-09-15 22:00:00;702,666666667
"2015-09-15T22:59:59+02:00";"+02:00";2015-09-15 23:00:00;716
"2015-09-15T23:59:59+02:00";"+02:00";2015-09-16 00:00:00;575,833333333
"2015-09-16T00:59:59+02:00";"+02:00";2015-09-16 01:00:00;499
"2015-09-16T01:59:59+02:00";"+02:00";2015-09-16 02:00:00;439,833333333
"2015-09-16T02:59:59+02:00";"+02:00";2015-09-16 03:00:00;389,5
"2015-09-16T03:59:59+02:00";"+02:00";2015-09-16 04:00:00;368,166666667
"2015-09-16T04:59:59+02:00";"+02:00";2015-09-16 05:00:00;353,833333333
"2015-09-16T05:59:59+02:00";"+02:00";2015-09-16 06:00:00;370,166666667
"2015-09-16T06:59:59+02:00";"+02:00";2015-09-16 07:00:00;450,166666667
"2015-09-16T07:59:59+02:00";"+02:00";2015-09-16 08:00:00;539
"2015-09-16T08:59:59+02:00";"+02:00";2015-09-16 09:00:00;620,5
"2015-09-16T09:59:59+02:00";"+02:00";2015-09-16 10:00:00;615,5
"2015-09-16T10:59:59+02:00";"+02:00";2015-09-16 11:00:00;653,666666667
"2015-09-16T11:59:59+02:00";"+02:00";2015-09-16 12:00:00;651,333333333
"2015-09-16T12:59:59+02:00";"+02:00";2015-09-16 13:00:00;578,833333333
"2015-09-16T13:59:59+02:00";"+02:00";2015-09-16 14:00:00;580,666666667
"2015-09-16T14:59:59+02:00";"+02:00";2015-09-16 15:00:00;559
"2015-09-16T15:59:59+02:00";"+02:00";2015-09-16 16:00:00;524,166666667
"2015-09-16T16:59:59+02:00";"+02:00";2015-09-16 17:00:00;511,166666667
"2015-09-16T17:59:59+02:00";"+02:00";2015-09-16 18:00:00;543,666666667
"2015-09-16T18:59:59+02:00";"+02:00";2015-09-16 19:00:00;607,666666667
"2015-09-16T19:59:59+02:00";"+02:00";2015-09-16 20:00:00;589,166666667
"2015-09-16T20:59:59+02:00";"+02:00";2015-09-16 21:00:00;605
"2015-09-16T21:59:59+02:00";"+02:00";2015-09-16 22:00:00;728,5
"2015-09-16T22:59:59+02:00";"+02:00";2015-09-16 23:00:00;724
"2015-09-16T23:59:59+02:00";"+02:00";2015-09-17 00:00:00;596,333333333
"2015-09-17T00:59:59+02:00";"+02:00";2015-09-17 01:00:00;517
"2015-09-17T01:59:59+02:00";"+02:00";2015-09-17 02:00:00;442,333333333
"2015-09-17T02:59:59+02:00";"+02:00";2015-09-17 03:00:00;409,333333333
"2015-09-17T03:59:59+02:00";"+02:00";2015-09-17 04:00:00;393
"2015-09-17T04:59:59+02:00";"+02:00";2015-09-17 05:00:00;371,833333333
"2015-09-17T05:59:59+02:00";"+02:00";2015-09-17 06:00:00;378,5
"2015-09-17T06:59:59+02:00";"+02:00";2015-09-17 07:00:00;412,333333333
"2015-09-17T07:59:59+02:00";"+02:00";2015-09-17 08:00:00;529,166666667
"2015-09-17T08:59:59+02:00";"+02:00";2015-09-17 09:00:00;589,666666667
"2015-09-17T09:59:59+02:00";"+02:00";2015-09-17 10:00:00;620,833333333
"2015-09-17T10:59:59+02:00";"+02:00";2015-09-17 11:00:00;632,166666667
"2015-09-17T11:59:59+02:00";"+02:00";2015-09-17 12:00:00;598,166666667
"2015-09-17T12:59:59+02:00";"+02:00";2015-09-17 13:00:00;539,5
"2015-09-17T13:59:59+02:00";"+02:00";2015-09-17 14:00:00;491,833333333
"2015-09-17T14:59:59+02:00";"+02:00";2015-09-17 15:00:00;464,666666667
"2015-09-17T15:59:59+02:00";"+02:00";2015-09-17 16:00:00;447,5
"2015-09-17T16:59:59+02:00";"+02:00";2015-09-17 17:00:00;454,666666667
"2015-09-17T17:59:59+02:00";"+02:00";2015-09-17 18:00:00;504,666666667
"2015-09-17T18:59:59+02:00";"+02:00";2015-09-17 19:00:00;547,5
"2015-09-17T19:59:59+02:00";"+02:00";2015-09-17 20:00:00;537,833333333
"2015-09-17T20:59:59+02:00";"+02:00";2015-09-17 21:00:00;553,166666667
"2015-09-17T21:59:59+02:00";"+02:00";2015-09-17 22:00:00;690
"2015-09-17T22:59:59+02:00";"+02:00";2015-09-17 23:00:00;717
"2015-09-17T23:59:59+02:00";"+02:00";2015-09-18 00:00:00;576,833333333
"2015-09-18T00:59:59+02:00";"+02:00";2015-09-18 01:00:00;501,5
"2015-09-18T01:59:59+02:00";"+02:00";2015-09-18 02:00:00;412,833333333
"2015-09-18T02:59:59+02:00";"+02:00";2015-09-18 03:00:00;390,833333333
"2015-09-18T03:59:59+02:00";"+02:00";2015-09-18 04:00:00;374,333333333
"2015-09-18T04:59:59+02:00";"+02:00";2015-09-18 05:00:00;353,666666667
"2015-09-18T05:59:59+02:00";"+02:00";2015-09-18 06:00:00;369,833333333
"2015-09-18T06:59:59+02:00";"+02:00";2015-09-18 07:00:00;443,666666667
"2015-09-18T07:59:59+02:00";"+02:00";2015-09-18 08:00:00;479,166666667
"2015-09-18T08:59:59+02:00";"+02:00";2015-09-18 09:00:00;512,5
"2015-09-18T09:59:59+02:00";"+02:00";2015-09-18 10:00:00;548,333333333
"2015-09-18T10:59:59+02:00";"+02:00";2015-09-18 11:00:00;575,333333333
"2015-09-18T11:59:59+02:00";"+02:00";2015-09-18 12:00:00;570,333333333
"2015-09-18T12:59:59+02:00";"+02:00";2015-09-18 13:00:00;528,5
"2015-09-18T13:59:59+02:00";"+02:00";2015-09-18 14:00:00;494,333333333
"2015-09-18T14:59:59+02:00";"+02:00";2015-09-18 15:00:00;468,833333333
"2015-09-18T15:59:59+02:00";"+02:00";2015-09-18 16:00:00;443,666666667
"2015-09-18T16:59:59+02:00";"+02:00";2015-09-18 17:00:00;442,333333333
"2015-09-18T17:59:59+02:00";"+02:00";2015-09-18 18:00:00;499,166666667
"2015-09-18T18:59:59+02:00";"+02:00";2015-09-18 19:00:00;548,333333333
"2015-09-18T19:59:59+02:00";"+02:00";2015-09-18 20:00:00;553,333333333
"2015-09-18T20:59:59+02:00";"+02:00";2015-09-18 21:00:00;574,666666667
"2015-09-18T21:59:59+02:00";"+02:00";2015-09-18 22:00:00;716,5
"2015-09-18T22:59:59+02:00";"+02:00";2015-09-18 23:00:00;714,166666667
"2015-09-18T23:59:59+02:00";"+02:00";2015-09-19 00:00:00;573
"2015-09-19T00:59:59+02:00";"+02:00";2015-09-19 01:00:00;495,666666667
"2015-09-19T01:59:59+02:00";"+02:00";2015-09-19 02:00:00;401,666666667
"2015-09-19T02:59:59+02:00";"+02:00";2015-09-19 03:00:00;372,833333333
"2015-09-19T03:59:59+02:00";"+02:00";2015-09-19 04:00:00;360,333333333
"2015-09-19T04:59:59+02:00";"+02:00";2015-09-19 05:00:00;343,666666667
"2015-09-19T05:59:59+02:00";"+02:00";2015-09-19 06:00:00;333,666666667
"2015-09-19T06:59:59+02:00";"+02:00";2015-09-19 07:00:00;375,5
"2015-09-19T07:59:59+02:00";"+02:00";2015-09-19 08:00:00;470,333333333
"2015-09-19T08:59:59+02:00";"+02:00";2015-09-19 09:00:00;546
"2015-09-19T09:59:59+02:00";"+02:00";2015-09-19 10:00:00;565
"2015-09-19T10:59:59+02:00";"+02:00";2015-09-19 11:00:00;538,833333333
"2015-09-19T11:59:59+02:00";"+02:00";2015-09-19 12:00:00;545,166666667
"2015-09-19T12:59:59+02:00";"+02:00";2015-09-19 13:00:00;507,5
"2015-09-19T13:59:59+02:00";"+02:00";2015-09-19 14:00:00;459
"2015-09-19T14:59:59+02:00";"+02:00";2015-09-19 15:00:00;444,333333333
"2015-09-19T15:59:59+02:00";"+02:00";2015-09-19 16:00:00;419,666666667
"2015-09-19T16:59:59+02:00";"+02:00";2015-09-19 17:00:00;425,5
"2015-09-19T17:59:59+02:00";"+02:00";2015-09-19 18:00:00;471,5
"2015-09-19T18:59:59+02:00";"+02:00";2015-09-19 19:00:00;503,833333333
"2015-09-19T19:59:59+02:00";"+02:00";2015-09-19 20:00:00;506,833333333
"2015-09-19T20:59:59+02:00";"+02:00";2015-09-19 21:00:00;560,833333333
"2015-09-19T21:59:59+02:00";"+02:00";2015-09-19 22:00:00;697,166666667
"2015-09-19T22:59:59+02:00";"+02:00";2015-09-19 23:00:00;715,666666667
"2015-09-19T23:59:59+02:00";"+02:00";2015-09-20 00:00:00;582,5
"2015-09-20T00:59:59+02:00";"+02:00";2015-09-20 01:00:00;496,666666667
"2015-09-20T01:59:59+02:00";"+02:00";2015-09-20 02:00:00;405,5
"2015-09-20T02:59:59+02:00";"+02:00";2015-09-20 03:00:00;361
"2015-09-20T03:59:59+02:00";"+02:00";2015-09-20 04:00:00;355,166666667
"2015-09-20T04:59:59+02:00";"+02:00";2015-09-20 05:00:00;328,333333333
"2015-09-20T05:59:59+02:00";"+02:00";2015-09-20 06:00:00;332,833333333
"2015-09-20T06:59:59+02:00";"+02:00";2015-09-20 07:00:00;357,666666667
"2015-09-20T07:59:59+02:00";"+02:00";2015-09-20 08:00:00;433
"2015-09-20T08:59:59+02:00";"+02:00";2015-09-20 09:00:00;530,333333333
"2015-09-20T09:59:59+02:00";"+02:00";2015-09-20 10:00:00;570,833333333
"2015-09-20T10:59:59+02:00";"+02:00";2015-09-20 11:00:00;567,833333333
"2015-09-20T11:59:59+02:00";"+02:00";2015-09-20 12:00:00;604,333333333
"2015-09-20T12:59:59+02:00";"+02:00";2015-09-20 13:00:00;538,5
"2015-09-20T13:59:59+02:00";"+02:00";2015-09-20 14:00:00;462,333333333
"2015-09-20T14:59:59+02:00";"+02:00";2015-09-20 15:00:00;415,5
"2015-09-20T15:59:59+02:00";"+02:00";2015-09-20 16:00:00;361,166666667
"2015-09-20T16:59:59+02:00";"+02:00";2015-09-20 17:00:00;359,833333333
"2015-09-20T17:59:59+02:00";"+02:00";2015-09-20 18:00:00;412,166666667
"2015-09-20T18:59:59+02:00";"+02:00";2015-09-20 19:00:00;444,166666667
"2015-09-20T19:59:59+02:00";"+02:00";2015-09-20 20:00:00;473,333333333
"2015-09-20T20:59:59+02:00";"+02:00";2015-09-20 21:00:00;504,333333333
"2015-09-20T21:59:59+02:00";"+02:00";2015-09-20 22:00:00;646,333333333
"2015-09-20T22:59:59+02:00";"+02:00";2015-09-20 23:00:00;678,666666667
"2015-09-20T23:59:59+02:00";"+02:00";2015-09-21 00:00:00;550,833333333
"2015-09-21T00:59:59+02:00";"+02:00";2015-09-21 01:00:00;466,333333333
"2015-09-21T01:59:59+02:00";"+02:00";2015-09-21 02:00:00;380,5
"2015-09-21T02:59:59+02:00";"+02:00";2015-09-21 03:00:00;350,166666667
"2015-09-21T03:59:59+02:00";"+02:00";2015-09-21 04:00:00;337,666666667
"2015-09-21T04:59:59+02:00";"+02:00";2015-09-21 05:00:00;319,333333333
"2015-09-21T05:59:59+02:00";"+02:00";2015-09-21 06:00:00;308
"2015-09-21T06:59:59+02:00";"+02:00";2015-09-21 07:00:00;366,333333333
"2015-09-21T07:59:59+02:00";"+02:00";2015-09-21 08:00:00;433,166666667
"2015-09-21T08:59:59+02:00";"+02:00";2015-09-21 09:00:00;511,666666667
"2015-09-21T09:59:59+02:00";"+02:00";2015-09-21 10:00:00;522,333333333
"2015-09-21T10:59:59+02:00";"+02:00";2015-09-21 11:00:00;568,166666667
"2015-09-21T11:59:59+02:00";"+02:00";2015-09-21 12:00:00;580
"2015-09-21T12:59:59+02:00";"+02:00";2015-09-21 13:00:00;554,5
"2015-09-21T13:59:59+02:00";"+02:00";2015-09-21 14:00:00;527,333333333
"2015-09-21T14:59:59+02:00";"+02:00";2015-09-21 15:00:00;499,166666667
"2015-09-21T15:59:59+02:00";"+02:00";2015-09-21 16:00:00;455,5
"2015-09-21T16:59:59+02:00";"+02:00";2015-09-21 17:00:00;437
"2015-09-21T17:59:59+02:00";"+02:00";2015-09-21 18:00:00;446,333333333
"2015-09-21T18:59:59+02:00";"+02:00";2015-09-21 19:00:00;512,833333333
"2015-09-21T19:59:59+02:00";"+02:00";2015-09-21 20:00:00;506
"2015-09-21T20:59:59+02:00";"+02:00";2015-09-21 21:00:00;536
"2015-09-21T21:59:59+02:00";"+02:00";2015-09-21 22:00:00;656,333333333
