"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;513,719665527344;435;18,0964748338721;"September";18,3;1009;97;9;17,8;12,964;20,372;0;0;0
2016-09-13 01:00:00;448,016464233398;422,333333333;6,08124646418754;;;;;;;;;;;
2016-09-13 02:00:00;417,085723876953;376,166666667;10,8779062144218;;;;;;;;;;;
2016-09-13 03:00:00;427,115875244141;407,833333333;4,72804460428845;"September";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3;0
2016-09-13 04:00:00;408,062181472778;399,5;2,14322439869295;;;;;;;;;;;
2016-09-13 05:00:00;333,721138000488;346,333333333;3,64163484095972;;;;;;;;;;;
2016-09-13 06:00:00;356,212127685547;313,833333333;13,5035988377882;"September";17,6;1008,1;99;5;17,4;5,556;14,816;0;6;0
2016-09-13 07:00:00;425,507331848145;362,833333333;17,2734952269735;;;;;;;;;;;
2016-09-13 08:00:00;503,942779541016;445,666666667;13,0761659403079;;;;;;;;;;;
2016-09-13 09:00:00;521,413452148438;503,833333333;3,4892726725999;"September";20,1;1007,2;87;45;17,9;11,112;18,52;0;9;0
2016-09-13 10:00:00;536,688394546509;513,833333333;4,44795223098091;;;;;;;;;;;
2016-09-13 11:00:00;551,095432281494;545,5;1,02574377295951;;;;;;;;;;;
2016-09-13 12:00:00;589,407958984375;555,666666667;6,07221817348917;"September";23,3;1005,8;76;40;18,8;14,816;25,928;0;12;0
2016-09-13 13:00:00;583,723210811615;576,5;1,25294203150303;;;;;;;;;;;
2016-09-13 14:00:00;603,027433395386;588,5;2,46855282844278;;;;;;;;;;;
2016-09-13 15:00:00;584,052185058594;563;3,7392868665353;"September";18,8;1005,1;93;5;17,6;14,816;29,632;0;15;0
2016-09-13 16:00:00;497,40958404541;496,5;0,183199203506577;;;;;;;;;;;
2016-09-13 17:00:00;426,241638183594;449,333333333;5,13910129438205;;;;;;;;;;;
2016-09-13 18:00:00;535,851013183594;505,833333333;5,93430244163695;"September";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18;0
2016-09-13 19:00:00;591,49097442627;561,166666667;5,40379704649567;;;;;;;;;;;
2016-09-13 20:00:00;587,43762588501;542,333333333;8,31671036607943;;;;;;;;;;;
2016-09-13 21:00:00;548,620178222656;512,833333333;6,97826029698007;"September";17,2;1005,1;98;3;16,9;12,964;25,928;0;21;0
2016-09-13 22:00:00;663,636695861816;624,333333333;6,29525294108447;;;;;;;;;;;
2016-09-13 23:00:00;564,514315605164;550,666666667;2,51470622363594;;;;;;;;;;;
2016-09-14 00:00:00;521,540344238281;467,166666667;11,6390319453248;"September";17,5;1005,5;97;9;17;12,964;24,076;3;0;0
2016-09-14 01:00:00;464,366207122803;405,833333333;14,4228847120782;;;;;;;;;;;
2016-09-14 02:00:00;406,441635131836;362,5;12,1218303811961;;;;;;;;;;;
2016-09-14 03:00:00;426,028533935547;396,666666667;7,40215141223248;"September";16,2;1004;97;2,9;15,7;7,408;12,964;0;3;0
2016-09-14 04:00:00;407,908624649048;407,833333333;0,0184612953121198;;;;;;;;;;;
2016-09-14 05:00:00;331,816329956055;330,833333333;0,297127442737237;;;;;;;;;;;
2016-09-14 06:00:00;328,285858154297;317,166666667;3,50578817255444;"September";15,5;1004,6;94;45;14,5;18;36;0;6;0
2016-09-14 07:00:00;377,62032699585;384,833333333;1,87431953325854;;;;;;;;;;;
2016-09-14 08:00:00;444,39136505127;458,833333333;3,14754121650729;;;;;;;;;;;
2016-09-14 09:00:00;534,602416992188;478,333333333;11,7635714967025;"September";18;1005,9;82;29;14,9;28,8;46,8;0;9;0
2016-09-14 10:00:00;541,137780666351;504;7,36860727506971;;;;;;;;;;;
2016-09-14 11:00:00;568,641254425049;492,333333333;15,4992392197902;;;;;;;;;;;
2016-09-14 12:00:00;590,213134765625;519,5;13,6117680010828;"September";20,2;1007,2;65;7;13,4;32,4;54;0;12;0
2016-09-14 13:00:00;576,94250869751;543,333333333;6,18573779715282;;;;;;;;;;;
2016-09-14 14:00:00;612,155174255371;573;6,83336374439286;;;;;;;;;;;
2016-09-14 15:00:00;515,196105957031;539;4,41630687253595;"September";20,4;1007,9;62;28;12,9;25,2;46,8;0;15;0
2016-09-14 16:00:00;422,002639770508;438,833333333;3,83532705564108;;;;;;;;;;;
2016-09-14 17:00:00;377,561157226562;380,5;0,772363409576216;;;;;;;;;;;
2016-09-14 18:00:00;498,843139648438;426;17,0993285559712;"September";18,6;1009,3;63;45;11,4;25,2;43,2;0;18;0
2016-09-14 19:00:00;534,361209869385;480,5;11,2094089218283;;;;;;;;;;;
2016-09-14 20:00:00;532,108325958252;471,833333333;12,7746363741352;;;;;;;;;;;
2016-09-14 21:00:00;525,992431640625;477,166666667;10,2324341544375;"September";13,8;1010,5;89;60;12;3,6;10,8;0;21;0
2016-09-14 22:00:00;657,365097045898;607,166666667;8,26765254661613;;;;;;;;;;;
2016-09-14 23:00:00;655,670043945312;539,833333333;21,4578655039921;;;;;;;;;;;
2016-09-15 00:00:00;547,595581054688;445,333333333;22,9630795782404;"September";13,4;1010,4;89;60;11,6;10,8;14,4;0;0;0
2016-09-15 01:00:00;487,06604385376;393,166666667;23,8828428622332;;;;;;;;;;;
2016-09-15 02:00:00;420,488067626953;358,5;17,2909533129576;;;;;;;;;;;
2016-09-15 03:00:00;397,281707763672;383,833333333;3,50370154511947;"September";12,7;1009,8;94;60;11,8;7,2;7,2;0;3;0
2016-09-15 04:00:00;378,423025131226;396,833333333;4,63930488075343;;;;;;;;;;;
2016-09-15 05:00:00;312,135246276855;316;1,22302333010903;;;;;;;;;;;
2016-09-15 06:00:00;372,763885498047;294;26,7904372442336;"September";13,8;1010,1;92;4,6;12,5;7,2;18;;6;0
2016-09-15 07:00:00;424,249122619629;357,5;18,6710832502459;;;;;;;;;;;
2016-09-15 08:00:00;510,570922851562;459,166666667;11,1951193142342;;;;;;;;;;;
2016-09-15 09:00:00;601,651245117188;503;19,6125735819458;"September";14;1010,8;98;2,9;13,7;7,2;14,4;9;9;0
2016-09-15 10:00:00;614,667678833008;525,5;16,9681596256913;;;;;;;;;;;
2016-09-15 11:00:00;656,522201538086;593,666666667;10,5876813370664;;;;;;;;;;;
2016-09-15 12:00:00;612,784484863281;615,5;0,441188486875508;"September";16,4;1011,4;95;2;15,6;10,8;14,4;0;12;0
2016-09-15 13:00:00;596,6754322052;625,333333333;4,58282000977854;;;;;;;;;;;
2016-09-15 14:00:00;562,63395690918;658;14,4933196186657;;;;;;;;;;;
2016-09-15 15:00:00;609,582763671875;613;0,557461064946982;"September";16,3;1011,8;91;19;14,8;10,8;18;1;15;0
2016-09-15 16:00:00;553,711769104004;522;6,07505155249117;;;;;;;;;;;
2016-09-15 17:00:00;485,784454345703;437;11,1634906969572;;;;;;;;;;;
2016-09-15 18:00:00;577,755310058594;485,5;19,0021235960028;"September";16,1;1012,8;94;18;15,1;7,2;10,8;;18;0
2016-09-15 19:00:00;606,428510665894;557;8,87405936551051;;;;;;;;;;;
2016-09-15 20:00:00;616,835010528564;533,166666667;15,6927184485487;;;;;;;;;;;
2016-09-15 21:00:00;553,831848144531;497,666666667;11,2857029090744;"September";16,2;1014;96;10;15,6;14,4;25,2;0;21;0
2016-09-15 22:00:00;680,407119750977;616,5;10,3661183699881;;;;;;;;;;;
2016-09-15 23:00:00;596,155059814453;541,833333333;10,0255416453066;;;;;;;;;;;
2016-09-16 00:00:00;491,907745361328;442,5;11,1655921720516;"September";15,9;1014,7;95;16;15,1;18;28,8;0;0;0
2016-09-16 01:00:00;418,970123291016;412,5;1,56851473721591;;;;;;;;;;;
2016-09-16 02:00:00;379,184829711914;371,166666667;2,16025946427665;;;;;;;;;;;
2016-09-16 03:00:00;399,847534179688;412;2,94962762628944;"September";15,2;1015,4;92;40;13,9;21,6;32,4;0;3;0
2016-09-16 04:00:00;384,34690952301;407,166666667;5,60452488185945;;;;;;;;;;;
2016-09-16 05:00:00;361,934635162354;341,833333333;5,88043934550165;;;;;;;;;;;
2016-09-16 06:00:00;338,805999755859;328;3,29451212068883;"September";15,1;1016,8;92;15;13,8;18;36;;6;0
2016-09-16 07:00:00;404,489807128906;425,666666667;4,97498657903144;;;;;;;;;;;
2016-09-16 08:00:00;482,755966186523;461,833333333;4,53034273263195;;;;;;;;;;;
2016-09-16 09:00:00;538,154235839844;499,166666667;7,810531386875;"September";16,4;1019;76;13;12,2;28,8;39,6;;9;0
2016-09-16 10:00:00;557,224555969238;506;10,1234300334463;;;;;;;;;;;
2016-09-16 11:00:00;579,525371551514;536,666666667;7,98609407785474;;;;;;;;;;;
2016-09-16 12:00:00;578,880249023438;524,833333333;10,2979197885942;"September";16,6;1020,4;68;16;10,7;25,2;46,8;0;12;0
2016-09-16 13:00:00;526,58793258667;564,5;6,71604382875644;;;;;;;;;;;
2016-09-16 14:00:00;488,557594299316;572,666666667;14,6872652562808;;;;;;;;;;;
2016-09-16 15:00:00;496,114044189453;520,833333333;4,74610351556405;"September";16,7;1021,1;70;19;11,2;28,8;50,4;0;15;0
2016-09-16 16:00:00;471,211536407471;442,166666667;6,5687605896228;;;;;;;;;;;
2016-09-16 17:00:00;485,150478363037;386,666666667;25,4699513006773;;;;;;;;;;;
2016-09-16 18:00:00;466,410522460938;447,833333333;4,14823724479747;"September";14,5;1022,6;80;55;11,1;18;39,6;0;18;0
2016-09-16 19:00:00;513,293121337891;488,166666667;5,14710577074908;;;;;;;;;;;
2016-09-16 20:00:00;513,433227539062;493,5;4,03915451652736;;;;;;;;;;;
2016-09-16 21:00:00;550,654052734375;511,333333333;7,68984082165593;"September";13,3;1024,3;87;45;11,2;14,4;21,6;0;21;0
2016-09-16 22:00:00;677,869132995605;616,5;9,9544416862296;;;;;;;;;;;
2016-09-16 23:00:00;697,78955078125;560,5;24,4941214596343;;;;;;;;;;;
2016-09-17 00:00:00;596,163391113281;461,333333333;29,2261685940127;"September";12,2;1024,3;94;19;11,3;7,2;14,4;;0;1
2016-09-17 01:00:00;524,895965576172;397,666666667;31,9939561380717;;;;;;;;;;;
2016-09-17 02:00:00;432,983551025391;363,333333333;19,1697846859967;;;;;;;;;;;
2016-09-17 03:00:00;391,86865234375;398,666666667;1,70518753927533;"September";12,6;1024,5;95;19;11,8;10,8;18;0;3;1
2016-09-17 04:00:00;373,386367797852;398,666666667;6,34121209091822;;;;;;;;;;;
2016-09-17 05:00:00;308,324699401855;332,166666667;7,17771217213867;;;;;;;;;;;
2016-09-17 06:00:00;319,963531494141;316;1,25428211839893;"September";12,3;1024,7;96;18;11,7;3,6;18;0;6;1
2016-09-17 07:00:00;352,650165557861;369,166666667;4,47399578576716;;;;;;;;;;;
2016-09-17 08:00:00;438,092811584473;452,166666667;3,11253706211212;;;;;;;;;;;
2016-09-17 09:00:00;521,565246582031;515,166666667;1,24204074701271;"September";15,9;1025,3;79;35;12,3;18;28,8;0;9;1
2016-09-17 10:00:00;603,227851867676;510,833333333;18,0870183102257;;;;;;;;;;;
2016-09-17 11:00:00;640,756797790527;534,833333333;19,8049481690732;;;;;;;;;;;
2016-09-17 12:00:00;566,818481445312;524,5;8,06834727270019;"September";17,3;1025;67;25;11,1;18;28,8;0;12;1
2016-09-17 13:00:00;523,492332458496;567,333333333;7,72755597083367;;;;;;;;;;;
2016-09-17 14:00:00;481,682998657227;606,166666667;20,536211384609;;;;;;;;;;;
2016-09-17 15:00:00;488,439086914062;556,666666667;12,2564514526162;"September";16,2;1024,1;71;40;10,9;18;32,4;0;15;1
2016-09-17 16:00:00;461,112476348877;449;2,69765620242248;;;;;;;;;;;
2016-09-17 17:00:00;456,139915466309;401,666666667;13,5618046803145;;;;;;;;;;;
2016-09-17 18:00:00;449,501586914062;454;0,990839886770374;"September";14,5;1024,2;82;55;11,5;7,2;21,6;0;18;1
2016-09-17 19:00:00;488,117137908936;489,666666667;0,316445627923093;;;;;;;;;;;
2016-09-17 20:00:00;507,053512573242;499,833333333;1,44451735383402;;;;;;;;;;;
2016-09-17 21:00:00;544,597839355469;517,666666667;5,20241584451734;"September";12;1024,4;94;17;11,1;7,2;10,8;0;21;1
2016-09-17 22:00:00;695,941101074219;628,666666667;10,7011295451511;;;;;;;;;;;
2016-09-17 23:00:00;674,732940673828;571,333333333;18,097947609257;;;;;;;;;;;
2016-09-18 00:00:00;594,243469238281;473,666666667;25,4560455815334;"September";9,8;1024,2;97;6;9,3;7,2;7,2;0;0;1
2016-09-18 01:00:00;502,743316650391;430,833333333;16,6909052187496;;;;;;;;;;;
2016-09-18 02:00:00;424,761734008789;390,166666667;8,86674088212546;;;;;;;;;;;
2016-09-18 03:00:00;404,414398193359;418,5;3,36573519871938;"September";10,1;1023,7;98;0,6;9,8;3,6;10,8;0;3;1
2016-09-18 04:00:00;401,22240447998;412,666666667;2,77324608732075;;;;;;;;;;;
2016-09-18 05:00:00;310,363929748535;348;10,8149627159382;;;;;;;;;;;
2016-09-18 06:00:00;331,861419677734;311,5;6,53657132511537;"September";10,4;1023,4;99;0,3;10,2;3,6;10,8;0;6;1
2016-09-18 07:00:00;373,924041748047;359,833333333;3,91589858686242;;;;;;;;;;;
2016-09-18 08:00:00;450,469215393066;434,333333333;3,71509180201354;;;;;;;;;;;
2016-09-18 09:00:00;542,322570800781;515;5,30535355354976;"September";15,2;1023,5;79;18;11,6;7,2;18;0;9;1
2016-09-18 10:00:00;584,587841033936;553;5,71208698624513;;;;;;;;;;;
2016-09-18 11:00:00;565,564826965332;582,333333333;2,87953744150159;;;;;;;;;;;
2016-09-18 12:00:00;586,79638671875;581,333333333;0,939745421861197;"September";18;1023,2;63;35;10,8;10,8;25,2;0;12;1
2016-09-18 13:00:00;552,57946395874;582;5,05507492117865;;;;;;;;;;;
2016-09-18 14:00:00;511,420310974121;572,166666667;10,6168987520262;;;;;;;;;;;
2016-09-18 15:00:00;489,810363769531;547,333333333;10,5096777521627;"September";17,7;1023,2;62;50;10,3;10,8;25,2;0;15;1
2016-09-18 16:00:00;459,69637298584;451,333333333;1,85296299546072;;;;;;;;;;;
2016-09-18 17:00:00;460,517532348633;378,166666667;21,7763417403861;;;;;;;;;;;
2016-09-18 18:00:00;435,949188232422;400,166666667;8,94190459776561;"September";15,7;1023,5;75;55;11,3;3,6;14,4;0;18;1
2016-09-18 19:00:00;488,095756530762;445,166666667;9,64337473539413;;;;;;;;;;;
2016-09-18 20:00:00;478,351295471191;453,833333333;5,40241545461831;;;;;;;;;;;
2016-09-18 21:00:00;532,793212890625;450,5;18,2670838824917;"September";14,2;1023,5;86;35;11,9;0;3,6;0;21;1
2016-09-18 22:00:00;670,369247436523;580,166666667;15,5477013679066;;;;;;;;;;;
2016-09-18 23:00:00;663,840286254883;527;25,9658987200916;;;;;;;;;;;
2016-09-19 00:00:00;554,810424804688;453,833333333;22,2498181722574;"September";13,3;1023,3;93;14;12,2;3,6;7,2;0;0;0
2016-09-19 01:00:00;486,666152954102;406,166666667;19,8193236652529;;;;;;;;;;;
2016-09-19 02:00:00;418,10090637207;370,166666667;12,949366872137;;;;;;;;;;;
2016-09-19 03:00:00;380,642425537109;391,166666667;2,6904749373366;"September";13,6;1023;96;22;13;3,6;3,6;0;3;0
2016-09-19 04:00:00;367,494605064392;402,333333333;8,65917024075479;;;;;;;;;;;
2016-09-19 05:00:00;282,933471679688;317,5;10,8870955339567;;;;;;;;;;;
2016-09-19 06:00:00;325,195861816406;304,166666667;6,91370799431776;"September";14,4;1022,9;95;16;13,6;7,2;10,8;0;6;0
2016-09-19 07:00:00;396,150978088379;350,333333333;13,0783001204822;;;;;;;;;;;
2016-09-19 08:00:00;478,433258056641;407,5;17,4069344924271;;;;;;;;;;;
2016-09-19 09:00:00;549,218200683594;476,166666667;15,3415892229351;"September";15,7;1023,1;93;19;14,6;10,8;14,4;;9;0
2016-09-19 10:00:00;582,655727386475;529,166666667;10,108168954855;;;;;;;;;;;
2016-09-19 11:00:00;585,403980255127;561,5;4,25716478274745;;;;;;;;;;;
2016-09-19 12:00:00;570,383239746094;581,833333333;1,96793358698015;"September";16,2;1022,8;92;6;14,9;7,2;14,4;0;12;0
2016-09-19 13:00:00;535,124473571777;579,166666667;7,60440744089737;;;;;;;;;;;
2016-09-19 14:00:00;503,389511108398;567,166666667;11,244870213088;;;;;;;;;;;
2016-09-19 15:00:00;566,850769042969;564,5;0,41643384286426;"September";17;1022;86;40;14,6;14,4;21,6;0;15;0
2016-09-19 16:00:00;486,809173583984;485,833333333;0,20085905680653;;;;;;;;;;;
2016-09-19 17:00:00;414,790954589844;393;5,54477216026559;;;;;;;;;;;
2016-09-19 18:00:00;474,915435791016;457,5;3,80665263191598;"September";15,2;1021,9;91;18;13,7;14,4;21,6;0;18;0
2016-09-19 19:00:00;511,145629882812;499,666666667;2,29732419262271;;;;;;;;;;;
2016-09-19 20:00:00;517,136558532715;473,666666667;9,17731707227676;;;;;;;;;;;
