"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;509,058868408203;435;17,0250272202766;"September";"South";18,3;1009;97;9;17,8;12,964;20,372;0;0;0
2016-09-13 01:00:00;439,95393371582;422,333333333;4,17220214273897;;;;;;;;;;;;
2016-09-13 02:00:00;420,860733032227;376,166666667;11,88145317639;;;;;;;;;;;;
2016-09-13 03:00:00;425,606567382812;407,833333333;4,35796503060737;"September";"East";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3;0
2016-09-13 04:00:00;406,272220611572;399,5;1,69517412054375;;;;;;;;;;;;
2016-09-13 05:00:00;331,646675109863;346,333333333;4,2406135389271;;;;;;;;;;;;
2016-09-13 06:00:00;352,602813720703;313,833333333;12,3535253492547;"September";"South";17,6;1008,1;99;5;17,4;5,556;14,816;0;6;0
2016-09-13 07:00:00;417,343490600586;362,833333333;15,0234700783563;;;;;;;;;;;;
2016-09-13 08:00:00;495,37939453125;445,666666667;11,1546883764127;;;;;;;;;;;;
2016-09-13 09:00:00;531,184020996094;503,833333333;5,42851888781578;"September";"North";20,1;1007,2;87;45;17,9;11,112;18,52;0;9;0
2016-09-13 10:00:00;541,341995239258;513,833333333;5,35361568075426;;;;;;;;;;;;
2016-09-13 11:00:00;556,990634918213;545,5;2,10644086493362;;;;;;;;;;;;
2016-09-13 12:00:00;605,040466308594;555,666666667;8,88550683411473;"September";"North";23,3;1005,8;76;40;18,8;14,816;25,928;0;12;0
2016-09-13 13:00:00;598,196541309357;576,5;3,76349372235155;;;;;;;;;;;;
2016-09-13 14:00:00;621,577598571777;588,5;5,62066245909556;;;;;;;;;;;;
2016-09-13 15:00:00;585,0634765625;563;3,91891235568384;"September";"North";18,8;1005,1;93;5;17,6;14,816;29,632;0;15;0
2016-09-13 16:00:00;501,920455932617;496,5;1,09173331976177;;;;;;;;;;;;
2016-09-13 17:00:00;415,478866577148;449,333333333;7,53437687445326;;;;;;;;;;;;
