"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;504,80712890625;435;16,0476158405172;"September";"South";"Tuesday";18,3;1009;97;9;17,8;12,964;20,372;0;0;0
2016-09-13 01:00:00;439,156097412109;422,333333333;3,98329062646946;;;;;;;;;;;;;
2016-09-13 02:00:00;415,767021179199;376,166666667;10,5273428034109;;;;;;;;;;;;;
2016-09-13 03:00:00;418,868560791016;407,833333333;2,70581793004283;"September";"East";"Tuesday";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3;0
2016-09-13 04:00:00;419,017901539803;399,5;4,88558236290427;;;;;;;;;;;;;
2016-09-13 05:00:00;315,533584594727;346,333333333;8,89309395716162;;;;;;;;;;;;;
2016-09-13 06:00:00;339,485076904297;313,833333333;8,17368355963594;"September";"South";"Tuesday";17,6;1008,1;99;5;17,4;5,556;14,816;0;6;0
2016-09-13 07:00:00;408,080322265625;362,833333333;12,4704608909508;;;;;;;;;;;;;
2016-09-13 08:00:00;489,441223144531;445,666666667;9,82226398148807;;;;;;;;;;;;;
2016-09-13 09:00:00;520,22314453125;503,833333333;3,25302240124265;"September";"North";"Tuesday";20,1;1007,2;87;45;17,9;11,112;18,52;0;9;0
2016-09-13 10:00:00;533,62642288208;513,833333333;3,85204467384227;;;;;;;;;;;;;
2016-09-13 11:00:00;560,599285125732;545,5;2,76797160875021;;;;;;;;;;;;;
2016-09-13 12:00:00;596,570129394531;555,666666667;7,36115106073907;"September";"North";"Tuesday";23,3;1005,8;76;40;18,8;14,816;25,928;0;12;0
2016-09-13 13:00:00;606,225296020508;576,5;5,15616583183136;;;;;;;;;;;;;
2016-09-13 14:00:00;619,023902893066;588,5;5,18672946356269;;;;;;;;;;;;;
2016-09-13 15:00:00;559,32470703125;563;0,652805145426288;"September";"North";"Tuesday";18,8;1005,1;93;5;17,6;14,816;29,632;0;15;0
2016-09-13 16:00:00;475,510246276855;496,5;4,22754354947523;;;;;;;;;;;;;
2016-09-13 17:00:00;388,796295166016;449,333333333;13,4726346069056;;;;;;;;;;;;;
2016-09-13 18:00:00;515,118896484375;505,833333333;1,83569617490237;"September";"North";"Tuesday";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18;0
2016-09-13 19:00:00;565,051662445068;561,166666667;0,692306939958318;;;;;;;;;;;;;
2016-09-13 20:00:00;557,237236022949;542,333333333;2,74810744129533;;;;;;;;;;;;;
2016-09-13 21:00:00;542,703796386719;512,833333333;5,82459468061192;"September";"East";"Tuesday";17,2;1005,1;98;3;16,9;12,964;25,928;0;21;0
2016-09-13 22:00:00;654,229568481445;624,333333333;4,78850536280746;;;;;;;;;;;;;
2016-09-13 23:00:00;557,564336776733;550,666666667;1,25260353082251;;;;;;;;;;;;;
2016-09-14 00:00:00;502,87255859375;467,166666667;7,64307354835344;"September";"East";"Wednesday";17,5;1005,5;97;9;17;12,964;24,076;3;0;0
2016-09-14 01:00:00;440,209991455078;405,833333333;8,47063444487221;;;;;;;;;;;;;
2016-09-14 02:00:00;388,064033508301;362,5;7,05214717470366;;;;;;;;;;;;;
2016-09-14 03:00:00;407,974975585938;396,666666667;2,85083418124235;"September";"East";"Wednesday";16,2;1004;97;2,9;15,7;7,408;12,964;0;3;0
2016-09-14 04:00:00;395,838324546814;407,833333333;2,94115458590825;;;;;;;;;;;;;
2016-09-14 05:00:00;309,747116088867;330,833333333;6,37366768085261;;;;;;;;;;;;;
2016-09-14 06:00:00;337,831939697266;317,166666667;6,51558792335593;"September";"East";"Wednesday";15,5;1004,6;94;45;14,5;18;36;0;6;0
2016-09-14 07:00:00;402,708625793457;384,833333333;4,64494390484345;;;;;;;;;;;;;
2016-09-14 08:00:00;494,872009277344;458,833333333;7,85441538925607;;;;;;;;;;;;;
2016-09-14 09:00:00;532,6513671875;478,333333333;11,3556865201124;"September";"East";"Wednesday";18;1005,9;82;29;14,9;28,8;46,8;0;9;0
2016-09-14 10:00:00;553,275037765503;504;9,77679320744106;;;;;;;;;;;;;
2016-09-14 11:00:00;549,272205352783;492,333333333;11,5651060297539;;;;;;;;;;;;;
2016-09-14 12:00:00;600,465637207031;519,5;15,5853007135768;"September";"South";"Wednesday";20,2;1007,2;65;7;13,4;32,4;54;0;12;0
2016-09-14 13:00:00;609,932393074036;543,333333333;12,2574956578668;;;;;;;;;;;;;
2016-09-14 14:00:00;615,746638298035;573;7,46014629983153;;;;;;;;;;;;;
2016-09-14 15:00:00;511,144561767578;539;5,16798482976287;"September";"South";"Wednesday";20,4;1007,9;62;28;12,9;25,2;46,8;0;15;0
2016-09-14 16:00:00;413,663375854492;438,833333333;5,73565305245581;;;;;;;;;;;;;
2016-09-14 17:00:00;371,749282836914;380,5;2,29979426099499;;;;;;;;;;;;;
2016-09-14 18:00:00;496,448303222656;426;16,5371603809052;"September";"East";"Wednesday";18,6;1009,3;63;45;11,4;25,2;43,2;0;18;0
2016-09-14 19:00:00;546,608543395996;480,5;13,7582816640991;;;;;;;;;;;;;
2016-09-14 20:00:00;551,163433074951;471,833333333;16,8131613723788;;;;;;;;;;;;;
2016-09-14 21:00:00;548,526550292969;477,166666667;14,9549179795848;"September";"East";"Wednesday";13,8;1010,5;89;60;12;3,6;10,8;0;21;0
2016-09-14 22:00:00;684,836074829102;607,166666667;12,7921067519175;;;;;;;;;;;;;
2016-09-14 23:00:00;671,415641784668;539,833333333;24,3746171877275;;;;;;;;;;;;;
2016-09-15 00:00:00;531,365234375;445,333333333;19,3185406531582;"September";"North";"Thursday";13,4;1010,4;89;60;11,6;10,8;14,4;0;0;0
2016-09-15 01:00:00;478,874725341797;393,166666667;21,7994214518162;;;;;;;;;;;;;
2016-09-15 02:00:00;395,782196044922;358,5;10,3994968047202;;;;;;;;;;;;;
2016-09-15 03:00:00;402,036285400391;383,833333333;4,74241043875114;"September";"East";"Thursday";12,7;1009,8;94;60;11,8;7,2;7,2;0;3;0
2016-09-15 04:00:00;380,736166000366;396,833333333;4,05640503972632;;;;;;;;;;;;;
2016-09-15 05:00:00;312,808502197266;316;1,00996765909316;;;;;;;;;;;;;
2016-09-15 06:00:00;340,004669189453;294;15,6478466630793;"September";"North";"Thursday";13,8;1010,1;92;4,6;12,5;7,2;18;;6;0
2016-09-15 07:00:00;393,10428237915;357,5;9,95923982633577;;;;;;;;;;;;;
2016-09-15 08:00:00;480,45703125;459,166666667;4,63674001807286;;;;;;;;;;;;;
2016-09-15 09:00:00;597,431396484375;503;18,7736374720427;"September";"West";"Thursday";14;1010,8;98;2,9;13,7;7,2;14,4;9;9;0
2016-09-15 10:00:00;612,259041786194;525,5;16,5098081419969;;;;;;;;;;;;;
2016-09-15 11:00:00;648,103759765625;593,666666667;9,16963948881434;;;;;;;;;;;;;
2016-09-15 12:00:00;629,533874511719;615,5;2,28007709369923;"September";"West";"Thursday";16,4;1011,4;95;2;15,6;10,8;14,4;0;12;0
2016-09-15 13:00:00;591,654968261719;625,333333333;5,38566605617792;;;;;;;;;;;;;
2016-09-15 14:00:00;563,503311157227;658;14,3611989122756;;;;;;;;;;;;;
2016-09-15 15:00:00;584,979187011719;613;4,57109510412418;"September";"North";"Thursday";16,3;1011,8;91;19;14,8;10,8;18;1;15;0
2016-09-15 16:00:00;526,470199584961;522;0,856360073747306;;;;;;;;;;;;;
2016-09-15 17:00:00;460,017356872559;437;5,26712971912096;;;;;;;;;;;;;
2016-09-15 18:00:00;546,9052734375;485,5;12,6478421086509;"September";"West";"Thursday";16,1;1012,8;94;18;15,1;7,2;10,8;;18;0
2016-09-15 19:00:00;571,61236000061;557;2,62340394984028;;;;;;;;;;;;;
2016-09-15 20:00:00;579,744731903076;533,166666667;8,73611726840521;;;;;;;;;;;;;
2016-09-15 21:00:00;536,428100585938;497,666666667;7,78863374124143;"September";"North";"Thursday";16,2;1014;96;10;15,6;14,4;25,2;0;21;0
2016-09-15 22:00:00;674,764053344727;616,5;9,45077913134251;;;;;;;;;;;;;
2016-09-15 23:00:00;574,951751708984;541,833333333;6,11228884208023;;;;;;;;;;;;;
2016-09-16 00:00:00;490,676849365234;442,5;10,8874235853637;"September";"West";"Friday";15,9;1014,7;95;16;15,1;18;28,8;0;0;0
2016-09-16 01:00:00;421,957145690918;412,5;2,29264137961648;;;;;;;;;;;;;
2016-09-16 02:00:00;385,521835327148;371,166666667;3,86758024071905;;;;;;;;;;;;;
2016-09-16 03:00:00;408,7529296875;412;0,788123862257281;"September";"North";"Friday";15,2;1015,4;92;40;13,9;21,6;32,4;0;3;0
