"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend";"vt_north";"vt_east";"vt_south";"vt_west"
2016-09-13 00:00:00;508,521270751953;435;16,9014415521731;"September";18,3;1009;97;9;17,8;12,964;20,372;0;0;0;0;0;0;0
2016-09-13 01:00:00;440,426216125488;422,333333333;4,28402907478356;;;;;;;;;;;;;;;
2016-09-13 02:00:00;423,578346252441;376,166666667;12,603902415259;;;;;;;;;;;;;;;
2016-09-13 03:00:00;428,471618652344;407,833333333;5,06047045019059;"September";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3;0;0;0;0;0
2016-09-13 04:00:00;409,580144882202;399,5;2,52319020831093;;;;;;;;;;;;;;;
2016-09-13 05:00:00;334,54288482666;346,333333333;3,40436434254606;;;;;;;;;;;;;;;
2016-09-13 06:00:00;359,497039794922;313,833333333;14,5503047674892;"September";17,6;1008,1;99;5;17,4;5,556;14,816;0;6;0;0;0;0;0
2016-09-13 07:00:00;427,391693115234;362,833333333;17,7928414650327;;;;;;;;;;;;;;;
2016-09-13 08:00:00;505,418014526367;445,666666667;13,4071835136849;;;;;;;;;;;;;;;
2016-09-13 09:00:00;519,799987792969;503,833333333;3,16903495732306;"September";20,1;1007,2;87;45;17,9;11,112;18,52;0;9;0;0;0;0;0
2016-09-13 10:00:00;534,641303062439;513,833333333;4,04955622370141;;;;;;;;;;;;;;;
2016-09-13 11:00:00;549,30027961731;545,5;0,696659874850517;;;;;;;;;;;;;;;
2016-09-13 12:00:00;594,687133789062;555,666666667;7,02227962604184;"September";23,3;1005,8;76;40;18,8;14,816;25,928;0;12;0;0;0;0;0
2016-09-13 13:00:00;582,899356842041;576,5;1,11003587893166;;;;;;;;;;;;;;;
2016-09-13 14:00:00;612,801458358765;588,5;4,12938969562696;;;;;;;;;;;;;;;
2016-09-13 15:00:00;571,331359863281;563;1,47981525102686;"September";18,8;1005,1;93;5;17,6;14,816;29,632;0;15;0;0;0;0;0
2016-09-13 16:00:00;486,70002746582;496,5;1,97381118513186;;;;;;;;;;;;;;;
2016-09-13 17:00:00;412,228485107422;449,333333333;8,25775553982321;;;;;;;;;;;;;;;
2016-09-13 18:00:00;550,135925292969;505,833333333;8,7583377845136;"September";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18;0;0;0;0;0
2016-09-13 19:00:00;600,766445159912;561,166666667;7,05668758412034;;;;;;;;;;;;;;;
2016-09-13 20:00:00;594,44474029541;542,333333333;9,60874129608644;;;;;;;;;;;;;;;
2016-09-13 21:00:00;553,30078125;512,833333333;7,89095506994337;"September";17,2;1005,1;98;3;16,9;12,964;25,928;0;21;0;0;0;0;0
2016-09-13 22:00:00;663,895133972168;624,333333333;6,33664719260903;;;;;;;;;;;;;;;
2016-09-13 23:00:00;579,568672180176;550,666666667;5,24854821667524;;;;;;;;;;;;;;;
2016-09-14 00:00:00;523,706970214844;467,166666667;12,1028120330653;"September";17,5;1005,5;97;9;17;12,964;24,076;3;0;0;0;0;0;0
2016-09-14 01:00:00;470,314170837402;405,833333333;15,8885020544859;;;;;;;;;;;;;;;
2016-09-14 02:00:00;424,052673339844;362,5;16,9800478178879;;;;;;;;;;;;;;;
2016-09-14 03:00:00;427,046508789062;396,666666667;7,65878372824461;"September";16,2;1004;97;2,9;15,7;7,408;12,964;0;3;0;0;0;0;0
2016-09-14 04:00:00;408,06315612793;407,833333333;0,0563521360678114;;;;;;;;;;;;;;;
2016-09-14 05:00:00;333,425941467285;330,833333333;0,783659889457265;;;;;;;;;;;;;;;
2016-09-14 06:00:00;328,574157714844;317,166666667;3,59668661518605;"September";15,5;1004,6;94;45;14,5;18;36;0;6;0;0;0;0;0
2016-09-14 07:00:00;379,371215820312;384,833333333;1,41934625708763;;;;;;;;;;;;;;;
2016-09-14 08:00:00;444,751190185547;458,833333333;3,0691194654842;;;;;;;;;;;;;;;
2016-09-14 09:00:00;524,01025390625;478,333333333;9,54918200138296;"September";18;1005,9;82;29;14,9;28,8;46,8;0;9;0;0;0;0;0
2016-09-14 10:00:00;528,572381973267;504;4,87547261374337;;;;;;;;;;;;;;;
2016-09-14 11:00:00;550,273012161255;492,333333333;11,7683843253136;;;;;;;;;;;;;;;
2016-09-14 12:00:00;588,408569335938;519,5;13,2644021820861;"September";20,2;1007,2;65;7;13,4;32,4;54;0;12;0;0;0;0;0
2016-09-14 13:00:00;582,73822593689;543,333333333;7,25243422157922;;;;;;;;;;;;;;;
2016-09-14 14:00:00;608,416790008545;573;6,18094066466753;;;;;;;;;;;;;;;
2016-09-14 15:00:00;525,312683105469;539;2,53939088952342;"September";20,4;1007,9;62;28;12,9;25,2;46,8;0;15;0;0;0;0;0
2016-09-14 16:00:00;427,939300537109;438,833333333;2,4824989280438;;;;;;;;;;;;;;;
2016-09-14 17:00:00;388,615539550781;380,5;2,13286190559297;;;;;;;;;;;;;;;
2016-09-14 18:00:00;475,032501220703;426;11,5099768123716;"September";18,6;1009,3;63;45;11,4;25,2;43,2;0;18;0;0;0;0;0
2016-09-14 19:00:00;517,805957794189;480,5;7,76398705394161;;;;;;;;;;;;;;;
2016-09-14 20:00:00;509,599109649658;471,833333333;8,00405008477956;;;;;;;;;;;;;;;
2016-09-14 21:00:00;522,516052246094;477,166666667;9,50388800120057;"September";13,8;1010,5;89;60;12;3,6;10,8;0;21;0;0;0;0;0
2016-09-14 22:00:00;654,214019775391;607,166666667;7,74867193659591;;;;;;;;;;;;;;;
2016-09-14 23:00:00;651,919128417969;539,833333333;20,7630370642244;;;;;;;;;;;;;;;
2016-09-15 00:00:00;544,7861328125;445,333333333;22,3322154520003;"September";13,4;1010,4;89;60;11,6;10,8;14,4;0;0;0;0;0;0;0
2016-09-15 01:00:00;488,004047393799;393,166666667;24,1214194302802;;;;;;;;;;;;;;;
2016-09-15 02:00:00;426,216987609863;358,5;18,8889784127931;;;;;;;;;;;;;;;
2016-09-15 03:00:00;390,474945068359;383,833333333;1,73033740391624;"September";12,7;1009,8;94;60;11,8;7,2;7,2;0;3;0;0;0;0;0
2016-09-15 04:00:00;376,017383575439;396,833333333;5,24551442862109;;;;;;;;;;;;;;;
2016-09-15 05:00:00;302,790451049805;316;4,18023700955548;;;;;;;;;;;;;;;
2016-09-15 06:00:00;372,827087402344;294;26,8119344905931;"September";13,8;1010,1;92;4,6;12,5;7,2;18;;6;0;0;0;0;0
2016-09-15 07:00:00;428,824348449707;357,5;19,9508666992188;;;;;;;;;;;;;;;
2016-09-15 08:00:00;509,5400390625;459,166666667;10,9706074182497;;;;;;;;;;;;;;;
2016-09-15 09:00:00;606,162963867188;503;20,509535560077;"September";14;1010,8;98;2,9;13,7;7,2;14,4;9;9;0;0;0;0;0
2016-09-15 10:00:00;615,364581108093;525,5;17,1007766142899;;;;;;;;;;;;;;;
2016-09-15 11:00:00;650,989574432373;593,666666667;9,65573965727247;;;;;;;;;;;;;;;
2016-09-15 12:00:00;635,070434570312;615,5;3,17959944278026;"September";16,4;1011,4;95;2;15,6;10,8;14,4;0;12;0;0;0;0;0
2016-09-15 13:00:00;620,789585113525;625,333333333;0,726612188615737;;;;;;;;;;;;;;;
2016-09-15 14:00:00;584,816913604736;658;11,1220496041434;;;;;;;;;;;;;;;
2016-09-15 15:00:00;610,371215820312;613;0,428839181025693;"September";16,3;1011,8;91;19;14,8;10,8;18;1;15;0;0;0;0;0
2016-09-15 16:00:00;555,692581176758;522;6,45451746681184;;;;;;;;;;;;;;;
2016-09-15 17:00:00;487,417144775391;437;11,5371040675951;;;;;;;;;;;;;;;
2016-09-15 18:00:00;569,711364746094;485,5;17,3452862504828;"September";16,1;1012,8;94;18;15,1;7,2;10,8;;18;0;0;0;0;0
2016-09-15 19:00:00;590,597087860107;557;6,03179315262252;;;;;;;;;;;;;;;
2016-09-15 20:00:00;602,275993347168;533,166666667;12,9620493929587;;;;;;;;;;;;;;;
2016-09-15 21:00:00;562,29736328125;497,666666667;12,9867441287756;"September";16,2;1014;96;10;15,6;14,4;25,2;0;21;0;0;0;0;0
2016-09-15 22:00:00;690,284568786621;616,5;11,9682998842857;;;;;;;;;;;;;;;
2016-09-15 23:00:00;601,034641265869;541,833333333;10,9261103536584;;;;;;;;;;;;;;;
2016-09-16 00:00:00;500,681182861328;442,5;13,1482899121645;"September";15,9;1014,7;95;16;15,1;18;28,8;0;0;0;0;0;0;0
2016-09-16 01:00:00;417,31169128418;412,5;1,16647061434659;;;;;;;;;;;;;;;
2016-09-16 02:00:00;394,101554870605;371,166666667;6,17913467541577;;;;;;;;;;;;;;;
2016-09-16 03:00:00;393,632537841797;412;4,45812188305901;"September";15,2;1015,4;92;40;13,9;21,6;32,4;0;3;0;0;0;0;0
2016-09-16 04:00:00;377,572805404663;407,166666667;7,26824263503382;;;;;;;;;;;;;;;
2016-09-16 05:00:00;355,433338165283;341,833333333;3,9785484638605;;;;;;;;;;;;;;;
2016-09-16 06:00:00;341,858947753906;328;4,22528894936166;"September";15,1;1016,8;92;15;13,8;18;36;;6;0;0;0;0;0
2016-09-16 07:00:00;404,846138000488;425,666666667;4,89127533277105;;;;;;;;;;;;;;;
2016-09-16 08:00:00;487,713424682617;461,833333333;5,60377293748882;;;;;;;;;;;;;;;
2016-09-16 09:00:00;536,750305175781;499,166666667;7,52927649591108;"September";16,4;1019;76;13;12,2;28,8;39,6;;9;0;0;0;0;0
2016-09-16 10:00:00;551,018261909485;506;8,89688970543179;;;;;;;;;;;;;;;
2016-09-16 11:00:00;566,287702560425;536,666666667;5,5194476820012;;;;;;;;;;;;;;;
2016-09-16 12:00:00;570,375366210938;524,833333333;8,6774276680787;"September";16,6;1020,4;68;16;10,7;25,2;46,8;0;12;0;0;0;0;0
2016-09-16 13:00:00;519,584148406982;564,5;7,95674961789505;;;;;;;;;;;;;;;
2016-09-16 14:00:00;490,33910369873;572,666666667;14,3761751399688;;;;;;;;;;;;;;;
2016-09-16 15:00:00;503,413696289062;520,833333333;3,34457031243815;"September";16,7;1021,1;70;19;11,2;28,8;50,4;0;15;0;0;0;0;0
2016-09-16 16:00:00;478,127042770386;442,166666667;8,13276504410674;;;;;;;;;;;;;;;
2016-09-16 17:00:00;490,94877243042;386,666666667;26,969510111206;;;;;;;;;;;;;;;
2016-09-16 18:00:00;480,586853027344;447,833333333;7,31377440142199;"September";14,5;1022,6;80;55;11,1;18;39,6;0;18;0;0;0;0;0
2016-09-16 19:00:00;521,515522003174;488,166666667;6,83144868613541;;;;;;;;;;;;;;;
2016-09-16 20:00:00;521,25883102417;493,5;5,62488977186827;;;;;;;;;;;;;;;
2016-09-16 21:00:00;550,445068359375;511,333333333;7,64897034414612;"September";13,3;1024,3;87;45;11,2;14,4;21,6;0;21;0;0;0;0;0
2016-09-16 22:00:00;679,705184936523;616,5;10,2522603303363;;;;;;;;;;;;;;;
2016-09-16 23:00:00;691,774169921875;560,5;23,4209045355709;;;;;;;;;;;;;;;
2016-09-17 00:00:00;619,593811035156;461,333333333;34,3050168429777;"September";12,2;1024,3;94;19;11,3;7,2;14,4;;0;1;0;0;0;0
2016-09-17 01:00:00;548,027572631836;397,666666667;37,8107894295163;;;;;;;;;;;;;;;
2016-09-17 02:00:00;458,123901367188;363,333333333;26,0891471653966;;;;;;;;;;;;;;;
2016-09-17 03:00:00;390,617492675781;398,666666667;2,01902357639098;"September";12,6;1024,5;95;19;11,8;10,8;18;0;3;1;0;0;0;0
2016-09-17 04:00:00;375,795670509338;398,666666667;5,73687194589695;;;;;;;;;;;;;;;
2016-09-17 05:00:00;302,789245605469;332,166666667;8,84418095178177;;;;;;;;;;;;;;;
2016-09-17 06:00:00;328,440032958984;316;3,93671929081784;"September";12,3;1024,7;96;18;11,7;3,6;18;0;6;1;0;0;0;0
2016-09-17 07:00:00;360,818119049072;369,166666667;2,26145759401902;;;;;;;;;;;;;;;
2016-09-17 08:00:00;445,149055480957;452,166666667;1,55199657634452;;;;;;;;;;;;;;;
