"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"vt_north";"vt_east";"vt_south";"vt_west"
2016-09-13 00:00:00;507,939270019531;435;16,767648280352;"September";"Tuesday";18,3;1009;97;9;17,8;12,964;20,372;0;0;0;0;0;0
2016-09-13 01:00:00;444,554706573486;422,333333333;5,26157219585727;;;;;;;;;;;;;;;
2016-09-13 02:00:00;418,045829772949;376,166666667;11,1331403914698;;;;;;;;;;;;;;;
2016-09-13 03:00:00;419,903350830078;407,833333333;2,95954658694434;"September";"Tuesday";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3;0;0;0;0
2016-09-13 04:00:00;419,465647935867;399,5;4,99765905778906;;;;;;;;;;;;;;;
2016-09-13 05:00:00;324,743370056152;346,333333333;6,23386812614103;;;;;;;;;;;;;;;
2016-09-13 06:00:00;350,999877929688;313,833333333;11,84276513969;"September";"Tuesday";17,6;1008,1;99;5;17,4;5,556;14,816;0;6;0;0;0;0
2016-09-13 07:00:00;417,546989440918;362,833333333;15,0795561161144;;;;;;;;;;;;;;;
2016-09-13 08:00:00;501,799285888672;445,666666667;12,5952025179424;;;;;;;;;;;;;;;
2016-09-13 09:00:00;532,591125488281;503,833333333;5,70779864147541;"September";"Tuesday";20,1;1007,2;87;45;17,9;11,112;18,52;0;9;0;0;0;0
2016-09-13 10:00:00;547,535722732544;513,833333333;6,55901188444355;;;;;;;;;;;;;;;
2016-09-13 11:00:00;582,004737854004;545,5;6,69197760843335;;;;;;;;;;;;;;;
2016-09-13 12:00:00;585,5419921875;555,666666667;5,37648329702738;"September";"Tuesday";23,3;1005,8;76;40;18,8;14,816;25,928;0;12;0;0;0;0
2016-09-13 13:00:00;593,825656890869;576,5;3,00531776077522;;;;;;;;;;;;;;;
2016-09-13 14:00:00;600,027069091797;588,5;1,95872032146081;;;;;;;;;;;;;;;
2016-09-13 15:00:00;566,184204101562;563;0,565577993172735;"September";"Tuesday";18,8;1005,1;93;5;17,6;14,816;29,632;0;15;0;0;0;0
2016-09-13 16:00:00;484,61368560791;496,5;2,39402102559715;;;;;;;;;;;;;;;
2016-09-13 17:00:00;403,940246582031;449,333333333;10,102319009867;;;;;;;;;;;;;;;
2016-09-13 18:00:00;537,314697265625;505,833333333;6,2236633804242;"September";"Tuesday";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18;0;0;0;0
2016-09-13 19:00:00;584,082008361816;561,166666667;4,08351797353184;;;;;;;;;;;;;;;
2016-09-13 20:00:00;587,597843170166;542,333333333;8,34625258215005;;;;;;;;;;;;;;;
2016-09-13 21:00:00;566,796447753906;512,833333333;10,5225442484773;"September";"Tuesday";17,2;1005,1;98;3;16,9;12,964;25,928;0;21;0;0;0;0
2016-09-13 22:00:00;678,365539550781;624,333333333;8,65438433814363;;;;;;;;;;;;;;;
2016-09-13 23:00:00;579,24743270874;550,666666667;5,19021175091822;;;;;;;;;;;;;;;
2016-09-14 00:00:00;524,620361328125;467,166666667;12,2983292174992;"September";"Wednesday";17,5;1005,5;97;9;17;12,964;24,076;3;0;0;0;0;0
2016-09-14 01:00:00;458,815238952637;405,833333333;13,055089680414;;;;;;;;;;;;;;;
2016-09-14 02:00:00;404,878059387207;362,5;11,6904991412985;;;;;;;;;;;;;;;
2016-09-14 03:00:00;405,190460205078;396,666666667;2,1488555137994;"September";"Wednesday";16,2;1004;97;2,9;15,7;7,408;12,964;0;3;0;0;0;0
2016-09-14 04:00:00;389,669677734375;407,833333333;4,45369569235141;;;;;;;;;;;;;;;
2016-09-14 05:00:00;307,67342376709;330,833333333;7,00047644310332;;;;;;;;;;;;;;;
2016-09-14 06:00:00;337,716705322266;317,166666667;6,47925548772801;"September";"Wednesday";15,5;1004,6;94;45;14,5;18;36;0;6;0;0;0;0
2016-09-14 07:00:00;405,633293151855;384,833333333;5,40492676107583;;;;;;;;;;;;;;;
2016-09-14 08:00:00;468,478988647461;458,833333333;2,10221329047613;;;;;;;;;;;;;;;
2016-09-14 09:00:00;529,056457519531;478,333333333;10,6041374606063;"September";"Wednesday";18;1005,9;82;29;14,9;28,8;46,8;0;9;0;0;0;0
2016-09-14 10:00:00;552,556535720825;504;9,63423327794151;;;;;;;;;;;;;;;
2016-09-14 11:00:00;544,686237335205;492,333333333;10,6336297905702;;;;;;;;;;;;;;;
2016-09-14 12:00:00;594,482971191406;519,5;14,4336806913198;"September";"Wednesday";20,2;1007,2;65;7;13,4;32,4;54;0;12;0;0;0;0
2016-09-14 13:00:00;598,399800300598;543,333333333;10,1349325707298;;;;;;;;;;;;;;;
2016-09-14 14:00:00;610,193502426147;573;6,49101263981631;;;;;;;;;;;;;;;
2016-09-14 15:00:00;493,521270751953;539;8,43761210538903;"September";"Wednesday";20,4;1007,9;62;28;12,9;25,2;46,8;0;15;0;0;0;0
2016-09-14 16:00:00;397,740844726562;438,833333333;9,36403082562902;;;;;;;;;;;;;;;
2016-09-14 17:00:00;357,953475952148;380,5;5,92549909273366;;;;;;;;;;;;;;;
2016-09-14 18:00:00;486,499725341797;426;14,2018134605157;"September";"Wednesday";18,6;1009,3;63;45;11,4;25,2;43,2;0;18;0;0;0;0
2016-09-14 19:00:00;531,552303314209;480,5;10,6248289935919;;;;;;;;;;;;;;;
2016-09-14 20:00:00;529,1755027771;471,833333333;12,1530560460912;;;;;;;;;;;;;;;
2016-09-14 21:00:00;525,861389160156;477,166666667;10,2049715319152;"September";"Wednesday";13,8;1010,5;89;60;12;3,6;10,8;0;21;0;0;0;0
2016-09-14 22:00:00;669,140869140625;607,166666667;10,2071154224965;;;;;;;;;;;;;;;
2016-09-14 23:00:00;661,886688232422;539,833333333;22,6094513552634;;;;;;;;;;;;;;;
2016-09-15 00:00:00;541,465881347656;445,333333333;21,5866500033072;"September";"Thursday";13,4;1010,4;89;60;11,6;10,8;14,4;0;0;0;0;0;0
2016-09-15 01:00:00;485,330654144287;393,166666667;23,441455059909;;;;;;;;;;;;;;;
2016-09-15 02:00:00;406,515060424805;358,5;13,3933222942273;;;;;;;;;;;;;;;
2016-09-15 03:00:00;414,076385498047;383,833333333;7,87921463267212;"September";"Thursday";12,7;1009,8;94;60;11,8;7,2;7,2;0;3;0;0;0;0
2016-09-15 04:00:00;386,814632415771;396,833333333;2,52466213790095;;;;;;;;;;;;;;;
2016-09-15 05:00:00;323,170303344727;316;2,26908333693879;;;;;;;;;;;;;;;
2016-09-15 06:00:00;345,618194580078;294;17,5572090408429;"September";"Thursday";13,8;1010,1;92;4,6;12,5;7,2;18;;6;0;0;0;0
2016-09-15 07:00:00;400,909660339355;357,5;12,1425623326868;;;;;;;;;;;;;;;
2016-09-15 08:00:00;478,775848388672;459,166666667;4,27060218983469;;;;;;;;;;;;;;;
2016-09-15 09:00:00;587,566162109375;503;16,8123582722415;"September";"Thursday";14;1010,8;98;2,9;13,7;7,2;14,4;9;9;0;0;0;0
2016-09-15 10:00:00;604,795385360718;525,5;15,0895119620776;;;;;;;;;;;;;;;
2016-09-15 11:00:00;640,046779632568;593,666666667;7,81248393580163;;;;;;;;;;;;;;;
2016-09-15 12:00:00;612,461242675781;615,5;0,493705495405158;"September";"Thursday";16,4;1011,4;95;2;15,6;10,8;14,4;0;12;0;0;0;0
2016-09-15 13:00:00;577,96928024292;625,333333333;7,57420891632815;;;;;;;;;;;;;;;
2016-09-15 14:00:00;550,333145141602;658;16,3627438994526;;;;;;;;;;;;;;;
2016-09-15 15:00:00;562,032775878906;613;8,31439218941171;"September";"Thursday";16,3;1011,8;91;19;14,8;10,8;18;1;15;0;0;0;0
2016-09-15 16:00:00;510,056671142578;522;2,28799403398886;;;;;;;;;;;;;;;
2016-09-15 17:00:00;444,355255126953;437;1,68312474300987;;;;;;;;;;;;;;;
2016-09-15 18:00:00;532,393371582031;485,5;9,65877890464083;"September";"Thursday";16,1;1012,8;94;18;15,1;7,2;10,8;;18;0;0;0;0
2016-09-15 19:00:00;557,776554107666;557;0,139417254518136;;;;;;;;;;;;;;;
2016-09-15 20:00:00;558,016654968262;533,166666667;4,66082931564481;;;;;;;;;;;;;;;
2016-09-15 21:00:00;542,378356933594;497,666666667;8,98426462154664;"September";"Thursday";16,2;1014;96;10;15,6;14,4;25,2;0;21;0;0;0;0
2016-09-15 22:00:00;671,801956176758;616,5;8,97030919331027;;;;;;;;;;;;;;;
2016-09-15 23:00:00;576,635757446289;541,833333333;6,42308657889457;;;;;;;;;;;;;;;
2016-09-16 00:00:00;504,038452148438;442,5;13,9069948358051;"September";"Friday";15,9;1014,7;95;16;15,1;18;28,8;0;0;0;0;0;0
2016-09-16 01:00:00;433,917556762695;412,5;5,19213497277462;;;;;;;;;;;;;;;
2016-09-16 02:00:00;377,265785217285;371,166666667;1,64322906608343;;;;;;;;;;;;;;;
2016-09-16 03:00:00;405,186584472656;412;1,65374163285042;"September";"Friday";15,2;1015,4;92;40;13,9;21,6;32,4;0;3;0;0;0;0
2016-09-16 04:00:00;384,300601959229;407,166666667;5,61589800436008;;;;;;;;;;;;;;;
2016-09-16 05:00:00;372,219135284424;341,833333333;8,88906931783134;;;;;;;;;;;;;;;
2016-09-16 06:00:00;343,862823486328;328;4,83622667266101;"September";"Friday";15,1;1016,8;92;15;13,8;18;36;;6;0;0;0;0
2016-09-16 07:00:00;414,90380859375;425,666666667;2,52847096473961;;;;;;;;;;;;;;;
