"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;506,587951660156;435;16,4570003816451;"September";"Tuesday";"South";18,3;1009;97;17,8;9;12,964;20,372;0;0;0;0
2016-09-13 01:00:00;436,558517456055;422,333333333;3,36823617752153;;;;;;;;;;;;;;
2016-09-13 02:00:00;392,700218200684;376,166666667;4,3952728933103;;;;;;;;;;;;;;
2016-09-13 03:00:00;411,888305664062;407,833333333;0,994271924249897;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0;0
2016-09-13 04:00:00;405,957492351532;399,5;1,61639357985782;;;;;;;;;;;;;;
2016-09-13 05:00:00;314,742385864258;346,333333333;9,12154402370719;;;;;;;;;;;;;;
2016-09-13 06:00:00;343,914855957031;313,833333333;9,5851904272108;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0;0
2016-09-13 07:00:00;409,072479248047;362,833333333;12,7439079233136;;;;;;;;;;;;;;
2016-09-13 08:00:00;493,957611083984;445,666666667;10,8356644166675;;;;;;;;;;;;;;
2016-09-13 09:00:00;526,873840332031;503,833333333;4,57304141562286;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0;0
2016-09-13 10:00:00;548,835859298706;513,833333333;6,81203878671334;;;;;;;;;;;;;;
2016-09-13 11:00:00;574,073417663574;545,5;5,23802340303835;;;;;;;;;;;;;;
2016-09-13 12:00:00;597,281005859375;555,666666667;7,48908323797542;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0;0
2016-09-13 13:00:00;602,46101808548;576,5;4,503212157065;;;;;;;;;;;;;;
2016-09-13 14:00:00;614,76530456543;588,5;4,4630933841002;;;;;;;;;;;;;;
2016-09-13 15:00:00;565,919494628906;563;0,518560324850133;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0;0
2016-09-13 16:00:00;472,133483886719;496,5;4,90765682039904;;;;;;;;;;;;;;
2016-09-13 17:00:00;398,456008911133;449,333333333;11,3228466814328;;;;;;;;;;;;;;
