"dt_posix";"puissance";"reality";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;521,671508789062;435;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0
2016-09-13 01:00:00;454,465454101562;422,333333333;;;;;;;;;;;;;
2016-09-13 02:00:00;409,316944122314;376,166666667;;;;;;;;;;;;;
2016-09-13 03:00:00;420,331268310547;407,833333333;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3
2016-09-13 04:00:00;417,846508264542;399,5;;;;;;;;;;;;;
2016-09-13 05:00:00;345,631023645401;346,333333333;;;;;;;;;;;;;
2016-09-13 06:00:00;334,971923828125;313,833333333;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6
2016-09-13 07:00:00;393,671100616455;362,833333333;;;;;;;;;;;;;
2016-09-13 08:00:00;477,521648406982;445,666666667;;;;;;;;;;;;;
2016-09-13 09:00:00;524,529296875;503,833333333;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9
2016-09-13 10:00:00;571,242057800293;513,833333333;;;;;;;;;;;;;
2016-09-13 11:00:00;600,726438522339;545,5;;;;;;;;;;;;;
2016-09-13 12:00:00;592,347290039062;555,666666667;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12
2016-09-13 13:00:00;585,279933452606;576,5;;;;;;;;;;;;;
2016-09-13 14:00:00;591,247426509857;588,5;;;;;;;;;;;;;
2016-09-13 15:00:00;575,897399902344;563;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15
2016-09-13 16:00:00;494,797607421875;496,5;;;;;;;;;;;;;
2016-09-13 17:00:00;413,62663269043;449,333333333;;;;;;;;;;;;;
2016-09-13 18:00:00;541,943542480469;505,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18
2016-09-13 19:00:00;593,097629547119;561,166666667;;;;;;;;;;;;;
2016-09-13 20:00:00;592,39225679636;542,333333333;;;;;;;;;;;;;
2016-09-13 21:00:00;519,499267578125;512,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21
2016-09-13 22:00:00;627,181182861328;624,333333333;;;;;;;;;;;;;
2016-09-13 23:00:00;569,115257263184;550,666666667;;;;;;;;;;;;;
2016-09-14 00:00:00;549,923034667969;467,166666667;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0
2016-09-14 01:00:00;494,15616607666;405,833333333;;;;;;;;;;;;;
2016-09-14 02:00:00;437,855438232422;362,5;;;;;;;;;;;;;
2016-09-14 03:00:00;416,036163330078;396,666666667;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3
2016-09-14 04:00:00;395,049459457397;407,833333333;;;;;;;;;;;;;
2016-09-14 05:00:00;325,305341720581;330,833333333;;;;;;;;;;;;;
2016-09-14 06:00:00;355,487731933594;317,166666667;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6
2016-09-14 07:00:00;423,297271728516;384,833333333;;;;;;;;;;;;;
2016-09-14 08:00:00;491,30908203125;458,833333333;;;;;;;;;;;;;
2016-09-14 09:00:00;542,800537109375;478,333333333;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9
2016-09-14 10:00:00;559,51566696167;504;;;;;;;;;;;;;
2016-09-14 11:00:00;563,989964485168;492,333333333;;;;;;;;;;;;;
2016-09-14 12:00:00;558,421325683594;519,5;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12
2016-09-14 13:00:00;551,359289169312;543,333333333;;;;;;;;;;;;;
2016-09-14 14:00:00;558,694393157959;573;;;;;;;;;;;;;
2016-09-14 15:00:00;499,423309326172;539;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15
2016-09-14 16:00:00;404,639785766602;438,833333333;;;;;;;;;;;;;
2016-09-14 17:00:00;337,950904846191;380,5;;;;;;;;;;;;;
2016-09-14 18:00:00;486,691772460938;426;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;;18
2016-09-14 19:00:00;521,778774261475;480,5;;;;;;;;;;;;;
2016-09-14 20:00:00;535,649181365967;471,833333333;;;;;;;;;;;;;
2016-09-14 21:00:00;560,779541015625;477,166666667;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;;21
2016-09-14 22:00:00;710,857025146484;607,166666667;;;;;;;;;;;;;
2016-09-14 23:00:00;696,390496253967;539,833333333;;;;;;;;;;;;;
2016-09-15 00:00:00;550,19873046875;445,333333333;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;8;0
2016-09-15 01:00:00;506,31787109375;393,166666667;;;;;;;;;;;;;
2016-09-15 02:00:00;424,870674133301;358,5;;;;;;;;;;;;;
2016-09-15 03:00:00;414,710784912109;383,833333333;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;7;3
2016-09-15 04:00:00;389,943407058716;396,833333333;;;;;;;;;;;;;
2016-09-15 05:00:00;325,689195632935;316;;;;;;;;;;;;;
2016-09-15 06:00:00;351,134307861328;294;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;8;6
2016-09-15 07:00:00;408,733772277832;357,5;;;;;;;;;;;;;
2016-09-15 08:00:00;489,677268981934;459,166666667;;;;;;;;;;;;;
2016-09-15 09:00:00;577,302001953125;503;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;8;9
2016-09-15 10:00:00;596,643417358398;525,5;;;;;;;;;;;;;
2016-09-15 11:00:00;620,697723388672;593,666666667;;;;;;;;;;;;;
2016-09-15 12:00:00;612,822265625;615,5;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;8;12
2016-09-15 13:00:00;595,516073226929;625,333333333;;;;;;;;;;;;;
2016-09-15 14:00:00;582,82674407959;658;;;;;;;;;;;;;
2016-09-15 15:00:00;567,025268554688;613;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;8;15
2016-09-15 16:00:00;504,037296295166;522;;;;;;;;;;;;;
2016-09-15 17:00:00;461,631164550781;437;;;;;;;;;;;;;
2016-09-15 18:00:00;544,584533691406;485,5;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;8;18
2016-09-15 19:00:00;584,040321350098;557;;;;;;;;;;;;;
2016-09-15 20:00:00;572,930455207825;533,166666667;;;;;;;;;;;;;
2016-09-15 21:00:00;526,494201660156;497,666666667;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;8;21
2016-09-15 22:00:00;645,295387268066;616,5;;;;;;;;;;;;;
2016-09-15 23:00:00;575,064178466797;541,833333333;;;;;;;;;;;;;
2016-09-16 00:00:00;508,738983154297;442,5;"September";"Friday";15,9;1014,7;95;15,1;16;18;28,8;310;0;8;0
2016-09-16 01:00:00;434,758407592773;412,5;;;;;;;;;;;;;
2016-09-16 02:00:00;380,36270904541;371,166666667;;;;;;;;;;;;;
2016-09-16 03:00:00;401,826568603516;412;"September";"Friday";15,2;1015,4;92;13,9;40;21,6;32,4;320;0;8;3
2016-09-16 04:00:00;371,102935791016;407,166666667;;;;;;;;;;;;;
2016-09-16 05:00:00;301,054862976074;341,833333333;;;;;;;;;;;;;
2016-09-16 06:00:00;328,446807861328;328;"September";"Friday";15,1;1016,8;92;13,8;15;18;36;320;;8;6
2016-09-16 07:00:00;393,303497314453;425,666666667;;;;;;;;;;;;;
2016-09-16 08:00:00;443,889873504639;461,833333333;;;;;;;;;;;;;
2016-09-16 09:00:00;537,848022460938;499,166666667;"September";"Friday";16,4;1019;76;12,2;13;28,8;39,6;350;;6;9
2016-09-16 10:00:00;551,133827209473;506;;;;;;;;;;;;;
2016-09-16 11:00:00;566,066226005554;536,666666667;;;;;;;;;;;;;
2016-09-16 12:00:00;569,607177734375;524,833333333;"September";"Friday";16,6;1020,4;68;10,7;16;25,2;46,8;340;0;7;12
2016-09-16 13:00:00;525,660289764404;564,5;;;;;;;;;;;;;
2016-09-16 14:00:00;486,766590118408;572,666666667;;;;;;;;;;;;;
2016-09-16 15:00:00;514,788269042969;520,833333333;"September";"Friday";16,7;1021,1;70;11,2;19;28,8;50,4;330;0;8;15
2016-09-16 16:00:00;491,212789535522;442,166666667;;;;;;;;;;;;;
2016-09-16 17:00:00;495,813599586487;386,666666667;;;;;;;;;;;;;
2016-09-16 18:00:00;464,4951171875;447,833333333;"September";"Friday";14,5;1022,6;80;11,1;55;18;39,6;330;0;;18
2016-09-16 19:00:00;509,377830505371;488,166666667;;;;;;;;;;;;;
2016-09-16 20:00:00;509,739988446236;493,5;;;;;;;;;;;;;
