"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_evening"
2016-09-13 00:00:00;503,218414306641;435;15,6823940934806;"September";"South";0;18,3;1009;97;17,8;9;12,964;20,372;0;0;0
2016-09-13 01:00:00;425,990798950195;422,333333333;0,866013958294763;;;;;;;;;;;;;
2016-09-13 02:00:00;389,340751647949;376,166666667;3,5021936147818;;;;;;;;;;;;;
2016-09-13 03:00:00;394,638793945312;407,833333333;3,23527733249651;"September";"East";0;17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0
2016-09-13 04:00:00;381,842000961304;399,5;4,4200247906624;;;;;;;;;;;;;
2016-09-13 05:00:00;307,125961303711;346,333333333;11,3207041470626;;;;;;;;;;;;;
2016-09-13 06:00:00;339,876220703125;313,833333333;8,29831780249156;"September";"South";0;17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0
2016-09-13 07:00:00;404,578643798828;362,833333333;11,5053680659255;;;;;;;;;;;;;
2016-09-13 08:00:00;481,776824951172;445,666666667;8,10250372867872;;;;;;;;;;;;;
2016-09-13 09:00:00;518,579284667969;503,833333333;2,92675183625111;"September";"North";0;20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0
2016-09-13 10:00:00;522,85321187973;513,833333333;1,75540938308194;;;;;;;;;;;;;
2016-09-13 11:00:00;562,932140350342;545,5;3,19562609538805;;;;;;;;;;;;;
2016-09-13 12:00:00;584,095275878906;555,666666667;5,11612643285349;"September";"North";0;23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0
2016-09-13 13:00:00;581,721653223038;576,5;0,905750775895528;;;;;;;;;;;;;
2016-09-13 14:00:00;592,646173477173;588,5;0,704532451516202;;;;;;;;;;;;;
2016-09-13 15:00:00;552,287841796875;563;1,90269239842362;"September";"North";0;18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0
2016-09-13 16:00:00;463,97331237793;496,5;6,55119589568385;;;;;;;;;;;;;
2016-09-13 17:00:00;395,111846923828;449,333333333;12,0670963818721;;;;;;;;;;;;;
2016-09-13 18:00:00;522,522399902344;505,833333333;3,29932123282137;"September";"North";0;17,2;1005,1;98;16,9;3,9;9,26;24,076;2;18;1
2016-09-13 19:00:00;567,33423614502;561,166666667;1,09906198004442;;;;;;;;;;;;;
2016-09-13 20:00:00;567,023551940918;542,333333333;4,55259101559922;;;;;;;;;;;;;
2016-09-13 21:00:00;536,599731445312;512,833333333;4,6343317736096;"September";"East";0;17,2;1005,1;98;16,9;3;12,964;25,928;0;21;1
2016-09-13 22:00:00;640,236755371094;624,333333333;2,54726460834525;;;;;;;;;;;;;
2016-09-13 23:00:00;570,503635406494;550,666666667;3,60235509796892;;;;;;;;;;;;;
2016-09-14 00:00:00;496,641723632812;467,166666667;6,30932364590613;"September";"East";0;17,5;1005,5;97;17;9;12,964;24,076;3;0;0
2016-09-14 01:00:00;429,813934326172;405,833333333;5,90897765745994;;;;;;;;;;;;;
2016-09-14 02:00:00;381,138832092285;362,5;5,14174678407866;;;;;;;;;;;;;
2016-09-14 03:00:00;406,703002929688;396,666666667;2,53016880571741;"September";"East";0;16,2;1004;97;15,7;2,9;7,408;12,964;0;3;0
2016-09-14 04:00:00;391,171402931213;407,833333333;4,08547537436867;;;;;;;;;;;;;
2016-09-14 05:00:00;322,955657958984;330,833333333;2,38116132212299;;;;;;;;;;;;;
2016-09-14 06:00:00;316,361206054688;317,166666667;0,253955001254336;"September";"East";0;15,5;1004,6;94;14,5;45;18;36;0;6;0
2016-09-14 07:00:00;349,86205291748;384,833333333;9,08738339078817;;;;;;;;;;;;;
2016-09-14 08:00:00;427,288551330566;458,833333333;6,87499789374279;;;;;;;;;;;;;
2016-09-14 09:00:00;494,977233886719;478,333333333;3,4795610913722;"September";"East";0;18;1005,9;82;14,9;29;28,8;46,8;0;9;0
2016-09-14 10:00:00;551,713573455811;504;9,46697886027987;;;;;;;;;;;;;
2016-09-14 11:00:00;528,510181427002;492,333333333;7,34803955870544;;;;;;;;;;;;;
2016-09-14 12:00:00;559,640075683594;519,5;7,72667481878609;"September";"South";0;20,2;1007,2;65;13,4;7;32,4;54;0;12;0
2016-09-14 13:00:00;549,798536300659;543,333333333;1,18991465662511;;;;;;;;;;;;;
2016-09-14 14:00:00;567,205446243286;573;1,01126592612807;;;;;;;;;;;;;
2016-09-14 15:00:00;477,465362548828;539;11,4164447961358;"September";"South";0;20,4;1007,9;62;12,9;28;25,2;46,8;0;15;0
2016-09-14 16:00:00;394,239974975586;438,833333333;10,1617983343976;;;;;;;;;;;;;
2016-09-14 17:00:00;346,304672241211;380,5;8,98694553450435;;;;;;;;;;;;;
2016-09-14 18:00:00;462,269989013672;426;8,51408192809199;"September";"East";0;18,6;1009,3;63;11,4;45;25,2;43,2;0;18;1
2016-09-14 19:00:00;514,352996826172;480,5;7,0453687463417;;;;;;;;;;;;;
2016-09-14 20:00:00;525,372798919678;471,833333333;11,3471138650757;;;;;;;;;;;;;
2016-09-14 21:00:00;496,158447265625;477,166666667;3,98011469059275;"September";"East";0;13,8;1010,5;89;12;60;3,6;10,8;0;21;1
2016-09-14 22:00:00;623,496208190918;607,166666667;2,68946607585655;;;;;;;;;;;;;
2016-09-14 23:00:00;638,332321166992;539,833333333;18,2461848411336;;;;;;;;;;;;;
2016-09-15 00:00:00;552,726135253906;445,333333333;24,1151501319581;"September";"North";0;13,4;1010,4;89;11,6;60;10,8;14,4;0;0;0
2016-09-15 01:00:00;493,400272369385;393,166666667;25,4939226033827;;;;;;;;;;;;;
2016-09-15 02:00:00;408,426376342773;358,5;13,9264648096997;;;;;;;;;;;;;
2016-09-15 03:00:00;385,041778564453;383,833333333;0,314835926562099;"September";"East";0;12,7;1009,8;94;11,8;60;7,2;7,2;0;3;0
2016-09-15 04:00:00;360,2314453125;396,833333333;9,22349131134752;;;;;;;;;;;;;
2016-09-15 05:00:00;299,738410949707;316;5,14607248426993;;;;;;;;;;;;;
