"dt_posix";"puissance";"reality";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;499,450714111328;435;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0
2016-09-13 01:00:00;431,65461730957;422,333333333;;;;;;;;;;;;;
2016-09-13 02:00:00;384,150703430176;376,166666667;;;;;;;;;;;;;
2016-09-13 03:00:00;378,182006835938;407,833333333;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3
2016-09-13 04:00:00;366,344344139099;399,5;;;;;;;;;;;;;
2016-09-13 05:00:00;302,067626953125;346,333333333;;;;;;;;;;;;;
2016-09-13 06:00:00;322,442596435547;313,833333333;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6
2016-09-13 07:00:00;388,897491455078;362,833333333;;;;;;;;;;;;;
2016-09-13 08:00:00;463,422149658203;445,666666667;;;;;;;;;;;;;
2016-09-13 09:00:00;494,247619628906;503,833333333;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9
2016-09-13 10:00:00;525,875915527344;513,833333333;;;;;;;;;;;;;
2016-09-13 11:00:00;538,989555358887;545,5;;;;;;;;;;;;;
2016-09-13 12:00:00;560,724182128906;555,666666667;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12
2016-09-13 13:00:00;550,962958335876;576,5;;;;;;;;;;;;;
2016-09-13 14:00:00;563,552307128906;588,5;;;;;;;;;;;;;
2016-09-13 15:00:00;521,40966796875;563;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15
2016-09-13 16:00:00;448,457473754883;496,5;;;;;;;;;;;;;
2016-09-13 17:00:00;386,509490966797;449,333333333;;;;;;;;;;;;;
2016-09-13 18:00:00;502,880737304688;505,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18
2016-09-13 19:00:00;549,00411605835;561,166666667;;;;;;;;;;;;;
2016-09-13 20:00:00;527,726085662842;542,333333333;;;;;;;;;;;;;
2016-09-13 21:00:00;509,867156982422;512,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21
2016-09-13 22:00:00;624,353378295898;624,333333333;;;;;;;;;;;;;
2016-09-13 23:00:00;551,315410614014;550,666666667;;;;;;;;;;;;;
2016-09-14 00:00:00;495,396057128906;467,166666667;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0
2016-09-14 01:00:00;435,059127807617;405,833333333;;;;;;;;;;;;;
2016-09-14 02:00:00;390,094833374023;362,5;;;;;;;;;;;;;
2016-09-14 03:00:00;388,8115234375;396,666666667;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3
2016-09-14 04:00:00;371,530702590942;407,833333333;;;;;;;;;;;;;
2016-09-14 05:00:00;310,44457244873;330,833333333;;;;;;;;;;;;;
2016-09-14 06:00:00;318,540985107422;317,166666667;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6
2016-09-14 07:00:00;375,726589202881;384,833333333;;;;;;;;;;;;;
2016-09-14 08:00:00;458,685516357422;458,833333333;;;;;;;;;;;;;
2016-09-14 09:00:00;503,674774169922;478,333333333;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9
2016-09-14 10:00:00;521,929744720459;504;;;;;;;;;;;;;
2016-09-14 11:00:00;513,786133766174;492,333333333;;;;;;;;;;;;;
2016-09-14 12:00:00;549,777404785156;519,5;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12
2016-09-14 13:00:00;534,205227851868;543,333333333;;;;;;;;;;;;;
2016-09-14 14:00:00;549,700674958527;573;;;;;;;;;;;;;
2016-09-14 15:00:00;483,809906005859;539;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15
2016-09-14 16:00:00;418,00333404541;438,833333333;;;;;;;;;;;;;
2016-09-14 17:00:00;366,230857849121;380,5;;;;;;;;;;;;;
2016-09-14 18:00:00;469,336791992188;426;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;;18
2016-09-14 19:00:00;510,625907897949;480,5;;;;;;;;;;;;;
2016-09-14 20:00:00;513,280914306641;471,833333333;;;;;;;;;;;;;
2016-09-14 21:00:00;491,357666015625;477,166666667;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;;21
2016-09-14 22:00:00;621,416168212891;607,166666667;;;;;;;;;;;;;
2016-09-14 23:00:00;619,640640258789;539,833333333;;;;;;;;;;;;;
2016-09-15 00:00:00;526,159423828125;445,333333333;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;8;0
2016-09-15 01:00:00;466,51782989502;393,166666667;;;;;;;;;;;;;
2016-09-15 02:00:00;412,927406311035;358,5;;;;;;;;;;;;;
2016-09-15 03:00:00;382,528503417969;383,833333333;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;7;3
2016-09-15 04:00:00;366,654944419861;396,833333333;;;;;;;;;;;;;
2016-09-15 05:00:00;306,382484436035;316;;;;;;;;;;;;;
2016-09-15 06:00:00;333,834045410156;294;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;8;6
2016-09-15 07:00:00;390,04513168335;357,5;;;;;;;;;;;;;
2016-09-15 08:00:00;471,67121887207;459,166666667;;;;;;;;;;;;;
2016-09-15 09:00:00;538,621337890625;503;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;8;9
2016-09-15 10:00:00;556,661701202393;525,5;;;;;;;;;;;;;
2016-09-15 11:00:00;573,626358032227;593,666666667;;;;;;;;;;;;;
2016-09-15 12:00:00;564,902587890625;615,5;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;8;12
2016-09-15 13:00:00;551,07774066925;625,333333333;;;;;;;;;;;;;
2016-09-15 14:00:00;542,034488677979;658;;;;;;;;;;;;;
2016-09-15 15:00:00;531,093872070312;613;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;8;15
2016-09-15 16:00:00;479,953102111816;522;;;;;;;;;;;;;
2016-09-15 17:00:00;422,782333374023;437;;;;;;;;;;;;;
2016-09-15 18:00:00;499,191619873047;485,5;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;8;18
2016-09-15 19:00:00;535,870864868164;557;;;;;;;;;;;;;
2016-09-15 20:00:00;533,69849395752;533,166666667;;;;;;;;;;;;;
2016-09-15 21:00:00;498,938079833984;497,666666667;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;8;21
2016-09-15 22:00:00;616,673683166504;616,5;;;;;;;;;;;;;
2016-09-15 23:00:00;545,00207901001;541,833333333;;;;;;;;;;;;;
2016-09-16 00:00:00;485,352752685547;442,5;"September";"Friday";15,9;1014,7;95;15,1;16;18;28,8;310;0;8;0
2016-09-16 01:00:00;417,150436401367;412,5;;;;;;;;;;;;;
2016-09-16 02:00:00;372,247772216797;371,166666667;;;;;;;;;;;;;
2016-09-16 03:00:00;376,182800292969;412;"September";"Friday";15,2;1015,4;92;13,9;40;21,6;32,4;320;0;8;3
2016-09-16 04:00:00;366,713027954102;407,166666667;;;;;;;;;;;;;
2016-09-16 05:00:00;319,899063110352;341,833333333;;;;;;;;;;;;;
2016-09-16 06:00:00;318,758239746094;328;"September";"Friday";15,1;1016,8;92;13,8;15;18;36;320;;8;6
2016-09-16 07:00:00;382,347846984863;425,666666667;;;;;;;;;;;;;
2016-09-16 08:00:00;449,392456054688;461,833333333;;;;;;;;;;;;;
2016-09-16 09:00:00;507,540100097656;499,166666667;"September";"Friday";16,4;1019;76;12,2;13;28,8;39,6;350;;6;9
2016-09-16 10:00:00;521,848400115967;506;;;;;;;;;;;;;
2016-09-16 11:00:00;535,640005111694;536,666666667;;;;;;;;;;;;;
2016-09-16 12:00:00;545,245971679688;524,833333333;"September";"Friday";16,6;1020,4;68;10,7;16;25,2;46,8;340;0;7;12
2016-09-16 13:00:00;510,008560180664;564,5;;;;;;;;;;;;;
2016-09-16 14:00:00;473,73974609375;572,666666667;;;;;;;;;;;;;
2016-09-16 15:00:00;486,299621582031;520,833333333;"September";"Friday";16,7;1021,1;70;11,2;19;28,8;50,4;330;0;8;15
2016-09-16 16:00:00;461,097585678101;442,166666667;;;;;;;;;;;;;
2016-09-16 17:00:00;467,843309402466;386,666666667;;;;;;;;;;;;;
2016-09-16 18:00:00;453,582824707031;447,833333333;"September";"Friday";14,5;1022,6;80;11,1;55;18;39,6;330;0;;18
2016-09-16 19:00:00;495,295566558838;488,166666667;;;;;;;;;;;;;
2016-09-16 20:00:00;499,641117095947;493,5;;;;;;;;;;;;;
2016-09-16 21:00:00;501,25927734375;511,333333333;"September";"Friday";13,3;1024,3;87;11,2;45;14,4;21,6;330;0;;21
2016-09-16 22:00:00;622,058738708496;616,5;;;;;;;;;;;;;
2016-09-16 23:00:00;644,124313354492;560,5;;;;;;;;;;;;;
2016-09-17 00:00:00;540,636474609375;461,333333333;"September";"Saturday";12,2;1024,3;94;11,3;19;7,2;14,4;320;;;0
2016-09-17 01:00:00;456,586196899414;397,666666667;;;;;;;;;;;;;
2016-09-17 02:00:00;400,405471801758;363,333333333;;;;;;;;;;;;;
2016-09-17 03:00:00;377,114776611328;398,666666667;"September";"Saturday";12,6;1024,5;95;11,8;19;10,8;18;310;0;;3
