"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;505,443695068359;435;16,193952889278;"September";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;433,79517364502;422,333333333;2,71393219700756;;;;;;;;;;;
2016-09-13 02:00:00;390,302474975586;376,166666667;3,75785776922642;;;;;;;;;;;
2016-09-13 03:00:00;398,506774902344;407,833333333;2,28685535692616;"September";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;387,667540550232;399,5;2,96181713385934;;;;;;;;;;;
2016-09-13 05:00:00;318,550262451172;346,333333333;8,02206088985222;;;;;;;;;;;
2016-09-13 06:00:00;346,726226806641;313,833333333;10,4810069485955;"September";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;417,517425537109;362,833333333;15,0714080489186;;;;;;;;;;;
2016-09-13 08:00:00;488,865127563477;445,666666667;9,69299795731733;;;;;;;;;;;
2016-09-13 09:00:00;538,744384765625;503,833333333;6,92908728401881;"September";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;570,61883354187;513,833333333;11,0513461321259;;;;;;;;;;;
2016-09-13 11:00:00;594,328342437744;545,5;8,95111685384861;;;;;;;;;;;
2016-09-13 12:00:00;588,812377929688;555,666666667;5,96503502027612;"September";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;575,529829025269;576,5;0,168286378964691;;;;;;;;;;;
2016-09-13 14:00:00;578,952217102051;588,5;1,62239301579426;;;;;;;;;;;
2016-09-13 15:00:00;547,62353515625;563;2,73116604684725;"September";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;468,991813659668;496,5;5,54042020953314;;;;;;;;;;;
2016-09-13 17:00:00;412,463241577148;449,333333333;8,20551003469115;;;;;;;;;;;
2016-09-13 18:00:00;532,745788574219;505,833333333;5,32041948755911;"September";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;577,704246520996;561,166666667;2,94699967698004;;;;;;;;;;;
2016-09-13 20:00:00;562,191598892212;542,333333333;3,6616347066793;;;;;;;;;;;
2016-09-13 21:00:00;545,639404296875;512,833333333;6,39702391236197;"September";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;662,732376098633;624,333333333;6,15040727693325;;;;;;;;;;;
2016-09-13 23:00:00;591,710956573486;550,666666667;7,45356354233563;;;;;;;;;;;
2016-09-14 00:00:00;524,171752929688;467,166666667;12,2023017329961;"September";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;454,992073059082;405,833333333;12,1130364828228;;;;;;;;;;;
2016-09-14 02:00:00;409,58073425293;362,5;12,9877887594289;;;;;;;;;;;
2016-09-14 03:00:00;402,475891113281;396,666666667;1,46451036460748;"September";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3
2016-09-14 04:00:00;384,78660774231;407,833333333;5,6510156740603;;;;;;;;;;;
2016-09-14 05:00:00;322,803802490234;330,833333333;2,4270622194782;;;;;;;;;;;
2016-09-14 06:00:00;333,106994628906;317,166666667;5,02585222129989;"September";15,5;1004,6;94;14,5;45;18;36;100;0;6
2016-09-14 07:00:00;368,854476928711;384,833333333;4,15214978024328;;;;;;;;;;;
2016-09-14 08:00:00;445,127983093262;458,833333333;2,9869996890116;;;;;;;;;;;
2016-09-14 09:00:00;520,615112304688;478,333333333;8,83939630070738;"September";18;1005,9;82;14,9;29;28,8;46,8;130;0;9
2016-09-14 10:00:00;573,340831756592;504;13,7581015390063;;;;;;;;;;;
