"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;486,000518798828;435;11,7242571951329;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;424,095333099365;422,333333333;0,417205943101809;;;;;;;;;;;;;
2016-09-13 02:00:00;382,088104248047;376,166666667;1,57415265778687;;;;;;;;;;;;;
2016-09-13 03:00:00;376,395843505859;407,833333333;7,70841597723735;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;366,916897773743;399,5;8,15597051971397;;;;;;;;;;;;;
2016-09-13 05:00:00;299,503575325012;346,333333333;13,5215855653608;;;;;;;;;;;;;
2016-09-13 06:00:00;322,284637451172;313,833333333;2,69292749384414;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;387,176864624023;362,833333333;6,70928744815227;;;;;;;;;;;;;
2016-09-13 08:00:00;463,949661254883;445,666666667;4,10239220371035;;;;;;;;;;;;;
2016-09-13 09:00:00;501,799346923828;503,833333333;0,403702231393954;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;517,563913345337;513,833333333;0,726029194746538;;;;;;;;;;;;;
2016-09-13 11:00:00;536,309270858765;545,5;1,68482660700923;;;;;;;;;;;;;
2016-09-13 12:00:00;555,93408203125;555,666666667;0,0481251405368712;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;549,116238594055;576,5;4,75000197848132;;;;;;;;;;;;;
2016-09-13 14:00:00;554,192330360413;588,5;5,82968048251273;;;;;;;;;;;;;
2016-09-13 15:00:00;517,088256835938;563;8,15483892789742;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;450,238319396973;496,5;9,31755903384236;;;;;;;;;;;;;
2016-09-13 17:00:00;397,165405273438;449,333333333;11,610073010297;;;;;;;;;;;;;
2016-09-13 18:00:00;504,402465820312;505,833333333;0,282873313875801;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0
2016-09-13 19:00:00;548,369659423828;561,166666667;2,28042897116084;;;;;;;;;;;;;
2016-09-13 20:00:00;542,031656265259;542,333333333;0,0556257654102221;;;;;;;;;;;;;
2016-09-13 21:00:00;519,244812011719;512,833333333;1,25020708717378;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0
2016-09-13 22:00:00;633,857818603516;624,333333333;1,52554489116722;;;;;;;;;;;;;
2016-09-13 23:00:00;567,315505981445;550,666666667;3,02339696993377;;;;;;;;;;;;;
2016-09-14 00:00:00;495,795684814453;467,166666667;6,12822364911153;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0
2016-09-14 01:00:00;427,506492614746;405,833333333;5,34040885792951;;;;;;;;;;;;;
2016-09-14 02:00:00;388,242824554443;362,5;7,10146884260506;;;;;;;;;;;;;
2016-09-14 03:00:00;381,800201416016;396,666666667;3,74784838259796;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0
2016-09-14 04:00:00;366,673050880432;407,833333333;10,0924272462447;;;;;;;;;;;;;
2016-09-14 05:00:00;302,85081577301;330,833333333;8,45819170579887;;;;;;;;;;;;;
2016-09-14 06:00:00;319,383666992188;317,166666667;0,699001678986386;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0
2016-09-14 07:00:00;379,002689361572;384,833333333;1,51510887087902;;;;;;;;;;;;;
2016-09-14 08:00:00;455,575572967529;458,833333333;0,710009523895326;;;;;;;;;;;;;
2016-09-14 09:00:00;501,738708496094;478,333333333;4,89310979019723;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0
2016-09-14 10:00:00;524,804365158081;504;4,12785022977799;;;;;;;;;;;;;
2016-09-14 11:00:00;535,119566917419;492,333333333;8,6905010665772;;;;;;;;;;;;;
2016-09-14 12:00:00;550,671813964844;519,5;6,00034917513835;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0
2016-09-14 13:00:00;542,772763729095;543,333333333;0,103172319737103;;;;;;;;;;;;;
