"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;482,353851318359;435;10,8859428318068;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0;0
2016-09-13 01:00:00;417,520095825195;422,333333333;1,13967738937849;;;;;;;;;;;;;;
2016-09-13 02:00:00;372,238815307617;376,166666667;1,04417847391564;;;;;;;;;;;;;;
2016-09-13 03:00:00;373,034637451172;407,833333333;8,53257765799507;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0;0
2016-09-13 04:00:00;360,953125;399,5;9,64877972465582;;;;;;;;;;;;;;
2016-09-13 05:00:00;300,104194641113;346,333333333;13,3481632411736;;;;;;;;;;;;;;
2016-09-13 06:00:00;319,797302246094;313,833333333;1,90036184166758;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0;0
2016-09-13 07:00:00;387,788116455078;362,833333333;6,87775373140131;;;;;;;;;;;;;;
2016-09-13 08:00:00;463,832321166992;445,666666667;4,07606308900043;;;;;;;;;;;;;;
2016-09-13 09:00:00;503,202789306641;503,833333333;0,125149327097541;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0;0
2016-09-13 10:00:00;518,432513237;513,833333333;0,895072313461392;;;;;;;;;;;;;;
2016-09-13 11:00:00;538,44694519043;545,5;1,29295230239602;;;;;;;;;;;;;;
2016-09-13 12:00:00;556,034301757812;555,666666667;0,0661610841293919;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0;0
2016-09-13 13:00:00;548,863205909729;576,5;4,79389316396722;;;;;;;;;;;;;;
2016-09-13 14:00:00;561,757754325867;588,5;4,54413690299631;;;;;;;;;;;;;;
2016-09-13 15:00:00;521,405517578125;563;7,38800753496892;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0;0
2016-09-13 16:00:00;453,65454864502;496,5;8,62949674823373;;;;;;;;;;;;;;
2016-09-13 17:00:00;392,546417236328;449,333333333;12,6380377069838;;;;;;;;;;;;;;
2016-09-13 18:00:00;509,134185791016;505,833333333;0,65255732283713;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0;1
2016-09-13 19:00:00;552,009452819824;561,166666667;1,63181713938289;;;;;;;;;;;;;;
2016-09-13 20:00:00;531,402877807617;542,333333333;2,01544969736747;;;;;;;;;;;;;;
2016-09-13 21:00:00;521,384704589844;512,833333333;1,6674757081929;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0;1
2016-09-13 22:00:00;637,300788879395;624,333333333;2,07700836301144;;;;;;;;;;;;;;
2016-09-13 23:00:00;557,41845703125;550,666666667;1,22611205161851;;;;;;;;;;;;;;
2016-09-14 00:00:00;500,961944580078;467,166666667;7,23409445159914;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0;0
2016-09-14 01:00:00;433,048263549805;405,833333333;6,70593763042966;;;;;;;;;;;;;;
2016-09-14 02:00:00;390,532447814941;362,5;7,73308905239763;;;;;;;;;;;;;;
2016-09-14 03:00:00;380,10546875;396,666666667;4,17509191184523;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0;0
2016-09-14 04:00:00;362,993680953979;407,833333333;10,9946021362625;;;;;;;;;;;;;;
2016-09-14 05:00:00;305,668273925781;330,833333333;7,60656707523751;;;;;;;;;;;;;;
2016-09-14 06:00:00;318,828155517578;317,166666667;0,523853552467587;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0;0
2016-09-14 07:00:00;377,647315979004;384,833333333;1,86730637176327;;;;;;;;;;;;;;
2016-09-14 08:00:00;461,683990478516;458,833333333;0,621283794882175;;;;;;;;;;;;;;
2016-09-14 09:00:00;501,456115722656;478,333333333;4,83403116160398;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0;0
2016-09-14 10:00:00;523,0373878479;504;3,77725949363103;;;;;;;;;;;;;;
2016-09-14 11:00:00;522,733112335205;492,333333333;6,17463351433155;;;;;;;;;;;;;;
2016-09-14 12:00:00;549,473876953125;519,5;5,76975494766603;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0;0
2016-09-14 13:00:00;542,755624771118;543,333333333;0,106326729180779;;;;;;;;;;;;;;
2016-09-14 14:00:00;546,237574338913;573;4,67058039460507;;;;;;;;;;;;;;
2016-09-14 15:00:00;482,678192138672;539;10,4493150021017;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15;0;0
2016-09-14 16:00:00;420,057540893555;438,833333333;4,27857024826272;;;;;;;;;;;;;;
2016-09-14 17:00:00;375,167610168457;380,5;1,40141651288909;;;;;;;;;;;;;;
2016-09-14 18:00:00;466,207641601562;426;9,43841352149355;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18;0;1
2016-09-14 19:00:00;508,083274841309;480,5;5,74053586707775;;;;;;;;;;;;;;
2016-09-14 20:00:00;505,918933868408;471,833333333;7,22407641160699;;;;;;;;;;;;;;
2016-09-14 21:00:00;496,285217285156;477,166666667;4,00668193184971;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;21;0;1
2016-09-14 22:00:00;626,331832885742;607,166666667;3,15649182850371;;;;;;;;;;;;;;
2016-09-14 23:00:00;625,464080810547;539,833333333;15,8624416445075;;;;;;;;;;;;;;
2016-09-15 00:00:00;536,515075683594;445,333333333;20,4749421446097;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0;0;0
2016-09-15 01:00:00;466,517929077148;393,166666667;18,6565313463551;;;;;;;;;;;;;;
2016-09-15 02:00:00;418,156280517578;358,5;16,6405245516257;;;;;;;;;;;;;;
2016-09-15 03:00:00;367,296356201172;383,833333333;4,30837441559074;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;3;0;0
2016-09-15 04:00:00;348,832439422607;396,833333333;12,0959833457622;;;;;;;;;;;;;;
2016-09-15 05:00:00;292,455741882324;316;7,4507145942012;;;;;;;;;;;;;;
2016-09-15 06:00:00;335,821228027344;294;14,2249074922938;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;6;0;0
2016-09-15 07:00:00;392,692024230957;357,5;9,84392286180616;;;;;;;;;;;;;;
2016-09-15 08:00:00;468,994567871094;459,166666667;2,14037775769581;;;;;;;;;;;;;;
2016-09-15 09:00:00;548,599243164062;503;9,06545589742793;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;9;0;0
2016-09-15 10:00:00;563,675737380981;525,5;7,26465031036754;;;;;;;;;;;;;;
2016-09-15 11:00:00;576,125814437866;593,666666667;2,95466348609611;;;;;;;;;;;;;;
2016-09-15 12:00:00;565,376342773438;615,5;8,14356738043258;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;12;0;0
2016-09-15 13:00:00;534,484746932983;625,333333333;14,5280255437204;;;;;;;;;;;;;;
2016-09-15 14:00:00;538,67608833313;658;18,1343330800714;;;;;;;;;;;;;;
2016-09-15 15:00:00;526,559265136719;613;14,1012618047767;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;15;0;0
2016-09-15 16:00:00;475,118938446045;522;8,98104627470404;;;;;;;;;;;;;;
2016-09-15 17:00:00;423,05411529541;437;3,19127796443704;;;;;;;;;;;;;;
2016-09-15 18:00:00;495,156890869141;485,5;1,98906094112062;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;18;0;1
2016-09-15 19:00:00;539,927841186523;557;3,06501953563314;;;;;;;;;;;;;;
2016-09-15 20:00:00;529,969631195068;533,166666667;0,599631535841751;;;;;;;;;;;;;;
2016-09-15 21:00:00;495,197998046875;497,666666667;0,496048617573348;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;21;0;1
2016-09-15 22:00:00;614,07250213623;616,5;0,393754722428148;;;;;;;;;;;;;;
2016-09-15 23:00:00;553,606399536133;541,833333333;2,17282058501507;;;;;;;;;;;;;;
2016-09-16 00:00:00;489,004028320312;442,5;10,5093849311441;"September";"Friday";15,9;1014,7;95;15,1;16;18;28,8;310;0;0;0;0
2016-09-16 01:00:00;420,944122314453;412,5;2,04705995501894;;;;;;;;;;;;;;
2016-09-16 02:00:00;379,153373718262;371,166666667;2,15178456701963;;;;;;;;;;;;;;
