"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;497,995758056641;435;14,4817834612967;"September";"South";18,3;1009;97;17,8;9;12,964;20,372;0;7;0;0;0
2016-09-13 01:00:00;432,417816162109;422,333333333;2,3878017748502;;;;;;;;;;;;;;
2016-09-13 02:00:00;383,383613586426;376,166666667;1,91855035518459;;;;;;;;;;;;;;
2016-09-13 03:00:00;389,672576904297;407,833333333;4,45298482109962;"September";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;7;3;0;0
2016-09-13 04:00:00;373,111354827881;399,5;6,6054180656118;;;;;;;;;;;;;;
2016-09-13 05:00:00;298,07982635498;346,333333333;13,9326776645041;;;;;;;;;;;;;;
2016-09-13 06:00:00;322,851623535156;313,833333333;2,87359220462002;"September";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;8;6;0;0
2016-09-13 07:00:00;393,474060058594;362,833333333;8,44484889084665;;;;;;;;;;;;;;
2016-09-13 08:00:00;472,936279296875;445,666666667;6,11883604260013;;;;;;;;;;;;;;
2016-09-13 09:00:00;487,961029052734;503,833333333;3,15030849095788;"September";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;8;9;0;0
2016-09-13 10:00:00;511,369697570801;513,833333333;0,479462036107854;;;;;;;;;;;;;;
2016-09-13 11:00:00;537,202011108398;545,5;1,52117119919369;;;;;;;;;;;;;;
2016-09-13 12:00:00;553,82373046875;555,666666667;0,331662183248144;"September";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;;12;0;0
2016-09-13 13:00:00;544,585062980652;576,5;5,53598213692075;;;;;;;;;;;;;;
2016-09-13 14:00:00;562,18261051178;588,5;4,47194383827021;;;;;;;;;;;;;;
2016-09-13 15:00:00;533,545837402344;563;5,23164522160857;"September";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;8;15;0;0
2016-09-13 16:00:00;446,875564575195;496,5;9,99485104225673;;;;;;;;;;;;;;
2016-09-13 17:00:00;403,296997070312;449,333333333;10,2454754293891;;;;;;;;;;;;;;
2016-09-13 18:00:00;505,127380371094;505,833333333;0,139562364792099;"September";"North";17,2;1005,1;98;16,9;3,9;9,26;24,076;2;8;18;1;0
2016-09-13 19:00:00;554,406879425049;561,166666667;1,20459529111027;;;;;;;;;;;;;;
2016-09-13 20:00:00;541,675254821777;542,333333333;0,121342073366276;;;;;;;;;;;;;;
2016-09-13 21:00:00;518,637023925781;512,833333333;1,13169137330874;"September";"East";17,2;1005,1;98;16,9;3;12,964;25,928;0;8;21;1;0
2016-09-13 22:00:00;626,550216674805;624,333333333;0,3550800867815;;;;;;;;;;;;;;
2016-09-13 23:00:00;546,56042098999;550,666666667;0,745686260957731;;;;;;;;;;;;;;
2016-09-14 00:00:00;487,509613037109;467,166666667;4,35453721800104;"September";"East";17,5;1005,5;97;17;9;12,964;24,076;3;8;0;0;0
2016-09-14 01:00:00;433,344505310059;405,833333333;6,77893354671406;;;;;;;;;;;;;;
2016-09-14 02:00:00;388,868743896484;362,5;7,27413624730603;;;;;;;;;;;;;;
2016-09-14 03:00:00;385,770294189453;396,666666667;2,74698465820279;"September";"East";16,2;1004;97;15,7;2,9;7,408;12,964;0;;3;0;0
2016-09-14 04:00:00;360,887329101562;407,833333333;11,5110758230018;;;;;;;;;;;;;;
2016-09-14 05:00:00;300,163154602051;330,833333333;9,27058299173202;;;;;;;;;;;;;;
2016-09-14 06:00:00;322,781677246094;317,166666667;1,77036592088949;"September";"East";15,5;1004,6;94;14,5;45;18;36;0;7;6;0;0
2016-09-14 07:00:00;373,542366027832;384,833333333;2,93398890563302;;;;;;;;;;;;;;
2016-09-14 08:00:00;442,514823913574;458,833333333;3,55652221273613;;;;;;;;;;;;;;
2016-09-14 09:00:00;484,782775878906;478,333333333;1,34831551482455;"September";"East";18;1005,9;82;14,9;29;28,8;46,8;0;;9;0;0
2016-09-14 10:00:00;505,383396148682;504;0,274483362833659;;;;;;;;;;;;;;
2016-09-14 11:00:00;515,05451965332;492,333333333;4,61500060670326;;;;;;;;;;;;;;
2016-09-14 12:00:00;544,774841308594;519,5;4,86522450598532;"September";"South";20,2;1007,2;65;13,4;7;32,4;54;0;7;12;0;0
2016-09-14 13:00:00;518,793691635132;543,333333333;4,51649847200305;;;;;;;;;;;;;;
2016-09-14 14:00:00;566,904634475708;573;1,06376361680489;;;;;;;;;;;;;;
2016-09-14 15:00:00;489,641540527344;539;9,15741363129058;"September";"South";20,4;1007,9;62;12,9;28;25,2;46,8;0;;15;0;0
2016-09-14 16:00:00;405,536079406738;438,833333333;7,58767654985651;;;;;;;;;;;;;;
2016-09-14 17:00:00;379,115798950195;380,5;0,363784769988091;;;;;;;;;;;;;;
2016-09-14 18:00:00;441,136749267578;426;3,5532275276005;"September";"East";18,6;1009,3;63;11,4;45;25,2;43,2;0;;18;1;0
2016-09-14 19:00:00;492,714164733887;480,5;2,54196976771836;;;;;;;;;;;;;;
2016-09-14 20:00:00;484,909721374512;471,833333333;2,77139979686068;;;;;;;;;;;;;;
2016-09-14 21:00:00;507,637512207031;477,166666667;6,38578670066572;"September";"East";13,8;1010,5;89;12;60;3,6;10,8;0;;21;1;0
2016-09-14 22:00:00;644,815963745117;607,166666667;6,20081752590116;;;;;;;;;;;;;;
2016-09-14 23:00:00;638,295288085938;539,833333333;18,2393247458472;;;;;;;;;;;;;;
2016-09-15 00:00:00;518,409118652344;445,333333333;16,4092332304038;"September";"North";13,4;1010,4;89;11,6;60;10,8;14,4;0;8;0;0;0
2016-09-15 01:00:00;462,4202003479;393,166666667;17,6142942808415;;;;;;;;;;;;;;
2016-09-15 02:00:00;415,007667541504;358,5;15,7622503602521;;;;;;;;;;;;;;
2016-09-15 03:00:00;375,094573974609;383,833333333;2,27670673688186;"September";"East";12,7;1009,8;94;11,8;60;7,2;7,2;0;7;3;0;0
2016-09-15 04:00:00;352,543375015259;396,833333333;11,1608462791546;;;;;;;;;;;;;;
2016-09-15 05:00:00;301,339622497559;316;4,63935996912703;;;;;;;;;;;;;;
2016-09-15 06:00:00;321,765258789062;294;9,44396557451105;"September";"North";13,8;1010,1;92;12,5;4,6;7,2;18;;8;6;0;0
2016-09-15 07:00:00;380,669460296631;357,5;6,4809679151415;;;;;;;;;;;;;;
2016-09-15 08:00:00;457,232223510742;459,166666667;0,421294335300854;;;;;;;;;;;;;;
2016-09-15 09:00:00;547,697204589844;503;8,88612417293116;"September";"West";14;1010,8;98;13,7;2,9;7,2;14,4;9;8;9;0;0
2016-09-15 10:00:00;570,097316741943;525,5;8,4866444799131;;;;;;;;;;;;;;
