"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"f_evening";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;506,217498779297;435;16,3718387998384;"September";"South";0;0;18,3;1009;97;17,8;9;12,964;20,372;0;7;0
2016-09-13 01:00:00;439,040962219238;422,333333333;3,95602893912821;;;;;;;;;;;;;;
2016-09-13 02:00:00;378,900054931641;376,166666667;0,726642870528539;;;;;;;;;;;;;;
2016-09-13 03:00:00;387,385559082031;407,833333333;5,01375747878679;"September";"East";0;0;17,1;1007,4;98;16,8;0,4;3,704;11,112;0;7;3
2016-09-13 04:00:00;366,851661682129;399,5;8,17229995441079;;;;;;;;;;;;;;
2016-09-13 05:00:00;295,967674255371;346,333333333;14,5425387134776;;;;;;;;;;;;;;
2016-09-13 06:00:00;321,572113037109;313,833333333;2,46588838155633;"September";"South";0;0;17,6;1008,1;99;17,4;5;5,556;14,816;0;8;6
2016-09-13 07:00:00;387,575706481934;362,833333333;6,8192117084859;;;;;;;;;;;;;;
2016-09-13 08:00:00;455,183181762695;445,666666667;2,13534370135112;;;;;;;;;;;;;;
2016-09-13 09:00:00;483,699401855469;503,833333333;3,99614915201017;"September";"North";0;0;20,1;1007,2;87;17,9;45;11,112;18,52;0;8;9
2016-09-13 10:00:00;501,436325073242;513,833333333;2,41265162369755;;;;;;;;;;;;;;
2016-09-13 11:00:00;538,422634124756;545,5;1,29740895971478;;;;;;;;;;;;;;
2016-09-13 12:00:00;549,260437011719;555,666666667;1,15289075979797;"September";"North";0;0;23,3;1005,8;76;18,8;40;14,816;25,928;0;;12
2016-09-13 13:00:00;543,824529647827;576,5;5,66790465779234;;;;;;;;;;;;;;
2016-09-13 14:00:00;555,896325588226;588,5;5,54013159078567;;;;;;;;;;;;;;
2016-09-13 15:00:00;538,585754394531;563;4,33645570256994;"September";"North";0;0;18,8;1005,1;93;17,6;5;14,816;29,632;0;8;15
2016-09-13 16:00:00;452,250007629395;496,5;8,91238517031329;;;;;;;;;;;;;;
2016-09-13 17:00:00;387,625228881836;449,333333333;13,7332576671832;;;;;;;;;;;;;;
2016-09-13 18:00:00;504,413482666016;505,833333333;0,280695354263979;"September";"North";0;1;17,2;1005,1;98;16,9;3,9;9,26;24,076;2;8;18
2016-09-13 19:00:00;550,159320831299;561,166666667;1,96151098943177;;;;;;;;;;;;;;
2016-09-13 20:00:00;541,460060119629;542,333333333;0,161021489865705;;;;;;;;;;;;;;
2016-09-13 21:00:00;510,735137939453;512,833333333;0,409137873295082;"September";"East";0;1;17,2;1005,1;98;16,9;3;12,964;25,928;0;8;21
2016-09-13 22:00:00;624,912887573242;624,333333333;0,0928276946464157;;;;;;;;;;;;;;
2016-09-13 23:00:00;527,408437728882;550,666666667;4,22364932290025;;;;;;;;;;;;;;
