"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;486,53515625;435;11,8471623563218;"September";"South";18,3;1009;97;17,8;9;12,964;20,372;0;0;0;0
2016-09-13 01:00:00;425,273658752441;422,333333333;0,696209649434193;;;;;;;;;;;;;
2016-09-13 02:00:00;376,540176391602;376,166666667;0,0992936795572573;;;;;;;;;;;;;
2016-09-13 03:00:00;381,782745361328;407,833333333;6,38755732857209;"September";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0;0
2016-09-13 04:00:00;365,119304656982;399,5;8,60593124981667;;;;;;;;;;;;;
2016-09-13 05:00:00;289,154563903809;346,333333333;16,509750557049;;;;;;;;;;;;;
2016-09-13 06:00:00;325,073455810547;313,833333333;3,5815578792009;"September";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0;0
2016-09-13 07:00:00;394,43928527832;362,833333333;8,71087329683492;;;;;;;;;;;;;
2016-09-13 08:00:00;467,303375244141;445,666666667;4,85490843166591;;;;;;;;;;;;;
2016-09-13 09:00:00;490,853942871094;503,833333333;2,57612777940751;"September";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0;0
2016-09-13 10:00:00;492,456074476242;513,833333333;4,16034878821379;;;;;;;;;;;;;
2016-09-13 11:00:00;535,5071144104;545,5;1,8318763683959;;;;;;;;;;;;;
2016-09-13 12:00:00;554,875610351562;555,666666667;0,142361664445768;"September";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0;0
2016-09-13 13:00:00;547,764919281006;576,5;4,98440255316464;;;;;;;;;;;;;
2016-09-13 14:00:00;562,1676030159;588,5;4,4744939650128;;;;;;;;;;;;;
2016-09-13 15:00:00;527,904174804688;563;6,23371673096137;"September";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0;0
2016-09-13 16:00:00;441,580894470215;496,5;11,0612498549416;;;;;;;;;;;;;
2016-09-13 17:00:00;377,298904418945;449,333333333;16,0314010936442;;;;;;;;;;;;;
2016-09-13 18:00:00;492,187347412109;505,833333333;2,69772374054028;"September";"North";17,2;1005,1;98;16,9;3,9;9,26;24,076;2;18;1;0
2016-09-13 19:00:00;536,49927520752;561,166666667;4,39573355381036;;;;;;;;;;;;;
2016-09-13 20:00:00;535,88122177124;542,333333333;1,18969481778066;;;;;;;;;;;;;
2016-09-13 21:00:00;521,368774414062;512,833333333;1,66436940157322;"September";"East";17,2;1005,1;98;16,9;3;12,964;25,928;0;21;1;0
2016-09-13 22:00:00;626,018707275391;624,333333333;0,269947775076052;;;;;;;;;;;;;
2016-09-13 23:00:00;545,401317596436;550,666666667;0,956177191990537;;;;;;;;;;;;;
2016-09-14 00:00:00;489,006103515625;467,166666667;4,67487053484325;"September";"East";17,5;1005,5;97;17;9;12,964;24,076;3;0;0;0
2016-09-14 01:00:00;430,498168945312;405,833333333;6,07757756361383;;;;;;;;;;;;;
2016-09-14 02:00:00;394,253242492676;362,5;8,75951517039332;;;;;;;;;;;;;
2016-09-14 03:00:00;389,608856201172;396,666666667;1,77927994936694;"September";"East";16,2;1004;97;15,7;2,9;7,408;12,964;0;3;0;0
2016-09-14 04:00:00;365,81858253479;407,833333333;10,3019413481596;;;;;;;;;;;;;
2016-09-14 05:00:00;305,287071228027;330,833333333;7,72179207203981;;;;;;;;;;;;;
2016-09-14 06:00:00;317,548278808594;317,166666667;0,120319119787704;"September";"East";15,5;1004,6;94;14,5;45;18;36;0;6;0;0
