"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;498,297882080078;435;14,5512372597881;"September";"Tuesday";"South";18,3;1009;97;17,8;9;12,964;20,372;0;7;0;0;0
2016-09-13 01:00:00;438,963256835938;422,333333333;3,9376298744161;;;;;;;;;;;;;;;
2016-09-13 02:00:00;375,681106567383;376,166666667;0,129081107563165;;;;;;;;;;;;;;;
2016-09-13 03:00:00;387,811920166016;407,833333333;4,90921450764219;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;7;3;0;0
2016-09-13 04:00:00;370,510587692261;399,5;7,25642360644287;;;;;;;;;;;;;;;
2016-09-13 05:00:00;299,601364135742;346,333333333;13,4933501050922;;;;;;;;;;;;;;;
2016-09-13 06:00:00;326,695983886719;313,833333333;4,09856098366408;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;8;6;0;0
2016-09-13 07:00:00;392,301872253418;362,833333333;8,12178380903401;;;;;;;;;;;;;;;
2016-09-13 08:00:00;480,088424682617;445,666666667;7,72365550088065;;;;;;;;;;;;;;;
2016-09-13 09:00:00;484,342437744141;503,833333333;3,86852046090749;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;8;9;0;0
2016-09-13 10:00:00;519,073818206787;513,833333333;1,01988028682267;;;;;;;;;;;;;;;
2016-09-13 11:00:00;533,675846099854;545,5;2,16758091661714;;;;;;;;;;;;;;;
2016-09-13 12:00:00;552,629028320312;555,666666667;0,546665569289557;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;;12;0;0
2016-09-13 13:00:00;557,206825256348;576,5;3,34660446550778;;;;;;;;;;;;;;;
2016-09-13 14:00:00;572,666118621826;588,5;2,69054908720031;;;;;;;;;;;;;;;
2016-09-13 15:00:00;540,562377929688;563;3,98536804090808;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;8;15;0;0
2016-09-13 16:00:00;457,979469299316;496,5;7,7584150454549;;;;;;;;;;;;;;;
2016-09-13 17:00:00;398,019485473633;449,333333333;11,4199958144077;;;;;;;;;;;;;;;
2016-09-13 18:00:00;497,902252197266;505,833333333;1,56792378301277;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;9,26;24,076;2;8;18;0;1
2016-09-13 19:00:00;544,662242889404;561,166666667;2,94109125825706;;;;;;;;;;;;;;;
2016-09-13 20:00:00;539,848472595215;542,333333333;0,458179607459138;;;;;;;;;;;;;;;
2016-09-13 21:00:00;517,682495117188;512,833333333;0,945562908844448;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;12,964;25,928;0;8;21;0;1
2016-09-13 22:00:00;624,873374938965;624,333333333;0,0864989224717177;;;;;;;;;;;;;;;
2016-09-13 23:00:00;545,985538482666;550,666666667;0,850083810713882;;;;;;;;;;;;;;;
2016-09-14 00:00:00;473,360626220703;467,166666667;1,32585648669968;"September";"Wednesday";"East";17,5;1005,5;97;17;9;12,964;24,076;3;8;0;0;0
2016-09-14 01:00:00;415,935565948486;405,833333333;2,48925649663112;;;;;;;;;;;;;;;
2016-09-14 02:00:00;368,377075195312;362,5;1,62126212284483;;;;;;;;;;;;;;;
2016-09-14 03:00:00;390,384582519531;396,666666667;1,58371869263785;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;7,408;12,964;0;;3;0;0
2016-09-14 04:00:00;369,559829711914;407,833333333;9,38459426753998;;;;;;;;;;;;;;;
2016-09-14 05:00:00;302,117492675781;330,833333333;8,67985108027637;;;;;;;;;;;;;;;
2016-09-14 06:00:00;323,662780761719;317,166666667;2,04817049754448;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;18;36;0;7;6;0;0
2016-09-14 07:00:00;382,564308166504;384,833333333;0,589612429579396;;;;;;;;;;;;;;;
2016-09-14 08:00:00;464,641128540039;458,833333333;1,2657744730207;;;;;;;;;;;;;;;
2016-09-14 09:00:00;489,717651367188;478,333333333;2,37999680157396;"September";"Wednesday";"East";18;1005,9;82;14,9;29;28,8;46,8;0;;9;0;0
2016-09-14 10:00:00;508,686681747437;504;0,929897172110421;;;;;;;;;;;;;;;
2016-09-14 11:00:00;493,218975782394;492,333333333;0,179886753431623;;;;;;;;;;;;;;;
2016-09-14 12:00:00;539,540771484375;519,5;3,85770384684793;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;32,4;54;0;7;12;0;0
2016-09-14 13:00:00;536,647017240524;543,333333333;1,2306103237693;;;;;;;;;;;;;;;
2016-09-14 14:00:00;564,656288146973;573;1,4561451750484;;;;;;;;;;;;;;;
2016-09-14 15:00:00;484,874328613281;539;10,0418685318588;"September";"Wednesday";"South";20,4;1007,9;62;12,9;28;25,2;46,8;0;;15;0;0
2016-09-14 16:00:00;400,586944580078;438,833333333;8,71547028172068;;;;;;;;;;;;;;;
2016-09-14 17:00:00;393,802474975586;380,5;3,49605124194111;;;;;;;;;;;;;;;
2016-09-14 18:00:00;450,129364013672;426;5,664169956261;"September";"Wednesday";"East";18,6;1009,3;63;11,4;45;25,2;43,2;0;;18;0;1
2016-09-14 19:00:00;501,207489013672;480,5;4,30957107464555;;;;;;;;;;;;;;;
2016-09-14 20:00:00;499,596714019775;471,833333333;5,88414991595797;;;;;;;;;;;;;;;
2016-09-14 21:00:00;507,134979248047;477,166666667;6,28047067712733;"September";"Wednesday";"East";13,8;1010,5;89;12;60;3,6;10,8;0;;21;0;1
2016-09-14 22:00:00;633,649864196777;607,166666667;4,36176736696616;;;;;;;;;;;;;;;
2016-09-14 23:00:00;640,882537841797;539,833333333;18,7185929933052;;;;;;;;;;;;;;;
2016-09-15 00:00:00;520,323913574219;445,333333333;16,8392021499869;"September";"Thursday";"North";13,4;1010,4;89;11,6;60;10,8;14,4;0;8;0;0;0
2016-09-15 01:00:00;461,924224853516;393,166666667;17,4881453632363;;;;;;;;;;;;;;;
2016-09-15 02:00:00;409,958923339844;358,5;14,3539535118114;;;;;;;;;;;;;;;
2016-09-15 03:00:00;382,639251708984;383,833333333;0,311093779596174;"September";"Thursday";"East";12,7;1009,8;94;11,8;60;7,2;7,2;0;7;3;0;0
2016-09-15 04:00:00;362,141244888306;396,833333333;8,74223144344144;;;;;;;;;;;;;;;
2016-09-15 05:00:00;308,549095153809;316;2,35788128044032;;;;;;;;;;;;;;;
2016-09-15 06:00:00;320,597564697266;294;9,04679071335565;"September";"Thursday";"North";13,8;1010,1;92;12,5;4,6;7,2;18;;8;6;0;0
2016-09-15 07:00:00;375,818603515625;357,5;5,12408489947552;;;;;;;;;;;;;;;
2016-09-15 08:00:00;461,031707763672;459,166666667;0,406179549184139;;;;;;;;;;;;;;;
2016-09-15 09:00:00;537,176818847656;503;6,79459619237699;"September";"Thursday";"West";14;1010,8;98;13,7;2,9;7,2;14,4;9;8;9;0;0
2016-09-15 10:00:00;566,755359649658;525,5;7,85068689812716;;;;;;;;;;;;;;;
2016-09-15 11:00:00;577,756637573242;593,666666667;2,67995998210256;;;;;;;;;;;;;;;
2016-09-15 12:00:00;569,41064453125;615,5;7,48811624187652;"September";"Thursday";"West";16,4;1011,4;95;15,6;2;10,8;14,4;0;8;12;0;0
2016-09-15 13:00:00;547,774477005005;625,333333333;12,402802184654;;;;;;;;;;;;;;;
2016-09-15 14:00:00;544,968183517456;658;17,1780876113289;;;;;;;;;;;;;;;
2016-09-15 15:00:00;524,817504882812;613;14,3853988771921;"September";"Thursday";"North";16,3;1011,8;91;14,8;19;10,8;18;1;8;15;0;0
2016-09-15 16:00:00;464,421848297119;522;11,0302972610883;;;;;;;;;;;;;;;
2016-09-15 17:00:00;413,259902954102;437;5,43251648647562;;;;;;;;;;;;;;;
2016-09-15 18:00:00;483,754302978516;485,5;0,359566842736226;"September";"Thursday";"West";16,1;1012,8;94;15,1;18;7,2;10,8;;8;18;0;1
2016-09-15 19:00:00;527,82054901123;557;5,23868060839668;;;;;;;;;;;;;;;
2016-09-15 20:00:00;509,890338897705;533,166666667;4,36567573040581;;;;;;;;;;;;;;;
2016-09-15 21:00:00;509,232147216797;497,666666667;2,3239411687453;"September";"Thursday";"North";16,2;1014;96;15,6;10;14,4;25,2;0;8;21;0;1
2016-09-15 22:00:00;633,380752563477;616,5;2,73815937769287;;;;;;;;;;;;;;;
2016-09-15 23:00:00;574,091972351074;541,833333333;5,95360916974974;;;;;;;;;;;;;;;
2016-09-16 00:00:00;467,899505615234;442,5;5,74000126897952;"September";"Friday";"West";15,9;1014,7;95;15,1;16;18;28,8;0;8;0;0;0
2016-09-16 01:00:00;399,457939147949;412,5;3,16171172170928;;;;;;;;;;;;;;;
2016-09-16 02:00:00;368,42227935791;371,166666667;0,739394874473479;;;;;;;;;;;;;;;
2016-09-16 03:00:00;382,756042480469;412;7,0980479416338;"September";"Friday";"North";15,2;1015,4;92;13,9;40;21,6;32,4;0;8;3;0;0
2016-09-16 04:00:00;366,071807861328;407,166666667;10,0928838654863;;;;;;;;;;;;;;;
2016-09-16 05:00:00;327,414134979248;341,833333333;4,2181955203606;;;;;;;;;;;;;;;
2016-09-16 06:00:00;321,144165039062;328;2,09019358565168;"September";"Friday";"North";15,1;1016,8;92;13,8;15;18;36;;8;6;0;0
2016-09-16 07:00:00;382,993434906006;425,666666667;10,0250348694504;;;;;;;;;;;;;;;
2016-09-16 08:00:00;444,028457641602;461,833333333;3,85525998370508;;;;;;;;;;;;;;;
2016-09-16 09:00:00;497,819854736328;499,166666667;0,269812072922402;"September";"Friday";"North";16,4;1019;76;12,2;13;28,8;39,6;;6;9;0;0
2016-09-16 10:00:00;517,557762145996;506;2,28414271660002;;;;;;;;;;;;;;;
2016-09-16 11:00:00;543,657707214355;536,666666667;1,30267836286047;;;;;;;;;;;;;;;
2016-09-16 12:00:00;543,171203613281;524,833333333;3,49403689049721;"September";"Friday";"North";16,6;1020,4;68;10,7;16;25,2;46,8;0;7;12;0;0
2016-09-16 13:00:00;503,376274108887;564,5;10,8279408133062;;;;;;;;;;;;;;;
2016-09-16 14:00:00;471,400611877441;572,666666667;17,6832458887368;;;;;;;;;;;;;;;
2016-09-16 15:00:00;488,121337890625;520,833333333;6,28070312494003;"September";"Friday";"North";16,7;1021,1;70;11,2;19;28,8;50,4;0;8;15;0;0
2016-09-16 16:00:00;464,547761917114;442,166666667;5,06168758012002;;;;;;;;;;;;;;;
2016-09-16 17:00:00;478,413887023926;386,666666667;23,7277294026328;;;;;;;;;;;;;;;
2016-09-16 18:00:00;448,148742675781;447,833333333;0,0704300728205806;"September";"Friday";"North";14,5;1022,6;80;11,1;55;18;39,6;0;;18;0;1
2016-09-16 19:00:00;487,799392700195;488,166666667;0,0752353636335511;;;;;;;;;;;;;;;
2016-09-16 20:00:00;508,464263916016;493,5;3,03227232340742;;;;;;;;;;;;;;;
2016-09-16 21:00:00;505,994506835938;511,333333333;1,044099054185;"September";"Friday";"North";13,3;1024,3;87;11,2;45;14,4;21,6;0;;21;0;1
2016-09-16 22:00:00;644,92448425293;616,5;4,61062193883693;;;;;;;;;;;;;;;
2016-09-16 23:00:00;673,787338256836;560,5;20,2118355498369;;;;;;;;;;;;;;;
2016-09-17 00:00:00;555,5947265625;461,333333333;20,4323829254844;"September";"Saturday";"North";12,2;1024,3;94;11,3;19;7,2;14,4;;;0;1;0
2016-09-17 01:00:00;461,679000854492;397,666666667;16,0969826120969;;;;;;;;;;;;;;;
2016-09-17 02:00:00;404,073394775391;363,333333333;11,2128609474573;;;;;;;;;;;;;;;
2016-09-17 03:00:00;385,248992919922;398,666666667;3,36563722752515;"September";"Saturday";"West";12,6;1024,5;95;11,8;19;10,8;18;0;;3;1;0
2016-09-17 04:00:00;376,100703239441;398,666666667;5,66035871928267;;;;;;;;;;;;;;;
