"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-13 00:00:00;497,205200195312;435;14,3000460219109;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0;0
2016-09-13 01:00:00;433,514282226562;422,333333333;2,64742278458674;;;;;;;;;;;;;;
2016-09-13 02:00:00;380,793571472168;376,166666667;1,23001456938339;;;;;;;;;;;;;;
2016-09-13 03:00:00;381,337310791016;407,833333333;6,49677708426792;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3;0
2016-09-13 04:00:00;372,32723903656;399,5;6,80169235630537;;;;;;;;;;;;;;
2016-09-13 05:00:00;306,534210205078;346,333333333;11,4915658694784;;;;;;;;;;;;;;
2016-09-13 06:00:00;321,414337158203;313,833333333;2,41561460176671;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6;0
2016-09-13 07:00:00;388,20288848877;362,833333333;6,99206848574906;;;;;;;;;;;;;;
2016-09-13 08:00:00;467,903335571289;445,666666667;4,98952929789209;;;;;;;;;;;;;;
2016-09-13 09:00:00;495,490570068359;503,833333333;1,65585774356192;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9;0
2016-09-13 10:00:00;521,138389587402;513,833333333;1,42167815525275;;;;;;;;;;;;;;
2016-09-13 11:00:00;538,656871795654;545,5;1,25446896504962;;;;;;;;;;;;;;
2016-09-13 12:00:00;551,370422363281;555,666666667;0,773169340800744;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12;0
2016-09-13 13:00:00;539,61413860321;576,5;6,39824135243531;;;;;;;;;;;;;;
2016-09-13 14:00:00;553,888451337814;588,5;5,88131668006553;;;;;;;;;;;;;;
2016-09-13 15:00:00;523,643615722656;563;6,99047678105573;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15;0
2016-09-13 16:00:00;456,235664367676;496,5;8,10963456844395;;;;;;;;;;;;;;
2016-09-13 17:00:00;398,487113952637;449,333333333;11,3159241944513;;;;;;;;;;;;;;
2016-09-13 18:00:00;503,416442871094;505,833333333;0,477803715698417;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18;0
2016-09-13 19:00:00;544,803844451904;561,166666667;2,91585783458615;;;;;;;;;;;;;;
2016-09-13 20:00:00;526,514535903931;542,333333333;2,91680345957205;;;;;;;;;;;;;;
2016-09-13 21:00:00;512,952758789062;512,833333333;0,0232873817476509;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21;0
2016-09-13 22:00:00;626,729690551758;624,333333333;0,383826570009458;;;;;;;;;;;;;;
2016-09-13 23:00:00;549,931228637695;550,666666667;0,133554121544346;;;;;;;;;;;;;;
2016-09-14 00:00:00;499,954162597656;467,166666667;7,0183723005279;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0;0
2016-09-14 01:00:00;439,204559326172;405,833333333;8,22288936177396;;;;;;;;;;;;;;
2016-09-14 02:00:00;398,479614257812;362,5;9,92541082974138;;;;;;;;;;;;;;
2016-09-14 03:00:00;384,736846923828;396,666666667;3,00751758230971;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3;0
2016-09-14 04:00:00;369,575004577637;407,833333333;9,38087341775101;;;;;;;;;;;;;;
2016-09-14 05:00:00;307,693359375;330,833333333;6,99445056665692;;;;;;;;;;;;;;
2016-09-14 06:00:00;318,350952148438;317,166666667;0,373395317320937;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6;0
2016-09-14 07:00:00;377,12149810791;384,833333333;2,00394159162317;;;;;;;;;;;;;;
2016-09-14 08:00:00;460,613357543945;458,833333333;0,387945705255348;;;;;;;;;;;;;;
2016-09-14 09:00:00;497,038604736328;478,333333333;3,91050970104694;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9;0
2016-09-14 10:00:00;515,929349899292;504;2,36693450382778;;;;;;;;;;;;;;
2016-09-14 11:00:00;507,637456893921;492,333333333;3,10848819788719;;;;;;;;;;;;;;
2016-09-14 12:00:00;551,021606445312;519,5;6,06768170265881;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12;0
2016-09-14 13:00:00;540,203847885132;543,333333333;0,575978916785913;;;;;;;;;;;;;;
2016-09-14 14:00:00;550,142205834389;573;3,98914383344001;;;;;;;;;;;;;;
2016-09-14 15:00:00;487,201538085938;539;9,61010425121753;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15;0
2016-09-14 16:00:00;424,464241027832;438,833333333;3,2743848777468;;;;;;;;;;;;;;
2016-09-14 17:00:00;378,923583984375;380,5;0,414301186760841;;;;;;;;;;;;;;
2016-09-14 18:00:00;467,741546630859;426;9,79848512461488;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;;18;0
2016-09-14 19:00:00;511,657192230225;480,5;6,48432720712271;;;;;;;;;;;;;;
2016-09-14 20:00:00;513,676040649414;471,833333333;8,86811175904846;;;;;;;;;;;;;;
2016-09-14 21:00:00;489,966705322266;477,166666667;2,68250897420678;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;;21;0
2016-09-14 22:00:00;616,798385620117;607,166666667;1,58633855939258;;;;;;;;;;;;;;
2016-09-14 23:00:00;608,025825500488;539,833333333;12,6321380983384;;;;;;;;;;;;;;
2016-09-15 00:00:00;526,306823730469;445,333333333;18,1826699994452;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;8;0;0
2016-09-15 01:00:00;465,962715148926;393,166666667;18,5153154256543;;;;;;;;;;;;;;
2016-09-15 02:00:00;409,910202026367;358,5;14,3403631872712;;;;;;;;;;;;;;
2016-09-15 03:00:00;377,894622802734;383,833333333;1,54721073302756;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;7;3;0
2016-09-15 04:00:00;362,774279594421;396,833333333;8,58270988793126;;;;;;;;;;;;;;
2016-09-15 05:00:00;301,808654785156;316;4,49093203001385;;;;;;;;;;;;;;
2016-09-15 06:00:00;324,371124267578;294;10,3303143767273;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;8;6;0
