"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;512,380859375;435;17,7887033045977;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0;0;0
2016-09-13 01:00:00;449,542503356934;422,333333333;6,44258169470128;;;;;;;;;;;;;;;
2016-09-13 02:00:00;398,453399658203;376,166666667;5,92469640882145;;;;;;;;;;;;;;;
2016-09-13 03:00:00;395,535919189453;407,833333333;3,01530383577203;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3;0;0
2016-09-13 04:00:00;380,790512084961;399,5;4,68322601127386;;;;;;;;;;;;;;;
2016-09-13 05:00:00;314,472343444824;346,333333333;9,19951584837529;;;;;;;;;;;;;;;
2016-09-13 06:00:00;337,762054443359;313,833333333;7,62465887744604;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6;0;0
2016-09-13 07:00:00;406,94312286377;362,833333333;12,1570389152439;;;;;;;;;;;;;;;
2016-09-13 08:00:00;486,441390991211;445,666666667;9,14915280273308;;;;;;;;;;;;;;;
2016-09-13 09:00:00;485,746704101562;503,833333333;3,58980401550436;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9;0;0
2016-09-13 10:00:00;522,38468170166;513,833333333;1,6642260853712;;;;;;;;;;;;;;;
2016-09-13 11:00:00;520,181686401367;545,5;4,64130405107843;;;;;;;;;;;;;;;
2016-09-13 12:00:00;548,243225097656;555,666666667;1,33595229202266;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12;0;0
2016-09-13 13:00:00;541,949628353119;576,5;5,99312604455873;;;;;;;;;;;;;;;
2016-09-13 14:00:00;551,861642122269;588,5;6,22571926554483;;;;;;;;;;;;;;;
2016-09-13 15:00:00;535,159606933594;563;4,94500764945049;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15;0;0
2016-09-13 16:00:00;459,663795471191;496,5;7,4191751316835;;;;;;;;;;;;;;;
2016-09-13 17:00:00;376,84700012207;449,333333333;16,1319732665393;;;;;;;;;;;;;;;
2016-09-13 18:00:00;493,672302246094;505,833333333;2,40415771075735;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18;0;1
2016-09-13 19:00:00;533,182956695557;561,166666667;4,98670210361034;;;;;;;;;;;;;;;
2016-09-13 20:00:00;510,473484039307;542,333333333;5,87458806890836;;;;;;;;;;;;;;;
2016-09-13 21:00:00;521,0078125;512,833333333;1,59398358797633;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21;0;1
2016-09-13 22:00:00;622,634384155273;624,333333333;0,272122132043915;;;;;;;;;;;;;;;
2016-09-13 23:00:00;569,619567871094;550,666666667;3,44181014601979;;;;;;;;;;;;;;;
2016-09-14 00:00:00;503,819152832031;467,166666667;7,84569807313701;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0;0;0
2016-09-14 01:00:00;450,243854522705;405,833333333;10,9430442356653;;;;;;;;;;;;;;;
2016-09-14 02:00:00;401,734512329102;362,5;10,8233137459591;;;;;;;;;;;;;;;
2016-09-14 03:00:00;404,456939697266;396,666666667;1,96393437737623;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3;0;0
2016-09-14 04:00:00;381,600439071655;407,833333333;6,43225850299129;;;;;;;;;;;;;;;
