"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;490,356903076172;435;12,725724845097;"September";"South";0;18,3;1009;97;17,8;9;20,372;0;7;0
2016-09-13 01:00:00;426,283058166504;422,333333333;0,935215035558099;;;;;;;;;;;;
2016-09-13 02:00:00;362,612213134766;376,166666667;3,60331064215039;;;;;;;;;;;;
2016-09-13 03:00:00;392,850952148438;407,833333333;3,67365292633626;"September";"East";0;17,1;1007,4;98;16,8;0,4;11,112;0;7;3
2016-09-13 04:00:00;370,634860992432;399,5;7,22531639738883;;;;;;;;;;;;
2016-09-13 05:00:00;298,217460632324;346,333333333;13,8929372571864;;;;;;;;;;;;
2016-09-13 06:00:00;325,047027587891;313,833333333;3,57313677798276;"September";"South";0;17,6;1008,1;99;17,4;5;14,816;0;8;6
2016-09-13 07:00:00;382,160358428955;362,833333333;5,32669501956073;;;;;;;;;;;;
2016-09-13 08:00:00;466,502304077148;445,666666667;4,6751617225429;;;;;;;;;;;;
2016-09-13 09:00:00;501,383483886719;503,833333333;0,486242033665138;"September";"North";0;20,1;1007,2;87;17,9;45;18,52;0;8;9
2016-09-13 10:00:00;514,521482467651;513,833333333;0,133924580211179;;;;;;;;;;;;
2016-09-13 11:00:00;561,101150512695;545,5;2,85997259627778;;;;;;;;;;;;
2016-09-13 12:00:00;561,495300292969;555,666666667;1,04894426382099;"September";"North";0;23,3;1005,8;76;18,8;40;25,928;0;;12
2016-09-13 13:00:00;555,739189624786;576,5;3,60118133134668;;;;;;;;;;;;
2016-09-13 14:00:00;563,602946043015;588,5;4,23059540475539;;;;;;;;;;;;
2016-09-13 15:00:00;544,63818359375;563;3,2614238732238;"September";"North";0;18,8;1005,1;93;17,6;5;29,632;0;8;15
2016-09-13 16:00:00;456,696701049805;496,5;8,01677723065364;;;;;;;;;;;;
2016-09-13 17:00:00;390,619354248047;449,333333333;13,0669092919132;;;;;;;;;;;;
2016-09-13 18:00:00;503,799835205078;505,833333333;0,402009514581193;"September";"North";0;17,2;1005,1;98;16,9;3,9;24,076;2;8;18
2016-09-13 19:00:00;542,183403015137;561,166666667;3,38282096558099;;;;;;;;;;;;
2016-09-13 20:00:00;541,898036956787;542,333333333;0,0802636219200737;;;;;;;;;;;;
2016-09-13 21:00:00;524,731384277344;512,833333333;2,32006193260022;"September";"East";0;17,2;1005,1;98;16,9;3;25,928;0;8;21
2016-09-13 22:00:00;637,202018737793;624,333333333;2,06118826558459;;;;;;;;;;;;
2016-09-13 23:00:00;565,56619644165;550,666666667;2,70572574600026;;;;;;;;;;;;
2016-09-14 00:00:00;463,327362060547;467,166666667;0,82182760038182;"September";"East";0;17,5;1005,5;97;17;9;24,076;3;8;0
2016-09-14 01:00:00;409,50231552124;405,833333333;0,904061319484993;;;;;;;;;;;;
2016-09-14 02:00:00;361,050102233887;362,5;0,399971797548491;;;;;;;;;;;;
2016-09-14 03:00:00;391,649078369141;396,666666667;1,26493822635004;"September";"East";0;16,2;1004;97;15,7;2,9;12,964;0;;3
2016-09-14 04:00:00;369,843980789185;407,833333333;9,31492093433097;;;;;;;;;;;;
2016-09-14 05:00:00;297,50895690918;330,833333333;10,0728593724495;;;;;;;;;;;;
2016-09-14 06:00:00;313,953125;317,166666667;1,01320283772884;"September";"East";0;15,5;1004,6;94;14,5;45;36;0;7;6
2016-09-14 07:00:00;348,628776550293;384,833333333;9,40785364644566;;;;;;;;;;;;
2016-09-14 08:00:00;420,267524719238;458,833333333;8,40518894597669;;;;;;;;;;;;
2016-09-14 09:00:00;515,672058105469;478,333333333;7,80600517891877;"September";"East";0;18;1005,9;82;14,9;29;46,8;0;;9
2016-09-14 10:00:00;562,248199462891;504;11,5571824331132;;;;;;;;;;;;
2016-09-14 11:00:00;539,400730133057;492,333333333;9,56006705485887;;;;;;;;;;;;
2016-09-14 12:00:00;555,225402832031;519,5;6,87688216208494;"September";"South";0;20,2;1007,2;65;13,4;7;54;0;7;12
2016-09-14 13:00:00;536,263942718506;543,333333333;1,30111483702427;;;;;;;;;;;;
2016-09-14 14:00:00;578,529064178467;573;0,964932666399092;;;;;;;;;;;;
2016-09-14 15:00:00;493,009185791016;539;8,53261859164831;"September";"South";0;20,4;1007,9;62;12,9;28;46,8;0;;15
2016-09-14 16:00:00;409,182968139648;438,833333333;6,75663468136135;;;;;;;;;;;;
2016-09-14 17:00:00;371,690956115723;380,5;2,31512322845659;;;;;;;;;;;;
2016-09-14 18:00:00;451,164703369141;426;5,90720736364803;"September";"East";0;18,6;1009,3;63;11,4;45;43,2;0;;18
2016-09-14 19:00:00;500,875915527344;480,5;4,24056514616935;;;;;;;;;;;;
2016-09-14 20:00:00;502,554744720459;471,833333333;6,51107270663667;;;;;;;;;;;;
2016-09-14 21:00:00;506,141296386719;477,166666667;6,07222418156448;"September";"East";0;13,8;1010,5;89;12;60;10,8;0;;21
2016-09-14 22:00:00;637,869491577148;607,166666667;5,0567375641172;;;;;;;;;;;;
2016-09-14 23:00:00;657,45231628418;539,833333333;21,7880178359837;;;;;;;;;;;;
2016-09-15 00:00:00;516,488403320312;445,333333333;15,9779348774025;"September";"North";0;13,4;1010,4;89;11,6;60;14,4;0;8;0
2016-09-15 01:00:00;459,062507629395;393,166666667;16,7602817199674;;;;;;;;;;;;
2016-09-15 02:00:00;414,033798217773;358,5;15,4905992239256;;;;;;;;;;;;
2016-09-15 03:00:00;371,633666992188;383,833333333;3,17837594637162;"September";"East";0;12,7;1009,8;94;11,8;60;7,2;0;7;3
2016-09-15 04:00:00;349,994817733765;396,833333333;11,8030698696198;;;;;;;;;;;;
