"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;488,224487304688;435;12,2355143229167;"September";"South";18,3;1009;97;17,8;9;20,372;0;7;0;0;0
2016-09-13 01:00:00;419,917572021484;422,333333333;0,572003467604779;;;;;;;;;;;;;
2016-09-13 02:00:00;371,657501220703;376,166666667;1,19871478412749;;;;;;;;;;;;;
2016-09-13 03:00:00;390,296600341797;407,833333333;4,29997539629361;"September";"East";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;0
2016-09-13 04:00:00;374,038602828979;399,5;6,37331593767722;;;;;;;;;;;;;
2016-09-13 05:00:00;295,517112731934;346,333333333;14,6726334748167;;;;;;;;;;;;;
2016-09-13 06:00:00;312,036865234375;313,833333333;0,57242743450671;"September";"South";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;0
2016-09-13 07:00:00;371,020473480225;362,833333333;2,25644652656835;;;;;;;;;;;;;
2016-09-13 08:00:00;457,860885620117;445,666666667;2,73617478379388;;;;;;;;;;;;;
2016-09-13 09:00:00;495,43115234375;503,833333333;1,66765087448009;"September";"North";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;0
2016-09-13 10:00:00;510,60454082489;513,833333333;0,628373501416542;;;;;;;;;;;;;
2016-09-13 11:00:00;543,077499389648;545,5;0,44408810455574;;;;;;;;;;;;;
2016-09-13 12:00:00;558,749450683594;555,666666667;0,554790164953559;"September";"North";23,3;1005,8;76;18,8;40;25,928;0;;12;0;0
2016-09-13 13:00:00;547,639314651489;576,5;5,00618999974167;;;;;;;;;;;;;
2016-09-13 14:00:00;566,735832214355;588,5;3,69824431361844;;;;;;;;;;;;;
2016-09-13 15:00:00;538,046325683594;563;4,43226897271869;"September";"North";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;0
2016-09-13 16:00:00;451,965339660645;496,5;8,96972010863151;;;;;;;;;;;;;
2016-09-13 17:00:00;382,771896362305;449,333333333;14,8133761804328;;;;;;;;;;;;;
2016-09-13 18:00:00;493,426422119141;505,833333333;2,45276663206607;"September";"North";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;1;0
2016-09-13 19:00:00;531,832138061523;561,166666667;5,22741822491104;;;;;;;;;;;;;
2016-09-13 20:00:00;535,212898254395;542,333333333;1,31292595180268;;;;;;;;;;;;;
2016-09-13 21:00:00;512,384521484375;512,833333333;0,0875161225788755;"September";"East";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;0
2016-09-13 22:00:00;621,225601196289;624,333333333;0,497768094508164;;;;;;;;;;;;;
2016-09-13 23:00:00;535,619365692139;550,666666667;2,73256070971892;;;;;;;;;;;;;
2016-09-14 00:00:00;466,409759521484;467,166666667;0,162020794616147;"September";"East";17,5;1005,5;97;17;9;24,076;3;8;0;0;0
2016-09-14 01:00:00;410,758785247803;405,833333333;1,21366371617416;;;;;;;;;;;;;
2016-09-14 02:00:00;364,332077026367;362,5;0,505400558997845;;;;;;;;;;;;;
2016-09-14 03:00:00;390,296600341797;396,666666667;1,60589907357927;"September";"East";16,2;1004;97;15,7;2,9;12,964;0;;3;0;0
2016-09-14 04:00:00;366,566230773926;407,833333333;10,1186193442847;;;;;;;;;;;;;
2016-09-14 05:00:00;295,517112731934;330,833333333;10,674928141391;;;;;;;;;;;;;
2016-09-14 06:00:00;314,193908691406;317,166666667;0,937285751631311;"September";"East";15,5;1004,6;94;14,5;45;36;0;7;6;0;0
2016-09-14 07:00:00;369,542919158936;384,833333333;3,97325617342859;;;;;;;;;;;;;
2016-09-14 08:00:00;431,426239013672;458,833333333;5,97321343683575;;;;;;;;;;;;;
2016-09-14 09:00:00;500,245422363281;478,333333333;4,5809245359505;"September";"East";18;1005,9;82;14,9;29;46,8;0;;9;0;0
2016-09-14 10:00:00;509,127604484558;504;1,01738184217423;;;;;;;;;;;;;
2016-09-14 11:00:00;529,027311325073;492,333333333;7,45307609859813;;;;;;;;;;;;;
2016-09-14 12:00:00;551,683227539062;519,5;6,19503898730751;"September";"South";20,2;1007,2;65;13,4;7;54;0;7;12;0;0
2016-09-14 13:00:00;535,201578140259;543,333333333;1,49664206001465;;;;;;;;;;;;;
2016-09-14 14:00:00;571,194108963013;573;0,315164229840716;;;;;;;;;;;;;
2016-09-14 15:00:00;490,380706787109;539;9,02027703393147;"September";"South";20,4;1007,9;62;12,9;28;46,8;0;;15;0;0
2016-09-14 16:00:00;405,716957092285;438,833333333;7,54645869519331;;;;;;;;;;;;;
2016-09-14 17:00:00;370,713821411133;380,5;2,57192604175222;;;;;;;;;;;;;
2016-09-14 18:00:00;447,101684570312;426;4,95344708223298;"September";"East";18,6;1009,3;63;11,4;45;43,2;0;;18;1;0
