"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-13 00:00:00;487,952331542969;435;12,1729497799928;"September";"South";18,3;1009;97;17,8;9;20,372;0;7;0;0
2016-09-13 01:00:00;419,645416259766;422,333333333;0,636444453015741;;;;;;;;;;;;
2016-09-13 02:00:00;371,385345458984;376,166666667;1,27106456570972;;;;;;;;;;;;
2016-09-13 03:00:00;389,114074707031;407,833333333;4,58992855561521;"September";"East";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0
2016-09-13 04:00:00;372,856077194214;399,5;6,6693173481317;;;;;;;;;;;;
2016-09-13 05:00:00;294,334587097168;346,333333333;15,0140749478004;;;;;;;;;;;;
2016-09-13 06:00:00;312,344390869141;313,833333333;0,474437322526057;"September";"South";17,6;1008,1;99;17,4;5;14,816;0;8;6;0
2016-09-13 07:00:00;371,32799911499;362,833333333;2,34120324722041;;;;;;;;;;;;
2016-09-13 08:00:00;458,168411254883;445,666666667;2,80517829196861;;;;;;;;;;;;
2016-09-13 09:00:00;496,274505615234;503,833333333;1,50026352320952;"September";"North";20,1;1007,2;87;17,9;45;18,52;0;8;9;0
2016-09-13 10:00:00;511,447894096375;513,833333333;0,464243769697128;;;;;;;;;;;;
2016-09-13 11:00:00;543,920852661133;545,5;0,289486221607184;;;;;;;;;;;;
2016-09-13 12:00:00;558,494201660156;555,666666667;0,508854527862255;"September";"North";23,3;1005,8;76;18,8;40;25,928;0;;12;0
2016-09-13 13:00:00;547,384065628052;576,5;5,0504656326016;;;;;;;;;;;;
2016-09-13 14:00:00;566,480583190918;588,5;3,74161712983552;;;;;;;;;;;;
2016-09-13 15:00:00;535,077026367188;563;4,9596756008548;"September";"North";18,8;1005,1;93;17,6;5;29,632;0;8;15;0
2016-09-13 16:00:00;448,996040344238;496,5;9,56776629521888;;;;;;;;;;;;
2016-09-13 17:00:00;379,802597045898;449,333333333;15,4741994704347;;;;;;;;;;;;
2016-09-13 18:00:00;488,145233154297;505,833333333;3,49682375855976;"September";"North";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;0
2016-09-13 19:00:00;526,55094909668;561,166666667;6,16852703955445;;;;;;;;;;;;
2016-09-13 20:00:00;529,931709289551;542,333333333;2,28671617273329;;;;;;;;;;;;
2016-09-13 21:00:00;511,252319335938;512,833333333;0,308290022176842;"September";"East";17,2;1005,1;98;16,9;3;25,928;0;8;21;0
2016-09-13 22:00:00;620,093399047852;624,333333333;0,679113873756125;;;;;;;;;;;;
2016-09-13 23:00:00;534,487163543701;550,666666667;2,9381664267474;;;;;;;;;;;;
2016-09-14 00:00:00;465,103088378906;467,166666667;0,441722073797851;"September";"East";17,5;1005,5;97;17;9;24,076;3;8;0;0
2016-09-14 01:00:00;409,452114105225;405,833333333;0,891691360713166;;;;;;;;;;;;
2016-09-14 02:00:00;363,025405883789;362,5;0,144939554148707;;;;;;;;;;;;
2016-09-14 03:00:00;388,339538574219;396,666666667;2,09927598977503;"September";"East";16,2;1004;97;15,7;2,9;12,964;0;;3;0
2016-09-14 04:00:00;364,609169006348;407,833333333;10,5984873706631;;;;;;;;;;;;
2016-09-14 05:00:00;293,560050964355;330,833333333;11,2664833356218;;;;;;;;;;;;
2016-09-14 06:00:00;312,531372070312;317,166666667;1,46146965738812;"September";"East";15,5;1004,6;94;14,5;45;36;0;7;6;0
2016-09-14 07:00:00;367,880382537842;384,833333333;4,40527088657589;;;;;;;;;;;;
2016-09-14 08:00:00;429,763702392578;458,833333333;6,33555341963886;;;;;;;;;;;;
2016-09-14 09:00:00;501,585968017578;478,333333333;4,86117798284202;"September";"East";18;1005,9;82;14,9;29;46,8;0;;9;0
2016-09-14 10:00:00;510,468150138855;504;1,28336312278869;;;;;;;;;;;;
2016-09-14 11:00:00;530,36785697937;492,333333333;7,72536025316098;;;;;;;;;;;;
2016-09-14 12:00:00;554,637451171875;519,5;6,76370571162175;"September";"South";20,2;1007,2;65;13,4;7;54;0;7;12;0
2016-09-14 13:00:00;538,155801773071;543,333333333;0,952919919005876;;;;;;;;;;;;
2016-09-14 14:00:00;574,148332595825;573;0,200407084786247;;;;;;;;;;;;
2016-09-14 15:00:00;495,072204589844;539;8,14986927832213;"September";"South";20,4;1007,9;62;12,9;28;46,8;0;;15;0
2016-09-14 16:00:00;410,40845489502;438,833333333;6,47737450163358;;;;;;;;;;;;
2016-09-14 17:00:00;375,405319213867;380,5;1,338943702006;;;;;;;;;;;;
2016-09-14 18:00:00;450,543365478516;426;5,76135339871259;"September";"East";18,6;1009,3;63;11,4;45;43,2;0;;18;0
2016-09-14 19:00:00;502,605327606201;480,5;4,60048441336133;;;;;;;;;;;;
2016-09-14 20:00:00;505,902713775635;471,833333333;7,22063873740562;;;;;;;;;;;;
2016-09-14 21:00:00;510,534576416016;477,166666667;6,99292554991106;"September";"East";13,8;1010,5;89;12;60;10,8;0;;21;0
2016-09-14 22:00:00;644,009796142578;607,166666667;6,06804218647674;;;;;;;;;;;;
2016-09-14 23:00:00;651,104263305664;539,833333333;20,6120895287557;;;;;;;;;;;;
2016-09-15 00:00:00;517,683715820312;445,333333333;16,2463433729117;"September";"North";13,4;1010,4;89;11,6;60;14,4;0;8;0;0
2016-09-15 01:00:00;453,828411102295;393,166666667;15,4290151170607;;;;;;;;;;;;
2016-09-15 02:00:00;414,123611450195;358,5;15,5156517294827;;;;;;;;;;;;
2016-09-15 03:00:00;367,622680664062;383,833333333;4,22335718687405;"September";"East";12,7;1009,8;94;11,8;60;7,2;0;7;3;0
2016-09-15 04:00:00;349,243963241577;396,833333333;11,9922814174203;;;;;;;;;;;;
2016-09-15 05:00:00;303,190696716309;316;4,05357698850994;;;;;;;;;;;;
2016-09-15 06:00:00;321,784973144531;294;9,45067113759566;"September";"North";13,8;1010,1;92;12,5;4,6;18;;8;6;0
2016-09-15 07:00:00;376,907524108887;357,5;5,42867807241587;;;;;;;;;;;;
2016-09-15 08:00:00;458,739212036133;459,166666667;0,0930935675209204;;;;;;;;;;;;
2016-09-15 09:00:00;533,622924804688;503;6,08805662121024;"September";"West";14;1010,8;98;13,7;2,9;14,4;9;8;9;0
2016-09-15 10:00:00;552,917247772217;525,5;5,2173639909071;;;;;;;;;;;;
2016-09-15 11:00:00;568,378890991211;593,666666667;4,25959163544775;;;;;;;;;;;;
2016-09-15 12:00:00;569,092224121094;615,5;7,5398498584738;"September";"West";16,4;1011,4;95;15,6;2;14,4;0;8;12;0
2016-09-15 13:00:00;556,849585533142;625,333333333;10,9515588166143;;;;;;;;;;;;
2016-09-15 14:00:00;554,842750549316;658;15,6773935335385;;;;;;;;;;;;
2016-09-15 15:00:00;521,809204101562;613;14,8761494124694;"September";"North";16,3;1011,8;91;14,8;19;18;1;8;15;0
2016-09-15 16:00:00;459,773971557617;522;11,9206951039048;;;;;;;;;;;;
2016-09-15 17:00:00;414,61498260498;437;5,12242960984429;;;;;;;;;;;;
2016-09-15 18:00:00;480,283905029297;485,5;1,07437589509848;"September";"West";16,1;1012,8;94;15,1;18;10,8;;8;18;0
2016-09-15 19:00:00;518,993518829346;557;6,82342570388767;;;;;;;;;;;;
2016-09-15 20:00:00;511,563457489014;533,166666667;4,0518679295979;;;;;;;;;;;;
2016-09-15 21:00:00;513,315856933594;497,666666667;3,14451244472537;"September";"North";16,2;1014;96;15,6;10;25,2;0;8;21;0
2016-09-15 22:00:00;632,336692810059;616,5;2,56880661963643;;;;;;;;;;;;
2016-09-15 23:00:00;583,034187316895;541,833333333;7,6039718210864;;;;;;;;;;;;
2016-09-16 00:00:00;463,812408447266;442,5;4,81636349090749;"September";"West";15,9;1014,7;95;15,1;16;28,8;0;8;0;0
2016-09-16 01:00:00;395,861869812012;412,5;4,03348610617898;;;;;;;;;;;;
2016-09-16 02:00:00;362,130928039551;371,166666667;2,43441543622123;;;;;;;;;;;;
2016-09-16 03:00:00;382,841796875;412;7,07723376820388;"September";"North";15,2;1015,4;92;13,9;40;32,4;0;8;3;0
2016-09-16 04:00:00;365,538667678833;407,166666667;10,2238229197216;;;;;;;;;;;;
2016-09-16 05:00:00;324,921413421631;341,833333333;4,94741684389633;;;;;;;;;;;;
2016-09-16 06:00:00;323,866241455078;328;1,26029223930545;"September";"North";15,1;1016,8;92;13,8;15;36;;8;6;0
2016-09-16 07:00:00;386,850601196289;425,666666667;9,11888773782628;;;;;;;;;;;;
2016-09-16 08:00:00;450,898872375488;461,833333333;2,36762056099306;;;;;;;;;;;;
2016-09-16 09:00:00;506,012451171875;499,166666667;1,37144263870526;"September";"North";16,4;1019;76;12,2;13;39,6;;6;9;0
2016-09-16 10:00:00;525,389158248901;506;3,83184945630462;;;;;;;;;;;;
2016-09-16 11:00:00;538,934478759766;536,666666667;0,422573681881539;;;;;;;;;;;;
2016-09-16 12:00:00;545,140197753906;524,833333333;3,86920249366512;"September";"North";16,6;1020,4;68;10,7;16;46,8;0;7;12;0
2016-09-16 13:00:00;500,275615692139;564,5;11,3772159978497;;;;;;;;;;;;
2016-09-16 14:00:00;475,829483032227;572,666666667;16,9098690863883;;;;;;;;;;;;
2016-09-16 15:00:00;486,429168701172;520,833333333;6,60559960931524;"September";"North";16,7;1021,1;70;11,2;19;50,4;0;8;15;0
2016-09-16 16:00:00;460,450998306274;442,166666667;4,13516735151013;;;;;;;;;;;;
2016-09-16 17:00:00;480,057797908783;386,666666667;24,1528787694058;;;;;;;;;;;;
2016-09-16 18:00:00;447,107421875;447,833333333;0,162094110457877;"September";"North";14,5;1022,6;80;11,1;55;39,6;0;;18;0
2016-09-16 19:00:00;486,074615478516;488,166666667;0,428552650423277;;;;;;;;;;;;
2016-09-16 20:00:00;493,280654907227;493,5;0,0444468273097138;;;;;;;;;;;;
