"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;481,719207763672;435;10,7400477617636;"September";"South";"Tuesday";18,3;97;17,8;9;20,372;0;7;0;0;0
2016-09-13 01:00:00;426,038059234619;422,333333333;0,877204238742403;;;;;;;;;;;;;
2016-09-13 02:00:00;362,036720275879;376,166666667;3,75629943937313;;;;;;;;;;;;;
2016-09-13 03:00:00;373,483703613281;407,833333333;8,42246744252067;"September";"East";"Tuesday";17,1;98;16,8;0,4;11,112;0;7;3;0;0
2016-09-13 04:00:00;369,521924734116;399,5;7,50389868983339;;;;;;;;;;;;;
2016-09-13 05:00:00;299,698219299316;346,333333333;13,4653842253306;;;;;;;;;;;;;
2016-09-13 06:00:00;314,432464599609;313,833333333;0,190907466790237;"September";"South";"Tuesday";17,6;99;17,4;5;14,816;0;8;6;0;0
2016-09-13 07:00:00;381,770446777344;362,833333333;5,21923200120197;;;;;;;;;;;;;
2016-09-13 08:00:00;462,222686767578;445,666666667;3,71488857903494;;;;;;;;;;;;;
2016-09-13 09:00:00;481,146240234375;503,833333333;4,50289641388819;"September";"North";"Tuesday";20,1;87;17,9;45;18,52;0;8;9;0;0
2016-09-13 10:00:00;526,724292755127;513,833333333;2,50878224238766;;;;;;;;;;;;;
2016-09-13 11:00:00;534,533424377441;545,5;2,01037133319131;;;;;;;;;;;;;
2016-09-13 12:00:00;544,326599121094;555,666666667;2,0408039974624;"September";"North";"Tuesday";23,3;76;18,8;40;25,928;0;;12;0;0
2016-09-13 13:00:00;555,552962303162;576,5;3,6334844226953;;;;;;;;;;;;;
2016-09-13 14:00:00;568,037397384644;588,5;3,47707775961877;;;;;;;;;;;;;
2016-09-13 15:00:00;525,203735351562;563;6,71336849883437;"September";"North";"Tuesday";18,8;93;17,6;5;29,632;0;8;15;0;0
2016-09-13 16:00:00;448,317268371582;496,5;9,70447766936918;;;;;;;;;;;;;
2016-09-13 17:00:00;398,834602355957;449,333333333;11,2385899800624;;;;;;;;;;;;;
2016-09-13 18:00:00;491,758148193359;505,833333333;2,78257366846456;"September";"North";"Tuesday";17,2;98;16,9;3,9;24,076;2;8;18;1;0
2016-09-13 19:00:00;533,574878692627;561,166666667;4,91686153389188;;;;;;;;;;;;;
2016-09-13 20:00:00;526,709716796875;542,333333333;2,88081435823011;;;;;;;;;;;;;
2016-09-13 21:00:00;503,950408935547;512,833333333;1,73212695433063;"September";"East";"Tuesday";17,2;98;16,9;3;25,928;0;8;21;1;0
2016-09-13 22:00:00;635,762268066406;624,333333333;1,83058217833619;;;;;;;;;;;;;
2016-09-13 23:00:00;573,714996337891;550,666666667;4,1855320225563;;;;;;;;;;;;;
2016-09-14 00:00:00;461,985168457031;467,166666667;1,10913268854051;"September";"East";"Wednesday";17,5;97;17;9;24,076;3;8;0;0;0
2016-09-14 01:00:00;407,738864898682;405,833333333;0,469535498730979;;;;;;;;;;;;;
2016-09-14 02:00:00;358,393737792969;362,5;1,13276198814655;;;;;;;;;;;;;
2016-09-14 03:00:00;380,210510253906;396,666666667;4,14861086044032;"September";"East";"Wednesday";16,2;97;15,7;2,9;12,964;0;;3;0;0
2016-09-14 04:00:00;373,193820476532;407,833333333;8,49354626640694;;;;;;;;;;;;;
2016-09-14 05:00:00;299,578056335449;330,833333333;9,44743889095685;;;;;;;;;;;;;
2016-09-14 06:00:00;315,52734375;317,166666667;0,516864818811863;"September";"East";"Wednesday";15,5;94;14,5;45;36;0;7;6;0;0
2016-09-14 07:00:00;372,143768310547;384,833333333;3,29741836876503;;;;;;;;;;;;;
2016-09-14 08:00:00;443,387603759766;458,833333333;3,36630502867684;;;;;;;;;;;;;
2016-09-14 09:00:00;492,654815673828;478,333333333;2,99403812003584;"September";"East";"Wednesday";18;82;14,9;29;46,8;0;;9;0;0
2016-09-14 10:00:00;508,53071975708;504;0,898952332753984;;;;;;;;;;;;;
2016-09-14 11:00:00;488,280484199524;492,333333333;0,823192105649046;;;;;;;;;;;;;
2016-09-14 12:00:00;552,845947265625;519,5;6,4188541416025;"September";"South";"Wednesday";20,2;65;13,4;7;54;0;7;12;0;0
2016-09-14 13:00:00;565,109394073486;543,333333333;4,00786393996926;;;;;;;;;;;;;
2016-09-14 14:00:00;584,529685974121;573;2,01216160106825;;;;;;;;;;;;;
2016-09-14 15:00:00;478,036926269531;539;11,3104032895118;"September";"South";"Wednesday";20,4;62;12,9;28;46,8;0;;15;0;0
2016-09-14 16:00:00;407,786773681641;438,833333333;7,07479521110132;;;;;;;;;;;;;
2016-09-14 17:00:00;364,723358154297;380,5;4,14629220649228;;;;;;;;;;;;;
2016-09-14 18:00:00;455,125946044922;426;6,83707653636664;"September";"East";"Wednesday";18,6;63;11,4;45;43,2;0;;18;1;0
2016-09-14 19:00:00;510,149425506592;480,5;6,17053600553419;;;;;;;;;;;;;
2016-09-14 20:00:00;510,566146850586;471,833333333;8,20900321814482;;;;;;;;;;;;;
2016-09-14 21:00:00;508,843872070312;477,166666667;6,63860399649815;"September";"East";"Wednesday";13,8;89;12;60;10,8;0;;21;1;0
2016-09-14 22:00:00;645,210418701172;607,166666667;6,26578402978057;;;;;;;;;;;;;
2016-09-14 23:00:00;636,921127319336;539,833333333;17,9847719641363;;;;;;;;;;;;;
2016-09-15 00:00:00;518,538940429688;445,333333333;16,4383848271128;"September";"North";"Thursday";13,4;89;11,6;60;14,4;0;8;0;0;0
2016-09-15 01:00:00;464,652786254883;393,166666667;18,1821414805822;;;;;;;;;;;;;
2016-09-15 02:00:00;416,740386962891;358,5;16,2455751639862;;;;;;;;;;;;;
2016-09-15 03:00:00;377,436889648438;383,833333333;1,66646383445107;"September";"East";"Thursday";12,7;94;11,8;60;7,2;0;7;3;0;0
2016-09-15 04:00:00;361,141660690308;396,833333333;8,99412162353356;;;;;;;;;;;;;
2016-09-15 05:00:00;298,878242492676;316;5,41827769219121;;;;;;;;;;;;;
2016-09-15 06:00:00;319,394744873047;294;8,6376683241656;"September";"North";"Thursday";13,8;92;12,5;4,6;18;;8;6;0;0
2016-09-15 07:00:00;373,027683258057;357,5;4,34340790435151;;;;;;;;;;;;;
2016-09-15 08:00:00;448,864608764648;459,166666667;2,24364237437621;;;;;;;;;;;;;
2016-09-15 09:00:00;541,439514160156;503;7,6420505288581;"September";"West";"Thursday";14;98;13,7;2,9;14,4;9;8;9;0;0
2016-09-15 10:00:00;566,453996658325;525,5;7,79333904059471;;;;;;;;;;;;;
2016-09-15 11:00:00;590,921615600586;593,666666667;0,462389286874646;;;;;;;;;;;;;
2016-09-15 12:00:00;572,200927734375;615,5;7,03478022187246;"September";"West";"Thursday";16,4;95;15,6;2;14,4;0;8;12;0;0
2016-09-15 13:00:00;549,106904983521;625,333333333;12,1897273480043;;;;;;;;;;;;;
2016-09-15 14:00:00;545,82585144043;658;17,0477429421839;;;;;;;;;;;;;
2016-09-15 15:00:00;509,167266845703;613;16,9384556532295;"September";"North";"Thursday";16,3;91;14,8;19;18;1;8;15;0;0
2016-09-15 16:00:00;446,366748809814;522;14,4891285804953;;;;;;;;;;;;;
2016-09-15 17:00:00;402,113159179688;437;7,98325876895023;;;;;;;;;;;;;
2016-09-15 18:00:00;473,481811523438;485,5;2,47542502091916;"September";"West";"Thursday";16,1;94;15,1;18;10,8;;8;18;1;0
2016-09-15 19:00:00;517,457454681396;557;7,09920023673313;;;;;;;;;;;;;
2016-09-15 20:00:00;492,087184906006;533,166666667;7,70481058348892;;;;;;;;;;;;;
