"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;491,407653808594;435;12,9672767376078;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;0;0
2016-09-13 01:00:00;423,553985595703;422,333333333;0,289025792274058;;;;;;;;;;;;;;
2016-09-13 02:00:00;379,869644165039;376,166666667;0,984398094293956;;;;;;;;;;;;;;
2016-09-13 03:00:00;382,751556396484;407,833333333;6,15000660479022;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;0
2016-09-13 04:00:00;372,144114494324;399,5;6,84753078990645;;;;;;;;;;;;;;
2016-09-13 05:00:00;310,006713867188;346,333333333;10,4889180363371;;;;;;;;;;;;;;
2016-09-13 06:00:00;322,942016601562;313,833333333;2,90239509354398;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;0
2016-09-13 07:00:00;383,405364990234;362,833333333;5,66982957939916;;;;;;;;;;;;;;
2016-09-13 08:00:00;473,515853881836;445,666666667;6,24888269591962;;;;;;;;;;;;;;
2016-09-13 09:00:00;492,383087158203;503,833333333;2,27262577071871;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;0
2016-09-13 10:00:00;522,033098220825;513,833333333;1,59580244330142;;;;;;;;;;;;;;
2016-09-13 11:00:00;530,154987335205;545,5;2,81301790372043;;;;;;;;;;;;;;
2016-09-13 12:00:00;551,156860351562;555,666666667;0,811602816215013;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0;0
2016-09-13 13:00:00;542,507822036743;576,5;5,89630146804108;;;;;;;;;;;;;;
2016-09-13 14:00:00;568,239084243774;588,5;3,4428064156713;;;;;;;;;;;;;;
2016-09-13 15:00:00;543,903869628906;563;3,39185264140209;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;0
2016-09-13 16:00:00;464,688514709473;496,5;6,40714708771951;;;;;;;;;;;;;;
2016-09-13 17:00:00;393,321548461914;449,333333333;12,4655307576693;;;;;;;;;;;;;;
2016-09-13 18:00:00;500,251068115234;505,833333333;1,10357796726905;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;1;0
2016-09-13 19:00:00;554,171566009521;561,166666667;1,24652818369011;;;;;;;;;;;;;;
2016-09-13 20:00:00;544,258750915527;542,333333333;0,355024754000335;;;;;;;;;;;;;;
2016-09-13 21:00:00;517,544860839844;512,833333333;0,918724895712728;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;0
2016-09-13 22:00:00;623,10075378418;624,333333333;0,197423312678219;;;;;;;;;;;;;;
2016-09-13 23:00:00;544,024522781372;550,666666667;1,20620046349102;;;;;;;;;;;;;;
2016-09-14 00:00:00;471,617706298828;467,166666667;0,952773378200129;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;0;0
2016-09-14 01:00:00;409,329708099365;405,833333333;0,86152971655888;;;;;;;;;;;;;;
2016-09-14 02:00:00;372,397422790527;362,5;2,73032352842134;;;;;;;;;;;;;;
2016-09-14 03:00:00;389,490631103516;396,666666667;1,80908459583488;"September";"East";"Wednesday";16,2;1004;97;15,7;2,9;12,964;0;;3;0;0
2016-09-14 04:00:00;373,696435928345;407,833333333;8,37030586138533;;;;;;;;;;;;;;
2016-09-14 05:00:00;315,554008483887;330,833333333;4,61843572265854;;;;;;;;;;;;;;
2016-09-14 06:00:00;313,536590576172;317,166666667;1,14453266132138;"September";"East";"Wednesday";15,5;1004,6;94;14,5;45;36;0;7;6;0;0
2016-09-14 07:00:00;370,451259613037;384,833333333;3,7372214083955;;;;;;;;;;;;;;
2016-09-14 08:00:00;452,991897583008;458,833333333;1,27310622956696;;;;;;;;;;;;;;
2016-09-14 09:00:00;504,696868896484;478,333333333;5,51154053592392;"September";"East";"Wednesday";18;1005,9;82;14,9;29;46,8;0;;9;0;0
2016-09-14 10:00:00;518,34838104248;504;2,84690100049216;;;;;;;;;;;;;;
2016-09-14 11:00:00;493,754590034485;492,333333333;0,28867773219076;;;;;;;;;;;;;;
2016-09-14 12:00:00;555,715454101562;519,5;6,97121349404475;"September";"South";"Wednesday";20,2;1007,2;65;13,4;7;54;0;7;12;0;0
2016-09-14 13:00:00;555,146489083767;543,333333333;2,17420044492776;;;;;;;;;;;;;;
2016-09-14 14:00:00;563,409752368927;573;1,67369068605113;;;;;;;;;;;;;;
2016-09-14 15:00:00;483,652923583984;539;10,2684742886856;"September";"South";"Wednesday";20,4;1007,9;62;12,9;28;46,8;0;;15;0;0
2016-09-14 16:00:00;408,689353942871;438,833333333;6,86911797724689;;;;;;;;;;;;;;
2016-09-14 17:00:00;368,669593811035;380,5;3,10917376845331;;;;;;;;;;;;;;
2016-09-14 18:00:00;462,978210449219;426;8,6803310913659;"September";"East";"Wednesday";18,6;1009,3;63;11,4;45;43,2;0;;18;1;0
2016-09-14 19:00:00;514,745494842529;480,5;7,12705407752951;;;;;;;;;;;;;;
2016-09-14 20:00:00;507,475898742676;471,833333333;7,55405837012384;;;;;;;;;;;;;;
2016-09-14 21:00:00;528,974914550781;477,166666667;10,857474233408;"September";"East";"Wednesday";13,8;1010,5;89;12;60;10,8;0;;21;1;0
2016-09-14 22:00:00;662,98014831543;607,166666667;9,19244825392244;;;;;;;;;;;;;;
2016-09-14 23:00:00;668,885482788086;539,833333333;23,905924567181;;;;;;;;;;;;;;
2016-09-15 00:00:00;521,557556152344;445,333333333;17,1162176989673;"September";"North";"Thursday";13,4;1010,4;89;11,6;60;14,4;0;8;0;0;0
2016-09-15 01:00:00;463,469009399414;393,166666667;17,8810536835153;;;;;;;;;;;;;;
2016-09-15 02:00:00;389,350128173828;358,5;8,60533561334118;;;;;;;;;;;;;;
2016-09-15 03:00:00;380,020477294922;383,833333333;0,993362406794986;"September";"East";"Thursday";12,7;1009,8;94;11,8;60;7,2;0;7;3;0;0
2016-09-15 04:00:00;370,37463092804;396,833333333;6,66745965686249;;;;;;;;;;;;;;
2016-09-15 05:00:00;311,84001159668;316;1,31645202636719;;;;;;;;;;;;;;
2016-09-15 06:00:00;321,01513671875;294;9,18882201318027;"September";"North";"Thursday";13,8;1010,1;92;12,5;4,6;18;;8;6;0;0
2016-09-15 07:00:00;374,002933502197;357,5;4,61620517543979;;;;;;;;;;;;;;
2016-09-15 08:00:00;458,338241577148;459,166666667;0,180419257317817;;;;;;;;;;;;;;
2016-09-15 09:00:00;542,082702636719;503;7,76992100133574;"September";"West";"Thursday";14;1010,8;98;13,7;2,9;14,4;9;8;9;0;0
2016-09-15 10:00:00;558,952348709106;525,5;6,36581326529143;;;;;;;;;;;;;;
2016-09-15 11:00:00;581,353496551514;593,666666667;2,07408817217508;;;;;;;;;;;;;;
2016-09-15 12:00:00;576,285583496094;615,5;6,37114809161759;"September";"West";"Thursday";16,4;1011,4;95;15,6;2;14,4;0;8;12;0;0
2016-09-15 13:00:00;560,757321357727;625,333333333;10,3266543670534;;;;;;;;;;;;;;
