"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_ferie"
2016-09-13 00:00:00;487,716949462891;435;12,1188389569864;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;0;0
2016-09-13 01:00:00;426,646602630615;422,333333333;1,02129501916779;;;;;;;;;;;;;;
2016-09-13 02:00:00;374,309883117676;376,166666667;0,493606614795549;;;;;;;;;;;;;;
2016-09-13 03:00:00;376,931793212891;407,833333333;7,57700207277514;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;0
2016-09-13 04:00:00;365,408187866211;399,5;8,53362005852042;;;;;;;;;;;;;;
2016-09-13 05:00:00;302,256675720215;346,333333333;12,7266576360426;;;;;;;;;;;;;;
2016-09-13 06:00:00;314,336029052734;313,833333333;0,160179199065828;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;0
2016-09-13 07:00:00;372,375648498535;362,833333333;2,62994446455047;;;;;;;;;;;;;;
2016-09-13 08:00:00;461,486724853516;445,666666667;3,54975127595447;;;;;;;;;;;;;;
2016-09-13 09:00:00;507,306823730469;503,833333333;0,689412583024359;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;0
2016-09-13 10:00:00;535,468553543091;513,833333333;4,21055210057181;;;;;;;;;;;;;;
2016-09-13 11:00:00;547,060646057129;545,5;0,286094602590084;;;;;;;;;;;;;;
2016-09-13 12:00:00;563,944213867188;555,666666667;1,48966056392008;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0;0
2016-09-13 13:00:00;557,448175430298;576,5;3,30473973455371;;;;;;;;;;;;;;
2016-09-13 14:00:00;583,09973526001;588,5;0,917632071366225;;;;;;;;;;;;;;
