"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;487,959716796875;435;12,1746475395115;"September";"South";18,3;1009;97;17,8;9;20,372;0;7;0;0;FALSE
2016-09-13 01:00:00;419,557647705078;422,333333333;0,657226273383753;;;;;;;;;;;;;
2016-09-13 02:00:00;380,633262634277;376,166666667;1,18739813042269;;;;;;;;;;;;;
2016-09-13 03:00:00;378,326110839844;407,833333333;7,23511789779657;"September";"East";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;FALSE
2016-09-13 04:00:00;366,456437110901;399,5;8,27122975947412;;;;;;;;;;;;;
2016-09-13 05:00:00;305,831115722656;346,333333333;11,6945767883684;;;;;;;;;;;;;
2016-09-13 06:00:00;312,227020263672;313,833333333;0,511836347104562;"September";"South";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;FALSE
2016-09-13 07:00:00;375,731006622314;362,833333333;3,55471013945604;;;;;;;;;;;;;
2016-09-13 08:00:00;449,217147827148;445,666666667;0,796667425612363;;;;;;;;;;;;;
2016-09-13 09:00:00;501,414031982422;503,833333333;0,480178898560313;"September";"North";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;FALSE
2016-09-13 10:00:00;525,728408813477;513,833333333;2,31496765757072;;;;;;;;;;;;;
2016-09-13 11:00:00;554,051403045654;545,5;1,5676265894875;;;;;;;;;;;;;
2016-09-13 12:00:00;570,8896484375;555,666666667;2,73958880092818;"September";"North";23,3;1005,8;76;18,8;40;25,928;0;;12;0;FALSE
2016-09-13 13:00:00;562,698845863342;576,5;2,39395561780706;;;;;;;;;;;;;
2016-09-13 14:00:00;582,716588973999;588,5;0,982737642481049;;;;;;;;;;;;;
2016-09-13 15:00:00;532,651306152344;563;5,39053176690164;"September";"North";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;FALSE
2016-09-13 16:00:00;451,451736450195;496,5;9,073164864009;;;;;;;;;;;;;
2016-09-13 17:00:00;383,433746337891;449,333333333;14,6660801918008;;;;;;;;;;;;;
2016-09-13 18:00:00;482,123168945312;505,833333333;4,68734716066618;"September";"North";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;0;FALSE
2016-09-13 19:00:00;531,271766662598;561,166666667;5,32727650805783;;;;;;;;;;;;;
2016-09-13 20:00:00;527,117839813232;542,333333333;2,80556118987897;;;;;;;;;;;;;
2016-09-13 21:00:00;491,74755859375;512,833333333;4,11162328357434;"September";"East";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;FALSE
2016-09-13 22:00:00;597,725051879883;624,333333333;4,26187102826451;;;;;;;;;;;;;
2016-09-13 23:00:00;531,901542663574;550,666666667;3,40771017011157;;;;;;;;;;;;;
2016-09-14 00:00:00;466,9150390625;467,166666667;0,0538624911523016;"September";"East";17,5;1005,5;97;17;9;24,076;3;8;0;0;FALSE
2016-09-14 01:00:00;410,144649505615;405,833333333;1,06233663391017;;;;;;;;;;;;;
2016-09-14 02:00:00;371,52074432373;362,5;2,48848119275323;;;;;;;;;;;;;
2016-09-14 03:00:00;385,675323486328;396,666666667;2,7709268522679;"September";"East";16,2;1004;97;15,7;2,9;12,964;0;;3;0;FALSE
2016-09-14 04:00:00;368,40958404541;407,833333333;9,66663243668706;;;;;;;;;;;;;
2016-09-14 05:00:00;313,092231750488;330,833333333;5,36254959673438;;;;;;;;;;;;;
2016-09-14 06:00:00;305,767700195312;317,166666667;3,59399888754878;"September";"East";15,5;1004,6;94;14,5;45;36;0;7;6;0;FALSE
2016-09-14 07:00:00;359,075782775879;384,833333333;6,69317034832656;;;;;;;;;;;;;
2016-09-14 08:00:00;427,796203613281;458,833333333;6,76435809365956;;;;;;;;;;;;;
2016-09-14 09:00:00;503,758178710938;478,333333333;5,31529868528681;"September";"East";18;1005,9;82;14,9;29;46,8;0;;9;0;FALSE
