"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;502,801361083984;435;15,5865197894217;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;1;FALSE
2016-09-13 01:00:00;434,947692871094;422,333333333;2,98682546285013;;;;;;;;;;;;;;
2016-09-13 02:00:00;391,26335144043;376,166666667;4,01329679399636;;;;;;;;;;;;;;
2016-09-13 03:00:00;372,00048828125;407,833333333;8,78614917493566;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;FALSE
2016-09-13 04:00:00;362,690645217896;399,5;9,21385601554555;;;;;;;;;;;;;;
2016-09-13 05:00:00;299,255645751953;346,333333333;13,5931725450699;;;;;;;;;;;;;;
2016-09-13 06:00:00;316,6845703125;313,833333333;0,908519483644093;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;FALSE
2016-09-13 07:00:00;377,931274414062;362,833333333;4,16112294379689;;;;;;;;;;;;;;
2016-09-13 08:00:00;467,258407592773;445,666666667;4,84481845753716;;;;;;;;;;;;;;
2016-09-13 09:00:00;514,925720214844;503,833333333;2,20159845488279;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;FALSE
2016-09-13 10:00:00;544,287517547607;513,833333333;5,92686037261637;;;;;;;;;;;;;;
2016-09-13 11:00:00;552,697620391846;545,5;1,31945378402304;;;;;;;;;;;;;;
2016-09-13 12:00:00;572,531372070312;555,666666667;3,03503996460152;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0;FALSE
2016-09-13 13:00:00;564,15550327301;576,5;2,14128304024107;;;;;;;;;;;;;;
2016-09-13 14:00:00;589,613595962524;588,5;0,189226161856315;;;;;;;;;;;;;;
2016-09-13 15:00:00;504,858428955078;563;10,3270996527392;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;FALSE
2016-09-13 16:00:00;425,490196228027;496,5;14,3020752813641;;;;;;;;;;;;;;
2016-09-13 17:00:00;354,276107788086;449,333333333;21,1551688898334;;;;;;;;;;;;;;
2016-09-13 18:00:00;480,120910644531;505,833333333;5,08318076213885;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;0;FALSE
2016-09-13 19:00:00;531,338981628418;561,166666667;5,31529878917094;;;;;;;;;;;;;;
2016-09-13 20:00:00;526,799434661865;542,333333333;2,86427142061666;;;;;;;;;;;;;;
2016-09-13 21:00:00;493,359680175781;512,833333333;3,79726743397428;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;FALSE
2016-09-13 22:00:00;598,915573120117;624,333333333;4,07118423057604;;;;;;;;;;;;;;
2016-09-13 23:00:00;519,71177482605;550,666666667;5,62134839726357;;;;;;;;;;;;;;
2016-09-14 00:00:00;482,784362792969;467,166666667;3,34306731201375;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;1;FALSE
2016-09-14 01:00:00;420,496364593506;405,833333333;3,61306725105164;;;;;;;;;;;;;;
2016-09-14 02:00:00;383,564079284668;362,5;5,8107804923222;;;;;;;;;;;;;;
2016-09-14 03:00:00;383,867950439453;396,666666667;3,22656711618558;"September";"East";"Wednesday";16,2;1004;97;15,7;2,9;12,964;0;;3;0;FALSE
2016-09-14 04:00:00;369,15692615509;407,833333333;9,48338549520423;;;;;;;;;;;;;;
2016-09-14 05:00:00;309,931327819824;330,833333333;6,31798655310735;;;;;;;;;;;;;;
2016-09-14 06:00:00;306,223052978516;317,166666667;3,45042995958157;"September";"East";"Wednesday";15,5;1004,6;94;14,5;45;36;0;7;6;0;FALSE
2016-09-14 07:00:00;362,075134277344;384,833333333;5,91378061212887;;;;;;;;;;;;;;
2016-09-14 08:00:00;445,678359985352;458,833333333;2,8670483140555;;;;;;;;;;;;;;
2016-09-14 09:00:00;519,43994140625;478,333333333;8,59371597350773;"September";"East";"Wednesday";18;1005,9;82;14,9;29;46,8;0;;9;0;FALSE
2016-09-14 10:00:00;533,887908935547;504;5,93014066181486;;;;;;;;;;;;;;
2016-09-14 11:00:00;508,49766254425;492,333333333;3,28320837060151;;;;;;;;;;;;;;
2016-09-14 12:00:00;552,919677734375;519,5;6,43304672461501;"September";"South";"Wednesday";20,2;1007,2;65;13,4;7;54;0;7;12;0;FALSE
2016-09-14 13:00:00;552,843268074095;543,333333333;1,75029473762596;;;;;;;;;;;;;;
2016-09-14 14:00:00;560,61397600174;573;2,16160977282033;;;;;;;;;;;;;;
2016-09-14 15:00:00;460,533966064453;539;14,5577057394336;"September";"South";"Wednesday";20,4;1007,9;62;12,9;28;46,8;0;;15;0;FALSE
2016-09-14 16:00:00;386,28572845459;438,833333333;11,9743877429054;;;;;;;;;;;;;;
2016-09-14 17:00:00;345,550636291504;380,5;9,18511529789648;;;;;;;;;;;;;;
2016-09-14 18:00:00;478,575988769531;426;12,3417814012984;"September";"East";"Wednesday";18,6;1009,3;63;11,4;45;43,2;0;;18;0;FALSE
2016-09-14 19:00:00;525,787399291992;480,5;9,42505708470181;;;;;;;;;;;;;;
2016-09-14 20:00:00;516,026035308838;471,833333333;9,36616785076703;;;;;;;;;;;;;;
2016-09-14 21:00:00;510,985931396484;477,166666667;7,08751618500749;"September";"East";"Wednesday";13,8;1010,5;89;12;60;10,8;0;;21;1;FALSE
2016-09-14 22:00:00;644,991165161133;607,166666667;6,22967309812442;;;;;;;;;;;;;;
2016-09-14 23:00:00;650,40559387207;539,833333333;20,4826663548883;;;;;;;;;;;;;;
2016-09-15 00:00:00;519,97314453125;445,333333333;16,7604366463262;"September";"North";"Thursday";13,4;1010,4;89;11,6;60;14,4;0;8;0;1;FALSE
2016-09-15 01:00:00;461,88459777832;393,166666667;17,47806641236;;;;;;;;;;;;;;
2016-09-15 02:00:00;387,765716552734;358,5;8,16337979155771;;;;;;;;;;;;;;
2016-09-15 03:00:00;368,697814941406;383,833333333;3,94325272903349;"September";"East";"Thursday";12,7;1009,8;94;11,8;60;7,2;0;7;3;0;FALSE
2016-09-15 04:00:00;360,042016983032;396,833333333;9,27122629567375;;;;;;;;;;;;;;
2016-09-15 05:00:00;300,517349243164;316;4,89957302431517;;;;;;;;;;;;;;
2016-09-15 06:00:00;315,124816894531;294;7,18531186888818;"September";"North";"Thursday";13,8;1010,1;92;12,5;4,6;18;;8;6;0;FALSE
2016-09-15 07:00:00;368,423244476318;357,5;3,05545300036877;;;;;;;;;;;;;;
2016-09-15 08:00:00;452,44792175293;459,166666667;1,46324753119393;;;;;;;;;;;;;;
2016-09-15 09:00:00;539,467712402344;503;7,25004222710611;"September";"West";"Thursday";14;1010,8;98;13,7;2,9;14,4;9;8;9;0;FALSE
2016-09-15 10:00:00;556,699998855591;525,5;5,9372024463541;;;;;;;;;;;;;;
2016-09-15 11:00:00;578,738506317139;593,666666667;2,51456940199656;;;;;;;;;;;;;;
2016-09-15 12:00:00;576,405700683594;615,5;6,35163270778331;"September";"West";"Thursday";16,4;1011,4;95;15,6;2;14,4;0;8;12;0;FALSE
2016-09-15 13:00:00;559,949106216431;625,333333333;10,455899858732;;;;;;;;;;;;;;
2016-09-15 14:00:00;542,199287414551;658;17,5988924901899;;;;;;;;;;;;;;
2016-09-15 15:00:00;557,885498046875;613;8,99094648501224;"September";"North";"Thursday";16,3;1011,8;91;14,8;19;18;1;8;15;0;FALSE
2016-09-15 16:00:00;495,852077484131;522;5,00918055859562;;;;;;;;;;;;;;
2016-09-15 17:00:00;443,993743896484;437;1,60039906098041;;;;;;;;;;;;;;
2016-09-15 18:00:00;551,03076171875;485,5;13,4975822283728;"September";"West";"Thursday";16,1;1012,8;94;15,1;18;10,8;;8;18;0;FALSE
2016-09-15 19:00:00;603,268287658691;557;8,30669437319415;;;;;;;;;;;;;;
2016-09-15 20:00:00;585,742401123047;533,166666667;9,8610317829348;;;;;;;;;;;;;;
2016-09-15 21:00:00;500,340026855469;497,666666667;0,537178872431402;"September";"North";"Thursday";16,2;1014;96;15,6;10;25,2;0;8;21;1;FALSE
2016-09-15 22:00:00;622,998268127441;616,5;1,05405809042034;;;;;;;;;;;;;;
2016-09-15 23:00:00;543,15246963501;541,833333333;0,243457945618678;;;;;;;;;;;;;;
2016-09-16 00:00:00;487,729553222656;442,5;10,2213679599223;"September";"West";"Friday";15,9;1014,7;95;15,1;16;28,8;0;8;0;1;FALSE
2016-09-16 01:00:00;431,712608337402;412,5;4,65760202118845;;;;;;;;;;;;;;
2016-09-16 02:00:00;379,227561950684;371,166666667;2,17177241589843;;;;;;;;;;;;;;
2016-09-16 03:00:00;382,121826171875;412;7,25198393886529;"September";"North";"Friday";15,2;1015,4;92;13,9;40;32,4;0;8;3;0;FALSE
2016-09-16 04:00:00;369,96867275238;407,166666667;9,13581512433627;;;;;;;;;;;;;;
2016-09-16 05:00:00;308,580619812012;341,833333333;9,72775627138587;;;;;;;;;;;;;;
2016-09-16 06:00:00;309,605590820312;328;5,60805157917302;"September";"North";"Friday";15,1;1016,8;92;13,8;15;36;;8;6;0;FALSE
2016-09-16 07:00:00;374,891937255859;425,666666667;11,9282841216369;;;;;;;;;;;;;;
2016-09-16 08:00:00;430,811798095703;461,833333333;6,71704119176887;;;;;;;;;;;;;;
2016-09-16 09:00:00;519,716796875;499,166666667;4,11688752079858;"September";"North";"Friday";16,4;1019;76;12,2;13;39,6;;6;9;0;FALSE
2016-09-16 10:00:00;540,61993598938;506;6,8418845828814;;;;;;;;;;;;;;
2016-09-16 11:00:00;563,603000640869;536,666666667;5,01919266593524;;;;;;;;;;;;;;
2016-09-16 12:00:00;543,829162597656;524,833333333;3,6194022098447;"September";"North";"Friday";16,6;1020,4;68;10,7;16;46,8;0;7;12;0;FALSE
2016-09-16 13:00:00;504,711853027344;564,5;10,591345787893;;;;;;;;;;;;;;
2016-09-16 14:00:00;473,002334594727;572,666666667;17,4035504200609;;;;;;;;;;;;;;
2016-09-16 15:00:00;492,221252441406;520,833333333;5,49351953118952;"September";"North";"Friday";16,7;1021,1;70;11,2;19;50,4;0;8;15;0;FALSE
2016-09-16 16:00:00;463,815170288086;442,166666667;4,89600534211902;;;;;;;;;;;;;;
2016-09-16 17:00:00;481,474062919617;386,666666667;24,5191542032418;;;;;;;;;;;;;;
2016-09-16 18:00:00;440,095886230469;447,833333333;1,72775149293718;"September";"North";"Friday";14,5;1022,6;80;11,1;55;39,6;0;;18;0;FALSE
2016-09-16 19:00:00;480,763317108154;488,166666667;1,51656187617084;;;;;;;;;;;;;;
2016-09-16 20:00:00;488,907531738281;493,5;0,930591339760638;;;;;;;;;;;;;;
2016-09-16 21:00:00;507,718139648438;511,333333333;0,707013106498991;"September";"North";"Friday";13,3;1024,3;87;11,2;45;21,6;0;;21;1;FALSE
2016-09-16 22:00:00;637,243438720703;616,5;3,36471025477747;;;;;;;;;;;;;;
2016-09-16 23:00:00;652,435348510742;560,5;16,4023815362609;;;;;;;;;;;;;;
2016-09-17 00:00:00;554,307739257812;461,333333333;20,153411688919;"September";"North";"Saturday";12,2;1024,3;94;11,3;19;14,4;;;0;1;TRUE
2016-09-17 01:00:00;462,748435974121;397,666666667;16,3659101358927;;;;;;;;;;;;;;
2016-09-17 02:00:00;409,107269287109;363,333333333;12,5983309965554;;;;;;;;;;;;;;
2016-09-17 03:00:00;383,899353027344;398,666666667;3,70417566211804;"September";"West";"Saturday";12,6;1024,5;95;11,8;19;18;0;;3;0;TRUE
2016-09-17 04:00:00;369,883506774902;398,666666667;7,21985616021913;;;;;;;;;;;;;;
2016-09-17 05:00:00;328,28161239624;332,166666667;1,16960991593253;;;;;;;;;;;;;;
