"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;504,060546875;435;15,8759877873563;"September";"South";"Tuesday";18,3;1009;97;9;20,372;0;7;0;0;FALSE
2016-09-13 01:00:00;440,048690795898;422,333333333;4,19463870471486;;;;;;;;;;;;;
2016-09-13 02:00:00;385,940696716309;376,166666667;2,5983243374302;;;;;;;;;;;;;
2016-09-13 03:00:00;377,482269287109;407,833333333;7,44202632919871;"September";"East";"Tuesday";17,1;1007,4;98;0,4;11,112;0;7;3;0;FALSE
2016-09-13 04:00:00;368,395666122437;399,5;7,7858157390647;;;;;;;;;;;;;
2016-09-13 05:00:00;301,993293762207;346,333333333;12,8027063245916;;;;;;;;;;;;;
2016-09-13 06:00:00;319,723724365234;313,833333333;1,87691695132469;"September";"South";"Tuesday";17,6;1008,1;99;5;14,816;0;8;6;0;FALSE
2016-09-13 07:00:00;379,639533996582;362,833333333;4,63193403682062;;;;;;;;;;;;;
2016-09-13 08:00:00;469,706954956055;445,666666667;5,39423073052431;;;;;;;;;;;;;
2016-09-13 09:00:00;505,543640136719;503,833333333;0,339458842948044;"September";"North";"Tuesday";20,1;1007,2;87;45;18,52;0;8;9;0;FALSE
2016-09-13 10:00:00;539,825832366943;513,833333333;5,05854668192543;;;;;;;;;;;;;
2016-09-13 11:00:00;541,922634124756;545,5;0,655795760814691;;;;;;;;;;;;;
2016-09-13 12:00:00;559,839050292969;555,666666667;0,750878876898552;"September";"North";"Tuesday";23,3;1005,8;76;40;25,928;0;;12;0;FALSE
2016-09-13 13:00:00;554,902794361115;576,5;3,74626290353608;;;;;;;;;;;;;
2016-09-13 14:00:00;586,830745697021;588,5;0,283645590990402;;;;;;;;;;;;;
2016-09-13 15:00:00;524,755615234375;563;6,79296354629218;"September";"North";"Tuesday";18,8;1005,1;93;5;29,632;0;8;15;0;FALSE
2016-09-13 16:00:00;450,858055114746;496,5;9,1927381440592;;;;;;;;;;;;;
2016-09-13 17:00:00;390,220581054688;449,333333333;13,1556570352425;;;;;;;;;;;;;
2016-09-13 18:00:00;483,586639404297;505,833333333;4,39802845378276;"September";"North";"Tuesday";17,2;1005,1;98;3,9;24,076;2;8;18;0;FALSE
2016-09-13 19:00:00;534,967514038086;561,166666667;4,66869366716337;;;;;;;;;;;;;
2016-09-13 20:00:00;533,384490966797;542,333333333;1,65006312837283;;;;;;;;;;;;;
2016-09-13 21:00:00;506,62890625;512,833333333;1,20983303535991;"September";"East";"Tuesday";17,2;1005,1;98;3;25,928;0;8;21;1;FALSE
2016-09-13 22:00:00;616,331886291504;624,333333333;1,28159856510952;;;;;;;;;;;;;
2016-09-13 23:00:00;560,508041381836;550,666666667;1,78717458501756;;;;;;;;;;;;;
2016-09-14 00:00:00;476,090301513672;467,166666667;1,91016086621452;"September";"East";"Wednesday";17,5;1005,5;97;9;24,076;3;8;0;0;FALSE
2016-09-14 01:00:00;415,217315673828;405,833333333;2,3122749094462;;;;;;;;;;;;;
2016-09-14 02:00:00;377,880836486816;362,5;4,24298937567349;;;;;;;;;;;;;
