"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"f_season";"f_hour";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-13 00:00:00;506,686798095703;435;16,4797237001616;"September";"South";"Tuesday";"summer";"H0";18,3;1009;97;17,8;9;20,372;0;7;0;FALSE
2016-09-13 01:00:00;445,364608764648;422,333333333;5,45334067048144;;;;;;;;;;;;;;;
2016-09-13 02:00:00;395,816665649414;376,166666667;5,22374806798315;;;;;;;;;;;;;;;
2016-09-13 03:00:00;376,92724609375;407,833333333;7,57811701821216;"September";"East";"Tuesday";"summer";"H3";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;FALSE
2016-09-13 04:00:00;372,114864826202;399,5;6,85485235889802;;;;;;;;;;;;;;;
2016-09-13 05:00:00;290,947944641113;346,333333333;15,9919312873744;;;;;;;;;;;;;;;
2016-09-13 06:00:00;310,715606689453;313,833333333;0,993433874737176;"September";"South";"Tuesday";"summer";"H6";17,6;1008,1;99;17,4;5;14,816;0;8;6;FALSE
2016-09-13 07:00:00;371,353519439697;362,833333333;2,34823686909649;;;;;;;;;;;;;;;
2016-09-13 08:00:00;456,836090087891;445,666666667;2,50622814230716;;;;;;;;;;;;;;;
2016-09-13 09:00:00;489,882019042969;503,833333333;2,76903360040499;"September";"North";"Tuesday";"summer";"H9";20,1;1007,2;87;17,9;45;18,52;0;8;9;FALSE
2016-09-13 10:00:00;518,662233352661;513,833333333;0,939779439441626;;;;;;;;;;;;;;;
2016-09-13 11:00:00;534,724792480469;545,5;1,97529010440536;;;;;;;;;;;;;;;
2016-09-13 12:00:00;546,210693359375;555,666666667;1,70173484840179;"September";"North";"Tuesday";"summer";"H12";23,3;1005,8;76;18,8;40;25,928;0;;12;FALSE
2016-09-13 13:00:00;543,428833007812;576,5;5,73654240974631;;;;;;;;;;;;;;;
2016-09-13 14:00:00;566,956085205078;588,5;3,66081814697058;;;;;;;;;;;;;;;
2016-09-13 15:00:00;533,318908691406;563;5,27195227506106;"September";"North";"Tuesday";"summer";"H15";18,8;1005,1;93;17,6;5;29,632;0;8;15;FALSE
2016-09-13 16:00:00;454,403411865234;496,5;8,47866830508875;;;;;;;;;;;;;;;
2016-09-13 17:00:00;387,986373901367;449,333333333;13,6528841465159;;;;;;;;;;;;;;;
2016-09-13 18:00:00;486,168548583984;505,833333333;3,88760159783102;"September";"North";"Tuesday";"summer";"H18";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;FALSE
2016-09-13 19:00:00;538,880725860596;561,166666667;3,9713586230575;;;;;;;;;;;;;;;
2016-09-13 20:00:00;542,793186187744;542,333333333;0,0847915528108878;;;;;;;;;;;;;;;
2016-09-13 21:00:00;519,32958984375;512,833333333;1,26673835113829;"September";"East";"Tuesday";"summer";"H21";17,2;1005,1;98;16,9;3;25,928;0;8;21;FALSE
2016-09-13 22:00:00;637,379943847656;624,333333333;2,08968668147301;;;;;;;;;;;;;;;
2016-09-13 23:00:00;575,361667633057;550,666666667;4,48456434008022;;;;;;;;;;;;;;;
2016-09-14 00:00:00;491,200042724609;467,166666667;5,14449719391913;"September";"East";"Wednesday";"summer";"H0";17,5;1005,5;97;17;9;24,076;3;8;0;FALSE
2016-09-14 01:00:00;426,476699829102;405,833333333;5,08666114894091;;;;;;;;;;;;;;;
2016-09-14 02:00:00;398,117958068848;362,5;9,82564360519935;;;;;;;;;;;;;;;
2016-09-14 03:00:00;386,464141845703;396,666666667;2,57206508099705;"September";"East";"Wednesday";"summer";"H3";16,2;1004;97;15,7;2,9;12,964;0;;3;FALSE
2016-09-14 04:00:00;372,698558807373;407,833333333;8,61498353714483;;;;;;;;;;;;;;;
2016-09-14 05:00:00;314,416564941406;330,833333333;4,96224737277892;;;;;;;;;;;;;;;
2016-09-14 06:00:00;312,425231933594;317,166666667;1,4949347556704;"September";"East";"Wednesday";"summer";"H6";15,5;1004,6;94;14,5;45;36;0;7;6;FALSE
2016-09-14 07:00:00;368,21329498291;384,833333333;4,31876267217953;;;;;;;;;;;;;;;
2016-09-14 08:00:00;453,47135925293;458,833333333;1,1686104061186;;;;;;;;;;;;;;;
2016-09-14 09:00:00;500,811828613281;478,333333333;4,69933699239657;"September";"East";"Wednesday";"summer";"H9";18;1005,9;82;14,9;29;46,8;0;;9;FALSE
2016-09-14 10:00:00;512,165229797363;504;1,62008527725462;;;;;;;;;;;;;;;
2016-09-14 11:00:00;509,303679466248;492,333333333;3,44692203112913;;;;;;;;;;;;;;;
2016-09-14 12:00:00;556,103393554688;519,5;7,0458890384384;"September";"South";"Wednesday";"summer";"H12";20,2;1007,2;65;13,4;7;54;0;7;12;FALSE
2016-09-14 13:00:00;560,31055355072;543,333333333;3,12464175786453;;;;;;;;;;;;;;;
2016-09-14 14:00:00;569,043971061707;573;0,690406446473553;;;;;;;;;;;;;;;
2016-09-14 15:00:00;481,843627929688;539;10,6041506623956;"September";"South";"Wednesday";"summer";"H15";20,4;1007,9;62;12,9;28;46,8;0;;15;FALSE
2016-09-14 16:00:00;416,307838439941;438,833333333;5,13304099348478;;;;;;;;;;;;;;;
2016-09-14 17:00:00;354,194068908691;380,5;6,91351671256468;;;;;;;;;;;;;;;
2016-09-14 18:00:00;461,416168212891;426;8,31365451006822;"September";"East";"Wednesday";"summer";"H18";18,6;1009,3;63;11,4;45;43,2;0;;18;FALSE
2016-09-14 19:00:00;508,252307891846;480,5;5,7757144415912;;;;;;;;;;;;;;;
2016-09-14 20:00:00;496,127464294434;471,833333333;5,1488797516321;;;;;;;;;;;;;;;
2016-09-14 21:00:00;494,619781494141;477,166666667;3,65765591906289;"September";"East";"Wednesday";"summer";"H21";13,8;1010,5;89;12;60;10,8;0;;21;FALSE
2016-09-14 22:00:00;631,520629882812;607,166666667;4,01108370284916;;;;;;;;;;;;;;;
2016-09-14 23:00:00;617,662734985352;539,833333333;14,4173019424019;;;;;;;;;;;;;;;
2016-09-15 00:00:00;507,551147460938;445,333333333;13,971066046703;"September";"North";"Thursday";"summer";"H0";13,4;1010,4;89;11,6;60;14,4;0;8;0;FALSE
2016-09-15 01:00:00;448,513980865479;393,166666667;14,0773160318181;;;;;;;;;;;;;;;
2016-09-15 02:00:00;373,087814331055;358,5;4,06912533641693;;;;;;;;;;;;;;;
2016-09-15 03:00:00;382,745147705078;383,833333333;0,283504722863084;"September";"East";"Thursday";"summer";"H3";12,7;1009,8;94;11,8;60;7,2;0;7;3;FALSE
2016-09-15 04:00:00;371,055687904358;396,833333333;6,49583673128863;;;;;;;;;;;;;;;
2016-09-15 05:00:00;312,892311096191;316;0,983445855635631;;;;;;;;;;;;;;;
2016-09-15 06:00:00;316,188751220703;294;7,54719429275617;"September";"North";"Thursday";"summer";"H6";13,8;1010,1;92;12,5;4,6;18;;8;6;FALSE
2016-09-15 07:00:00;372,152988433838;357,5;4,09873802345116;;;;;;;;;;;;;;;
2016-09-15 08:00:00;456,716171264648;459,166666667;0,533683209223187;;;;;;;;;;;;;;;
2016-09-15 09:00:00;515,509704589844;503;2,48701880513792;"September";"West";"Thursday";"summer";"H9";14;1010,8;98;13,7;2,9;14,4;9;8;9;FALSE
2016-09-15 10:00:00;535,134027481079;525,5;1,83330684701791;;;;;;;;;;;;;;;
2016-09-15 11:00:00;570,584526062012;593,666666667;3,88806411088859;;;;;;;;;;;;;;;
2016-09-15 12:00:00;565,722412109375;615,5;8,08734165566612;"September";"West";"Thursday";"summer";"H12";16,4;1011,4;95;15,6;2;14,4;0;8;12;FALSE
2016-09-15 13:00:00;554,474894523621;625,333333333;11,3313068458556;;;;;;;;;;;;;;;
2016-09-15 14:00:00;525,218616485596;658;20,1795415675386;;;;;;;;;;;;;;;
2016-09-15 15:00:00;519,035949707031;613;15,3285563283799;"September";"North";"Thursday";"summer";"H15";16,3;1011,8;91;14,8;19;18;1;8;15;FALSE
2016-09-15 16:00:00;465,004154205322;522;10,9187444051107;;;;;;;;;;;;;;;
2016-09-15 17:00:00;379,438247680664;437;13,1720257023652;;;;;;;;;;;;;;;
2016-09-15 18:00:00;466,441650390625;485,5;3,92550970326982;"September";"West";"Thursday";"summer";"H18";16,1;1012,8;94;15,1;18;10,8;;8;18;FALSE
2016-09-15 19:00:00;523,044055938721;557;6,09621975965517;;;;;;;;;;;;;;;
2016-09-15 20:00:00;511,750537872314;533,166666667;4,0167793925612;;;;;;;;;;;;;;;
2016-09-15 21:00:00;503,351959228516;497,666666667;1,14238966406801;"September";"North";"Thursday";"summer";"H21";16,2;1014;96;15,6;10;25,2;0;8;21;FALSE
2016-09-15 22:00:00;628,36873626709;616,5;1,92518025419138;;;;;;;;;;;;;;;
2016-09-15 23:00:00;566,740673065186;541,833333333;4,59686368481098;;;;;;;;;;;;;;;
2016-09-16 00:00:00;485,9521484375;442,5;9,81969456214689;"September";"West";"Friday";"summer";"H0";15,9;1014,7;95;15,1;16;28,8;0;8;0;FALSE
2016-09-16 01:00:00;417,31388092041;412,5;1,16700143525095;;;;;;;;;;;;;;;
2016-09-16 02:00:00;385,764984130859;371,166666667;3,93308957265727;;;;;;;;;;;;;;;
2016-09-16 03:00:00;384,504333496094;412;6,67370546211317;"September";"North";"Friday";"summer";"H3";15,2;1015,4;92;13,9;40;32,4;0;8;3;FALSE
2016-09-16 04:00:00;374,656538009644;407,166666667;7,98447695227094;;;;;;;;;;;;;;;
2016-09-16 05:00:00;311,301254272461;341,833333333;8,9318612561391;;;;;;;;;;;;;;;
2016-09-16 06:00:00;314,149047851562;328;4,22285126476753;"September";"North";"Friday";"summer";"H6";15,1;1016,8;92;13,8;15;36;;8;6;FALSE
2016-09-16 07:00:00;371,51135635376;425,666666667;12,7224691417066;;;;;;;;;;;;;;;
2016-09-16 08:00:00;436,438423156738;461,833333333;5,49871746870012;;;;;;;;;;;;;;;
2016-09-16 09:00:00;494,742553710938;499,166666667;0,886299757474369;"September";"North";"Friday";"summer";"H9";16,4;1019;76;12,2;13;39,6;;6;9;FALSE
2016-09-16 10:00:00;514,493268966675;506;1,67851165349304;;;;;;;;;;;;;;;
2016-09-16 11:00:00;543,182594299316;536,666666667;1,21414800602094;;;;;;;;;;;;;;;
2016-09-16 12:00:00;542,646911621094;524,833333333;3,39414003584091;"September";"North";"Friday";"summer";"H12";16,6;1020,4;68;10,7;16;46,8;0;7;12;FALSE
2016-09-16 13:00:00;500,188346862793;564,5;11,3926754893192;;;;;;;;;;;;;;;
2016-09-16 14:00:00;471,508735656738;572,666666667;17,6643651356582;;;;;;;;;;;;;;;
2016-09-16 15:00:00;468,970428466797;520,833333333;9,95767773431738;"September";"North";"Friday";"summer";"H15";16,7;1021,1;70;11,2;19;50,4;0;8;15;FALSE
2016-09-16 16:00:00;437,771131515503;442,166666667;0,994090120955998;;;;;;;;;;;;;;;
2016-09-16 17:00:00;442,834495544434;386,666666667;14,5261626407031;;;;;;;;;;;;;;;
2016-09-16 18:00:00;454,772399902344;447,833333333;1,54947522947873;"September";"North";"Friday";"summer";"H18";14,5;1022,6;80;11,1;55;39,6;0;;18;FALSE
2016-09-16 19:00:00;497,599369049072;488,166666667;1,93227088741532;;;;;;;;;;;;;;;
2016-09-16 20:00:00;497,869186401367;493,5;0,885346788524253;;;;;;;;;;;;;;;
2016-09-16 21:00:00;513,023315429688;511,333333333;0,330504973276783;"September";"North";"Friday";"summer";"H21";13,3;1024,3;87;11,2;45;21,6;0;;21;FALSE
