"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"f_season";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;489,123352050781;435;12,4421498967313;"September";"South";"Tuesday";"summer";18,3;1009;97;17,8;9;20,372;0;7;0;FALSE;0
2016-09-13 01:00:00;427,801162719727;422,333333333;1,29467152014149;;;;;;;;;;;;;;;
2016-09-13 02:00:00;378,253219604492;376,166666667;0,554688419359412;;;;;;;;;;;;;;;
2016-09-13 03:00:00;380,097076416016;407,833333333;6,80088032292776;"September";"East";"Tuesday";"summer";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;FALSE;0
2016-09-13 04:00:00;374,754794120789;399,5;6,1940440248339;;;;;;;;;;;;;;;
2016-09-13 05:00:00;290,619613647461;346,333333333;16,0867333067159;;;;;;;;;;;;;;;
2016-09-13 06:00:00;308,980041503906;313,833333333;1,54645517655833;"September";"South";"Tuesday";"summer";17,6;1008,1;99;17,4;5;14,816;0;8;6;FALSE;0
2016-09-13 07:00:00;371,051082611084;362,833333333;2,26488266736561;;;;;;;;;;;;;;;
2016-09-13 08:00:00;455,461868286133;445,666666667;2,1978762047402;;;;;;;;;;;;;;;
2016-09-13 09:00:00;481,291778564453;503,833333333;4,47401020877839;"September";"North";"Tuesday";"summer";20,1;1007,2;87;17,9;45;18,52;0;8;9;FALSE;0
2016-09-13 10:00:00;512,648281097412;513,833333333;0,230629692297509;;;;;;;;;;;;;;;
2016-09-13 11:00:00;526,134552001953;545,5;3,55003629661721;;;;;;;;;;;;;;;
2016-09-13 12:00:00;556,589294433594;555,666666667;0,166039790028777;"September";"North";"Tuesday";"summer";23,3;1005,8;76;18,8;40;25,928;0;;12;FALSE;0
2016-09-13 13:00:00;546,047058105469;576,5;5,28238367641479;;;;;;;;;;;;;;;
2016-09-13 14:00:00;577,216829299927;588,5;1,91727624470234;;;;;;;;;;;;;;;
2016-09-13 15:00:00;553,416015625;563;1,70230628330373;"September";"North";"Tuesday";"summer";18,8;1005,1;93;17,6;5;29,632;0;8;15;FALSE;0
2016-09-13 16:00:00;475,445205688477;496,5;4,24064336586575;;;;;;;;;;;;;;;
2016-09-13 17:00:00;424,548385620117;449,333333333;5,51593791830145;;;;;;;;;;;;;;;
2016-09-13 18:00:00;495,802642822266;505,833333333;1,98300306637383;"September";"North";"Tuesday";"summer";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;FALSE;0
2016-09-13 19:00:00;547,083034515381;561,166666667;2,50970575912279;;;;;;;;;;;;;;;
2016-09-13 20:00:00;547,866142272949;542,333333333;1,02018603686894;;;;;;;;;;;;;;;
2016-09-13 21:00:00;515,114013671875;512,833333333;0,444721548042205;"September";"East";"Tuesday";"summer";17,2;1005,1;98;16,9;3;25,928;0;8;21;FALSE;1
