"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"f_season";"temp";"pression";"hr";"p_rosee";"visi";"vt_moy";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-13 00:00:00;504,149291992188;435;15,8963889637213;"September";"South";"Tuesday";"summer";18,3;1009;97;17,8;9;12,964;0;7;0;FALSE
2016-09-13 01:00:00;443,484981536865;422,333333333;5,0082829212033;;;;;;;;;;;;;;
2016-09-13 02:00:00;398,047203063965;376,166666667;5,81671326458452;;;;;;;;;;;;;;
2016-09-13 03:00:00;380,945251464844;407,833333333;6,59290932607557;"September";"East";"Tuesday";"summer";17,1;1007,4;98;16,8;0,4;3,704;0;7;3;FALSE
2016-09-13 04:00:00;377,148636579514;399,5;5,59483439811926;;;;;;;;;;;;;;
2016-09-13 05:00:00;291,40843963623;346,333333333;15,8589683436446;;;;;;;;;;;;;;
2016-09-13 06:00:00;306,637054443359;313,833333333;2,29302566850183;"September";"South";"Tuesday";"summer";17,6;1008,1;99;17,4;5;5,556;0;8;6;FALSE
2016-09-13 07:00:00;370,800224304199;362,833333333;2,19574395164168;;;;;;;;;;;;;;
2016-09-13 08:00:00;458,57829284668;445,666666667;2,89714873141436;;;;;;;;;;;;;;
2016-09-13 09:00:00;484,448944091797;503,833333333;3,84738125859397;"September";"North";"Tuesday";"summer";20,1;1007,2;87;17,9;45;11,112;0;8;9;FALSE
2016-09-13 10:00:00;525,985080718994;513,833333333;2,36492002322452;;;;;;;;;;;;;;
2016-09-13 11:00:00;532,603858947754;545,5;2,36409551828526;;;;;;;;;;;;;;
2016-09-13 12:00:00;558,074340820312;555,666666667;0,433294688658266;"September";"North";"Tuesday";"summer";23,3;1005,8;76;18,8;40;14,816;0;;12;FALSE
2016-09-13 13:00:00;552,859481811523;576,5;4,10069699713384;;;;;;;;;;;;;;
2016-09-13 14:00:00;578,231798171997;588,5;1,74480914664451;;;;;;;;;;;;;;
2016-09-13 15:00:00;552,345092773438;563;1,89252348606794;"September";"North";"Tuesday";"summer";18,8;1005,1;93;17,6;5;14,816;0;8;15;FALSE
2016-09-13 16:00:00;473,983573913574;496,5;4,53503043029724;;;;;;;;;;;;;;
