"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"f_season";"temp";"pression";"hr";"p_rosee";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-13 00:00:00;507,255645751953;435;16,6104932763111;"September";"South";"Tuesday";"summer";18,3;1009;97;17,8;9;12,964;20,372;0;7;0;FALSE
2016-09-13 01:00:00;446,906967163086;422,333333333;5,8185399755577;;;;;;;;;;;;;;;
2016-09-13 02:00:00;396,713935852051;376,166666667;5,46227802880795;;;;;;;;;;;;;;;
2016-09-13 03:00:00;380,332977294922;407,833333333;6,74303785159802;"September";"East";"Tuesday";"summer";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;7;3;FALSE
2016-09-13 04:00:00;374,089477539062;399,5;6,36058134191176;;;;;;;;;;;;;;;
2016-09-13 05:00:00;290,99146270752;346,333333333;15,979365916901;;;;;;;;;;;;;;;
2016-09-13 06:00:00;307,783294677734;313,833333333;1,92778714453703;"September";"South";"Tuesday";"summer";17,6;1008,1;99;17,4;5;5,556;14,816;0;8;6;FALSE
2016-09-13 07:00:00;370,758628845215;362,833333333;2,18427988393812;;;;;;;;;;;;;;;
2016-09-13 08:00:00;458,947692871094;445,666666667;2,9800357974758;;;;;;;;;;;;;;;
2016-09-13 09:00:00;478,724700927734;503,833333333;4,98351949823663;"September";"North";"Tuesday";"summer";20,1;1007,2;87;17,9;45;11,112;18,52;0;8;9;FALSE
2016-09-13 10:00:00;514,18395614624;513,833333333;0,0682366811366371;;;;;;;;;;;;;;;
2016-09-13 11:00:00;524,169292449951;545,5;3,91030385885405;;;;;;;;;;;;;;;
2016-09-13 12:00:00;554,075378417969;555,666666667;0,286374609903465;"September";"North";"Tuesday";"summer";23,3;1005,8;76;18,8;40;14,816;25,928;0;;12;FALSE
2016-09-13 13:00:00;550,13134765625;576,5;4,57392061470078;;;;;;;;;;;;;;;
2016-09-13 14:00:00;574,516202926636;588,5;2,3761762231715;;;;;;;;;;;;;;;
2016-09-13 15:00:00;546,480346679688;563;2,93421906222247;"September";"North";"Tuesday";"summer";18,8;1005,1;93;17,6;5;14,816;29,632;0;8;15;FALSE
2016-09-13 16:00:00;468,947868347168;496,5;5,5492712291706;;;;;;;;;;;;;;;
2016-09-13 17:00:00;406,59504699707;449,333333333;9,5114880569647;;;;;;;;;;;;;;;
2016-09-13 18:00:00;495,568328857422;505,833333333;2,0293254317466;"September";"North";"Tuesday";"summer";17,2;1005,1;98;16,9;3,9;9,26;24,076;2;8;18;FALSE
2016-09-13 19:00:00;544,698223114014;561,166666667;2,93467957581999;;;;;;;;;;;;;;;
