"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;508,739105224609;435;16,9515184424389;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;445,033809661865;422,333333333;5,37501412680738;;;;;;;;;;;;
2016-09-13 02:00:00;433,00553894043;376,166666667;15,1100236437871;;;;;;;;;;;;
2016-09-13 03:00:00;412,878570556641;407,833333333;1,237083095295;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;407,468597888947;399,5;1,99464277570627;;;;;;;;;;;;
2016-09-13 05:00:00;321,785652160645;346,333333333;7,08787714313159;;;;;;;;;;;;
2016-09-13 06:00:00;341,383819580078;313,833333333;8,7786998132047;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;409,802909851074;362,833333333;12,9452209053149;;;;;;;;;;;;
2016-09-13 08:00:00;496,85432434082;445,666666667;11,4856374735487;;;;;;;;;;;;
2016-09-13 09:00:00;508,409851074219;503,833333333;0,908339611224967;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;516,349878311157;513,833333333;0,489758996722443;;;;;;;;;;;;
2016-09-13 11:00:00;545,608520507812;545,5;0,0198937686182401;;;;;;;;;;;;
2016-09-13 12:00:00;584,729187011719;555,666666667;5,23020762052214;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;597,302669525146;576,5;3,60844224200286;;;;;;;;;;;;
2016-09-13 14:00:00;596,221946716309;588,5;1,31214047855711;;;;;;;;;;;;
2016-09-13 15:00:00;579,550048828125;563;2,93961790908082;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;491,007545471191;496,5;1,10623454759488;;;;;;;;;;;;
2016-09-13 17:00:00;418,212539672852;449,333333333;6,92599265434084;;;;;;;;;;;;
2016-09-13 18:00:00;506,133239746094;505,833333333;0,0592895709576204;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;553,450035095215;561,166666667;1,37510512119641;;;;;;;;;;;;
2016-09-13 20:00:00;539,933849334717;542,333333333;0,44243712322398;;;;;;;;;;;;
2016-09-13 21:00:00;548,424560546875;512,833333333;6,94011580381503;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;661,087257385254;624,333333333;5,88690721606089;;;;;;;;;;;;
2016-09-13 23:00:00;565,031106948853;550,666666667;2,60855453060119;;;;;;;;;;;;
2016-09-14 00:00:00;504,785430908203;467,166666667;8,05253604877123;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;439,750625610352;405,833333333;8,35744368231116;;;;;;;;;;;;
2016-09-14 02:00:00;406,048316955566;362,5;12,0133288153287;;;;;;;;;;;;
