"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;510,875701904297;435;17,4426900929418;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;447,90535736084;422,333333333;6,05493860170325;;;;;;;;;;;;;
2016-09-13 02:00:00;426,829879760742;376,166666667;13,4682888153382;;;;;;;;;;;;;
2016-09-13 03:00:00;415,045196533203;407,833333333;1,76833588889474;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;415,768569171429;399,5;4,07223258358665;;;;;;;;;;;;;
2016-09-13 05:00:00;324,192428588867;346,333333333;6,3929465093804;;;;;;;;;;;;;
2016-09-13 06:00:00;339,8544921875;313,833333333;8,29139421811821;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;407,547256469727;362,833333333;12,3235433541849;;;;;;;;;;;;;
2016-09-13 08:00:00;501,244323730469;445,666666667;12,4706784734691;;;;;;;;;;;;;
2016-09-13 09:00:00;509,621856689453;503,833333333;1,14889646505927;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;522,366496086121;513,833333333;1,66068688027105;;;;;;;;;;;;;
2016-09-13 11:00:00;541,141407012939;545,5;0,799008796894692;;;;;;;;;;;;;
2016-09-13 12:00:00;585,925354003906;555,666666667;5,44547462571472;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;596,64635848999;576,5;3,49459817692805;;;;;;;;;;;;;
2016-09-13 14:00:00;597,303428649902;588,5;1,4959097111134;;;;;;;;;;;;;
2016-09-13 15:00:00;566,705261230469;563;0,658128104878996;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;480,921836853027;496,5;3,13759579999449;;;;;;;;;;;;;
2016-09-13 17:00:00;408,593170166016;449,333333333;9,06680189176882;;;;;;;;;;;;;
2016-09-13 18:00:00;506,516662597656;505,833333333;0,135089805203964;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0
2016-09-13 19:00:00;552,531539916992;561,166666667;1,5387811256316;;;;;;;;;;;;;
2016-09-13 20:00:00;540,730270385742;542,333333333;0,295586284067395;;;;;;;;;;;;;
2016-09-13 21:00:00;562,679382324219;512,833333333;9,71973655987997;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0
2016-09-13 22:00:00;674,050537109375;624,333333333;7,96324673407392;;;;;;;;;;;;;
2016-09-13 23:00:00;585,577682495117;550,666666667;6,33977285013852;;;;;;;;;;;;;
2016-09-14 00:00:00;509,980407714844;467,166666667;9,16455391676344;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0
2016-09-14 01:00:00;444,127082824707;405,833333333;9,43583149693762;;;;;;;;;;;;;
2016-09-14 02:00:00;405,156524658203;362,5;11,7673171470905;;;;;;;;;;;;;
2016-09-14 03:00:00;402,576477050781;396,666666667;1,48986816397721;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0
2016-09-14 04:00:00;387,028757095337;407,833333333;5,10124468435147;;;;;;;;;;;;;
2016-09-14 05:00:00;314,505218505859;330,833333333;4,93545032558904;;;;;;;;;;;;;
2016-09-14 06:00:00;343,050842285156;317,166666667;8,16106430419202;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0
2016-09-14 07:00:00;412,614433288574;384,833333333;7,21899522449501;;;;;;;;;;;;;
2016-09-14 08:00:00;490,524154663086;458,833333333;6,90682629788063;;;;;;;;;;;;;
2016-09-14 09:00:00;524,44921875;478,333333333;9,64095165512867;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0
2016-09-14 10:00:00;556,625659942627;504;10,4415991949657;;;;;;;;;;;;;
2016-09-14 11:00:00;535,217324256897;492,333333333;8,71035699199581;;;;;;;;;;;;;
2016-09-14 12:00:00;603,028015136719;519,5;16,0785399685695;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0
2016-09-14 13:00:00;609,458576202393;543,333333333;12,1702900986687;;;;;;;;;;;;;
2016-09-14 14:00:00;612,93761920929;573;6,96991609237165;;;;;;;;;;;;;
2016-09-14 15:00:00;522,329040527344;539;3,09294238824791;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15;0
2016-09-14 16:00:00;431,885986328125;438,833333333;1,58314022139315;;;;;;;;;;;;;
2016-09-14 17:00:00;385,681228637695;380,5;1,36168952370442;;;;;;;;;;;;;
2016-09-14 18:00:00;490,600494384766;426;15,1644353015882;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18;0
2016-09-14 19:00:00;528,686241149902;480,5;10,0283540374407;;;;;;;;;;;;;
2016-09-14 20:00:00;533,242660522461;471,833333333;13,0150463842114;;;;;;;;;;;;;
