"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;502,699554443359;435;15,5631159639907;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0;1
2016-09-13 01:00:00;439,68501663208;422,333333333;4,10852801083515;;;;;;;;;;;;;;
2016-09-13 02:00:00;418,675788879395;376,166666667;11,3006084747072;;;;;;;;;;;;;;
2016-09-13 03:00:00;412,510986328125;407,833333333;1,1469521034235;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0;0
2016-09-13 04:00:00;413,22276622057;399,5;3,43498528675084;;;;;;;;;;;;;;
2016-09-13 05:00:00;321,725646972656;346,333333333;7,10520299144391;;;;;;;;;;;;;;
2016-09-13 06:00:00;357,040924072266;313,833333333;13,7676869057817;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0;0
2016-09-13 07:00:00;424,746543884277;362,833333333;17,0638154941665;;;;;;;;;;;;;;
2016-09-13 08:00:00;518,355880737305;445,666666667;16,3102200606396;;;;;;;;;;;;;;
2016-09-13 09:00:00;523,834350585938;503,833333333;3,96976855830977;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0;0
2016-09-13 10:00:00;536,5688829422;513,833333333;4,42469340432327;;;;;;;;;;;;;;
2016-09-13 11:00:00;555,427770614624;545,5;1,81993961771293;;;;;;;;;;;;;;
2016-09-13 12:00:00;594,130615234375;555,666666667;6,92212631685998;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0;0
2016-09-13 13:00:00;604,828139305115;576,5;4,91381427668946;;;;;;;;;;;;;;
2016-09-13 14:00:00;605,438928604126;588,5;2,87832261752353;;;;;;;;;;;;;;
2016-09-13 15:00:00;572,123962402344;563;1,62059722954596;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0;0
2016-09-13 16:00:00;486,356155395508;496,5;2,043070413795;;;;;;;;;;;;;;
2016-09-13 17:00:00;414,473068237305;449,333333333;7,75821923495278;;;;;;;;;;;;;;
2016-09-13 18:00:00;499,668365478516;505,833333333;1,21877453465998;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0;1
2016-09-13 19:00:00;545,672958374023;561,166666667;2,76098157878836;;;;;;;;;;;;;;
2016-09-13 20:00:00;533,769420623779;542,333333333;1,57908654749097;;;;;;;;;;;;;;
2016-09-13 21:00:00;559,548217773438;512,833333333;9,10917473652281;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0;1
2016-09-13 22:00:00;670,830284118652;624,333333333;7,44745607885912;;;;;;;;;;;;;;
2016-09-13 23:00:00;584,43737411499;550,666666667;6,13269505713738;;;;;;;;;;;;;;
2016-09-14 00:00:00;505,554901123047;467,166666667;8,21724604838091;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0;1
2016-09-14 01:00:00;439,69115447998;405,833333333;8,34278960501231;;;;;;;;;;;;;;
2016-09-14 02:00:00;400,738594055176;362,5;10,5485776703933;;;;;;;;;;;;;;
2016-09-14 03:00:00;397,405670166016;396,666666667;0,186303403113022;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0;0
2016-09-14 04:00:00;381,859806060791;407,833333333;6,36866218362817;;;;;;;;;;;;;;
2016-09-14 05:00:00;309,35082244873;330,833333333;6,49345417157415;;;;;;;;;;;;;;
2016-09-14 06:00:00;342,351654052734;317,166666667;7,94061609638714;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0;0
2016-09-14 07:00:00;411,948249816895;384,833333333;7,04588561730222;;;;;;;;;;;;;;
2016-09-14 08:00:00;489,765411376953;458,833333333;6,74146270482578;;;;;;;;;;;;;;
2016-09-14 09:00:00;526,24072265625;478,333333333;10,0154820884913;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0;0
