"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;498,967926025391;435;14,7052703506645;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0
2016-09-13 01:00:00;441,975658416748;422,333333333;4,65090570254859;;;;;;;;;;;;;
2016-09-13 02:00:00;416,156326293945;376,166666667;10,6308355233256;;;;;;;;;;;;;
2016-09-13 03:00:00;396,222229003906;407,833333333;2,84702190333549;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3
2016-09-13 04:00:00;389,970170497894;399,5;2,38543917449455;;;;;;;;;;;;;
2016-09-13 05:00:00;302,075592041016;346,333333333;12,7789435876882;;;;;;;;;;;;;
2016-09-13 06:00:00;327,347290039062;313,833333333;4,30609348042811;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6
2016-09-13 07:00:00;398,003074645996;362,833333333;9,69308442251587;;;;;;;;;;;;;
2016-09-13 08:00:00;479,486923217773;445,666666667;7,58868882963683;;;;;;;;;;;;;
2016-09-13 09:00:00;508,287658691406;503,833333333;0,884087070805666;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9
2016-09-13 10:00:00;547,486820220947;513,833333333;6,54949469113897;;;;;;;;;;;;;
2016-09-13 11:00:00;564,830062866211;545,5;3,54354956300842;;;;;;;;;;;;;
2016-09-13 12:00:00;589,58349609375;555,666666667;6,10380853510433;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12
2016-09-13 13:00:00;577,024115562439;576,5;0,0909133672921014;;;;;;;;;;;;;
2016-09-13 14:00:00;576,723441123962;588,5;2,00111450739806;;;;;;;;;;;;;
2016-09-13 15:00:00;523,440002441406;563;7,02664255037189;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15
2016-09-13 16:00:00;435,600219726562;496,5;12,2658167720921;;;;;;;;;;;;;
2016-09-13 17:00:00;408,34041595459;449,333333333;9,1230528290298;;;;;;;;;;;;;
2016-09-13 18:00:00;542,493774414062;505,833333333;7,24753365688699;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18
2016-09-13 19:00:00;582,679630279541;561,166666667;3,83361394936649;;;;;;;;;;;;;
2016-09-13 20:00:00;589,176067352295;542,333333333;8,63725888493983;;;;;;;;;;;;;
2016-09-13 21:00:00;523,270385742188;512,833333333;2,03517434043437;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21
2016-09-13 22:00:00;649,020408630371;624,333333333;3,95414980737601;;;;;;;;;;;;;
2016-09-13 23:00:00;567,817253112793;550,666666667;3,11451327707917;;;;;;;;;;;;;
2016-09-14 00:00:00;558,753845214844;467,166666667;19,6048188115116;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0
2016-09-14 01:00:00;503,114334106445;405,833333333;23,9706778086715;;;;;;;;;;;;;
2016-09-14 02:00:00;448,624626159668;362,5;23,7585175612877;;;;;;;;;;;;;
2016-09-14 03:00:00;418,797515869141;396,666666667;5,57920568120723;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3
2016-09-14 04:00:00;409,680632591248;407,833333333;0,452954456456661;;;;;;;;;;;;;
2016-09-14 05:00:00;336,20076751709;330,833333333;1,62239824204391;;;;;;;;;;;;;
2016-09-14 06:00:00;342,532989501953;317,166666667;7,99778964842663;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6
2016-09-14 07:00:00;393,54239654541;384,833333333;2,26307402661352;;;;;;;;;;;;;
