"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;488,514495849609;435;12,3021829539332;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;434,027416229248;422,333333333;2,76892254844293;;;;;;;;;;;;
2016-09-13 02:00:00;402,749137878418;376,166666667;7,06667378238221;;;;;;;;;;;;
2016-09-13 03:00:00;407,039398193359;407,833333333;0,194671468649266;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;401,546120643616;399,5;0,51217037387127;;;;;;;;;;;;
2016-09-13 05:00:00;313,067687988281;346,333333333;9,60509490223795;;;;;;;;;;;;
2016-09-13 06:00:00;340,180725097656;313,833333333;8,39534522507199;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;409,434494018555;362,833333333;12,84368232033;;;;;;;;;;;;
2016-09-13 08:00:00;481,087066650391;445,666666667;7,94773372850354;;;;;;;;;;;;
2016-09-13 09:00:00;519,119934082031;503,833333333;3,03405903057388;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;537,701515197754;513,833333333;4,64512134896581;;;;;;;;;;;;
2016-09-13 11:00:00;564,514827728271;545,5;3,48576127007727;;;;;;;;;;;;
2016-09-13 12:00:00;558,522888183594;555,666666667;0,51401706957266;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;546,753392219543;576,5;5,15986258117199;;;;;;;;;;;;
2016-09-13 14:00:00;557,412719249725;588,5;5,28246062026757;;;;;;;;;;;;
2016-09-13 15:00:00;494,179473876953;563;12,2238945156389;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;441,606834411621;496,5;11,056025294739;;;;;;;;;;;;
2016-09-13 17:00:00;430,26488494873;449,333333333;4,24371996682871;;;;;;;;;;;;
2016-09-13 18:00:00;507,198303222656;505,833333333;0,269845777197463;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;554,509532928467;561,166666667;1,18630241850832;;;;;;;;;;;;
2016-09-13 20:00:00;561,119201660156;542,333333333;3,46389704864802;;;;;;;;;;;;
2016-09-13 21:00:00;503,237976074219;512,833333333;1,87104788926634;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;629,645332336426;624,333333333;0,850827389764321;;;;;;;;;;;;
2016-09-13 23:00:00;545,025039672852;550,666666667;1,0245085340457;;;;;;;;;;;;
2016-09-14 00:00:00;543,668273925781;467,166666667;16,3756562095027;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;484,767974853516;405,833333333;19,45001433772;;;;;;;;;;;;
2016-09-14 02:00:00;434,389038085938;362,5;19,8314587823276;;;;;;;;;;;;
2016-09-14 03:00:00;421,005126953125;396,666666667;6,13574629061459;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3
2016-09-14 04:00:00;418,118196964264;407,833333333;2,52183006896747;;;;;;;;;;;;
2016-09-14 05:00:00;341,614189147949;330,833333333;3,25869697177635;;;;;;;;;;;;
2016-09-14 06:00:00;349,962432861328;317,166666667;10,3402310649376;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6
2016-09-14 07:00:00;409,803447723389;384,833333333;6,48855289486626;;;;;;;;;;;;
2016-09-14 08:00:00;495,878677368164;458,833333333;8,07381272107323;;;;;;;;;;;;
2016-09-14 09:00:00;561,065124511719;478,333333333;17,2958448457372;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9
2016-09-14 10:00:00;560,324121832848;504;11,1754209985809;;;;;;;;;;;;
2016-09-14 11:00:00;599,992195129395;492,333333333;21,8670673926474;;;;;;;;;;;;
2016-09-14 12:00:00;603,31787109375;519,5;16,1343351479788;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12
2016-09-14 13:00:00;558,083129882812;543,333333333;2,71468648156224;;;;;;;;;;;;
2016-09-14 14:00:00;551,481914520264;573;3,7553377800587;;;;;;;;;;;;
2016-09-14 15:00:00;582,466613769531;539;8,06430682180543;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15
2016-09-14 16:00:00;538,764049530029;438,833333333;22,7719064634497;;;;;;;;;;;;
2016-09-14 17:00:00;510,391647338867;380,5;34,1370952270347;;;;;;;;;;;;
2016-09-14 18:00:00;493,168212890625;426;15,7671861245599;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18
2016-09-14 19:00:00;528,047698974609;480,5;9,89546284591246;;;;;;;;;;;;
2016-09-14 20:00:00;527,096691131592;471,833333333;11,7124742773502;;;;;;;;;;;;
2016-09-14 21:00:00;471,046264648438;477,166666667;1,2826549811858;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;21
2016-09-14 22:00:00;632,743240356445;607,166666667;4,21244694308504;;;;;;;;;;;;
2016-09-14 23:00:00;608,120407104492;539,833333333;12,6496586177587;;;;;;;;;;;;
2016-09-15 00:00:00;539,103210449219;445,333333333;21,0561101309032;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0
2016-09-15 01:00:00;475,43872833252;393,166666667;20,9254925812929;;;;;;;;;;;;
2016-09-15 02:00:00;390,600402832031;358,5;8,95408726137552;;;;;;;;;;;;
2016-09-15 03:00:00;402,537872314453;383,833333333;4,87308874897162;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;3
2016-09-15 04:00:00;379,55908203125;396,833333333;4,3530242675593;;;;;;;;;;;;
2016-09-15 05:00:00;312,017501831055;316;1,2602842306789;;;;;;;;;;;;
2016-09-15 06:00:00;353,220031738281;294;20,1428679381909;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;6
2016-09-15 07:00:00;416,172164916992;357,5;16,4117943823754;;;;;;;;;;;;
2016-09-15 08:00:00;500,77262878418;459,166666667;9,06118957179299;;;;;;;;;;;;
2016-09-15 09:00:00;563,986572265625;503;12,1245670508201;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;9
2016-09-15 10:00:00;588,241186141968;525,5;11,9393313305362;;;;;;;;;;;;
2016-09-15 11:00:00;607,348110198975;593,666666667;2,30456656911291;;;;;;;;;;;;
2016-09-15 12:00:00;570,545043945312;615,5;7,30381089434403;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;12
2016-09-15 13:00:00;576,372964859009;625,333333333;7,82948323145267;;;;;;;;;;;;
2016-09-15 14:00:00;537,751010894775;658;18,2749223564171;;;;;;;;;;;;
2016-09-15 15:00:00;512,667785644531;613;16,3674085408595;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;15
2016-09-15 16:00:00;444,238243103027;522;14,8968882944392;;;;;;;;;;;;
2016-09-15 17:00:00;428,858497619629;437;1,86304402296821;;;;;;;;;;;;
2016-09-15 18:00:00;498,963836669922;485,5;2,77318983932479;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;18
2016-09-15 19:00:00;528,009433746338;557;5,20476952489445;;;;;;;;;;;;
2016-09-15 20:00:00;564,964057922363;533,166666667;5,96387457118039;;;;;;;;;;;;
2016-09-15 21:00:00;508,961151123047;497,666666667;2,26948783443522;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;21
2016-09-15 22:00:00;647,372634887695;616,5;5,00772666467077;;;;;;;;;;;;
2016-09-15 23:00:00;613,122589111328;541,833333333;13,1570450529139;;;;;;;;;;;;
2016-09-16 00:00:00;509,060211181641;442,5;15,0418556342691;"September";"Friday";15,9;1014,7;95;15,1;16;18;28,8;310;0;0
2016-09-16 01:00:00;438,029838562012;412,5;6,1890517726089;;;;;;;;;;;;
2016-09-16 02:00:00;403,981582641602;371,166666667;8,84101912202211;;;;;;;;;;;;
2016-09-16 03:00:00;395,778503417969;412;3,93725645194933;"September";"Friday";15,2;1015,4;92;13,9;40;21,6;32,4;320;0;3
2016-09-16 04:00:00;382,543232917786;407,166666667;6,04750726545908;;;;;;;;;;;;
2016-09-16 05:00:00;357,230220794678;341,833333333;4,50420891127043;;;;;;;;;;;;
2016-09-16 06:00:00;322,532867431641;328;1,66680870986566;"September";"Friday";15,1;1016,8;92;13,8;15;18;36;320;;6
2016-09-16 07:00:00;389,213165283203;425,666666667;8,5638609358892;;;;;;;;;;;;
2016-09-16 08:00:00;454,205718994141;461,833333333;1,65159458798951;;;;;;;;;;;;
2016-09-16 09:00:00;544,431579589844;499,166666667;9,06809607802608;"September";"Friday";16,4;1019;76;12,2;13;28,8;39,6;350;;9
2016-09-16 10:00:00;560,982452392578;506;10,8660973107862;;;;;;;;;;;;
2016-09-16 11:00:00;581,253463745117;536,666666667;8,30809883442662;;;;;;;;;;;;
2016-09-16 12:00:00;554,671447753906;524,833333333;5,68525520881394;"September";"Friday";16,6;1020,4;68;10,7;16;25,2;46,8;340;0;12
2016-09-16 13:00:00;500,159519195557;564,5;11,3977822505657;;;;;;;;;;;;
2016-09-16 14:00:00;469,744316101074;572,666666667;17,9724709952036;;;;;;;;;;;;
2016-09-16 15:00:00;470,238372802734;520,833333333;9,71423242181722;"September";"Friday";16,7;1021,1;70;11,2;19;28,8;50,4;330;0;15
2016-09-16 16:00:00;448,525899887085;442,166666667;1,4381982405006;;;;;;;;;;;;
2016-09-16 17:00:00;411,243434906006;386,666666667;6,35606075146155;;;;;;;;;;;;
2016-09-16 18:00:00;466,720733642578;447,833333333;4,21750658197072;"September";"Friday";14,5;1022,6;80;11,1;55;18;39,6;330;0;18
2016-09-16 19:00:00;513,174407958984;488,166666667;5,1227875640766;;;;;;;;;;;;
2016-09-16 20:00:00;513,196807861328;493,5;3,99124779358219;;;;;;;;;;;;
2016-09-16 21:00:00;525,314697265625;511,333333333;2,73429542359207;"September";"Friday";13,3;1024,3;87;11,2;45;14,4;21,6;330;0;21
2016-09-16 22:00:00;651,390060424805;616,5;5,65937719785964;;;;;;;;;;;;
2016-09-16 23:00:00;628,13419342041;560,5;12,0667606459251;;;;;;;;;;;;
2016-09-17 00:00:00;538,2314453125;461,333333333;16,6686658915222;"September";"Saturday";12,2;1024,3;94;11,3;19;7,2;14,4;320;;0
2016-09-17 01:00:00;447,76708984375;397,666666667;12,5985976135896;;;;;;;;;;;;
2016-09-17 02:00:00;376,599349975586;363,333333333;3,65119724108205;;;;;;;;;;;;
2016-09-17 03:00:00;403,193634033203;398,666666667;1,1355269313209;"September";"Saturday";12,6;1024,5;95;11,8;19;10,8;18;310;0;3
2016-09-17 04:00:00;382,424001693726;398,666666667;4,07424706687145;;;;;;;;;;;;
2016-09-17 05:00:00;330,384765625;332,166666667;0,536447880180098;;;;;;;;;;;;
2016-09-17 06:00:00;329,658782958984;316;4,32239967056468;"September";"Saturday";12,3;1024,7;96;11,7;18;3,6;18;350;0;6
2016-09-17 07:00:00;374,968002319336;369,166666667;1,57146789679386;;;;;;;;;;;;
2016-09-17 08:00:00;455,148109436035;452,166666667;0,659368102255719;;;;;;;;;;;;
2016-09-17 09:00:00;529,197326660156;515,166666667;2,72351860106384;"September";"Saturday";15,9;1025,3;79;12,3;35;18;28,8;340;0;9
2016-09-17 10:00:00;552,837354660034;510,833333333;8,22264691557487;;;;;;;;;;;;
2016-09-17 11:00:00;594,127777099609;534,833333333;11,0865273480797;;;;;;;;;;;;
2016-09-17 12:00:00;548,905029296875;524,5;4,65300844554337;"September";"Saturday";17,3;1025;67;11,1;25;18;28,8;340;0;12
2016-09-17 13:00:00;512,268394470215;567,333333333;9,70592341882801;;;;;;;;;;;;
2016-09-17 14:00:00;462,683784484863;606,166666667;23,6705332167266;;;;;;;;;;;;
2016-09-17 15:00:00;473,525970458984;556,666666667;14,9354544086166;"September";"Saturday";16,2;1024,1;71;10,9;40;18;32,4;330;0;15
2016-09-17 16:00:00;442,558750152588;449;1,43457680343254;;;;;;;;;;;;
2016-09-17 17:00:00;467,918320655823;401,666666667;16,4941877150459;;;;;;;;;;;;
2016-09-17 18:00:00;483,853790283203;454;6,57572473198307;"September";"Saturday";14,5;1024,2;82;11,5;55;7,2;21,6;340;0;18
2016-09-17 19:00:00;512,594690322876;489,666666667;4,68237378948816;;;;;;;;;;;;
2016-09-17 20:00:00;512,900287628174;499,833333333;2,61426227979644;;;;;;;;;;;;
2016-09-17 21:00:00;622,613037109375;517,666666667;20,2729627383723;"September";"Saturday";12;1024,4;94;11,1;17;7,2;10,8;310;0;21
2016-09-17 22:00:00;776,351577758789;628,666666667;23,4917674058925;;;;;;;;;;;;
