"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;493,688873291016;435;13,4916950094289;"September";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;438,458637237549;422,333333333;3,81814614946209;;;;;;;;;;;
2016-09-13 02:00:00;401,792785644531;376,166666667;6,8124374774059;;;;;;;;;;;
2016-09-13 03:00:00;399,624114990234;407,833333333;2,01288557648688;"September";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;396,984147548676;399,5;0,629750300707;;;;;;;;;;;
2016-09-13 05:00:00;305,039947509766;346,333333333;11,9230180432938;;;;;;;;;;;
2016-09-13 06:00:00;353,079742431641;313,833333333;12,5054941365955;"September";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;407,041610717773;362,833333333;12,1841830183227;;;;;;;;;;;
2016-09-13 08:00:00;474,973106384277;445,666666667;6,5758653067888;;;;;;;;;;;
2016-09-13 09:00:00;515,264953613281;503,833333333;2,26892893422868;"September";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;519,634556293488;513,833333333;1,12900868514264;;;;;;;;;;;
2016-09-13 11:00:00;578,751831054688;545,5;6,09566105493813;;;;;;;;;;;
2016-09-13 12:00:00;573,624816894531;555,666666667;3,23182067681833;"September";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;551,974588394165;576,5;4,2541910851405;;;;;;;;;;;
2016-09-13 14:00:00;569,783541440964;588,5;3,18036678998067;;;;;;;;;;;
2016-09-13 15:00:00;515,596374511719;563;8,41982690733237;"September";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;448,782073974609;496,5;9,61086123371412;;;;;;;;;;;
2016-09-13 17:00:00;446,676727294922;449,333333333;0,591232797792303;;;;;;;;;;;
2016-09-13 18:00:00;534,801147460938;505,833333333;5,72675073369818;"September";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;581,215705871582;561,166666667;3,57274235899676;;;;;;;;;;;
2016-09-13 20:00:00;580,470390319824;542,333333333;7,03203263432962;;;;;;;;;;;
2016-09-13 21:00:00;521,123168945312;512,833333333;1,61647753246367;"September";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;644,780448913574;624,333333333;3,27503186021117;;;;;;;;;;;
2016-09-13 23:00:00;562,995021820068;550,666666667;2,23880541520477;;;;;;;;;;;
2016-09-14 00:00:00;588,832397460938;467,166666667;26,0433244653266;"September";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;533,678913116455;405,833333333;31,5019909117602;;;;;;;;;;;
2016-09-14 02:00:00;481,011695861816;362,5;32,6928816170528;;;;;;;;;;;
2016-09-14 03:00:00;431,769409179688;396,666666667;8,84943088554403;"September";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3
2016-09-14 04:00:00;433,683144211769;407,833333333;6,33832714641363;;;;;;;;;;;
2016-09-14 05:00:00;350,151313781738;330,833333333;5,83918804496456;;;;;;;;;;;
2016-09-14 06:00:00;385,169097900391;317,166666667;21,4405983920081;"September";15,5;1004,6;94;14,5;45;18;36;100;0;6
2016-09-14 07:00:00;433,966915130615;384,833333333;12,7674963527911;;;;;;;;;;;
2016-09-14 08:00:00;525,463317871094;458,833333333;14,5216094162315;;;;;;;;;;;
2016-09-14 09:00:00;589,754089355469;478,333333333;23,2935378444348;"September";18;1005,9;82;14,9;29;28,8;46,8;130;0;9
2016-09-14 10:00:00;598,400866508484;504;18,7303306564452;;;;;;;;;;;
2016-09-14 11:00:00;636,439628601074;492,333333333;29,2700667437045;;;;;;;;;;;
2016-09-14 12:00:00;616,890747070312;519,5;18,7470157979427;"September";20,2;1007,2;65;13,4;7;32,4;54;140;0;12
2016-09-14 13:00:00;566,008575439453;543,333333333;4,17335744290804;;;;;;;;;;;
2016-09-14 14:00:00;565,912166595459;573;1,23696918054817;;;;;;;;;;;
2016-09-14 15:00:00;570,011535644531;539;5,75353165946776;"September";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15
2016-09-14 16:00:00;548,137720108032;438,833333333;24,9079498917847;;;;;;;;;;;
2016-09-14 17:00:00;494,361358642578;380,5;29,9241415617814;;;;;;;;;;;
