"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;494,919342041016;435;13,7745613887392;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;438,801582336426;422,333333333;3,89934861959877;;;;;;;;;;;;;
2016-09-13 02:00:00;396,406951904297;376,166666667;5,38066953582958;;;;;;;;;;;;;
2016-09-13 03:00:00;383,073150634766;407,833333333;6,07115227582867;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;379,480922222137;399,5;5,01103323601065;;;;;;;;;;;;;
2016-09-13 05:00:00;292,180824279785;346,333333333;15,6359506409818;;;;;;;;;;;;;
2016-09-13 06:00:00;323,216369628906;313,833333333;2,98981507039285;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;384,156593322754;362,833333333;5,87687459525223;;;;;;;;;;;;;
2016-09-13 08:00:00;458,293746948242;445,666666667;2,83330148419582;;;;;;;;;;;;;
2016-09-13 09:00:00;476,973480224609;503,833333333;5,33109886372644;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;493,245937347412;513,833333333;4,00662912467103;;;;;;;;;;;;;
2016-09-13 11:00:00;523,92760848999;545,5;3,95460889276073;;;;;;;;;;;;;
2016-09-13 12:00:00;538,215515136719;555,666666667;3,14057915961681;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;527,38053894043;576,5;8,52028812828626;;;;;;;;;;;;;
2016-09-13 14:00:00;530,578305244446;588,5;9,84225909185288;;;;;;;;;;;;;
2016-09-13 15:00:00;470,519226074219;563;16,4264252088421;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;400,836769104004;496,5;19,2675188108753;;;;;;;;;;;;;
2016-09-13 17:00:00;409,668975830078;449,333333333;8,82737926623545;;;;;;;;;;;;;
2016-09-13 18:00:00;488,913787841797;505,833333333;3,34488543483643;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0
2016-09-13 19:00:00;533,389743804932;561,166666667;4,94985260387024;;;;;;;;;;;;;
2016-09-13 20:00:00;543,375156402588;542,333333333;0,192100135756943;;;;;;;;;;;;;
2016-09-13 21:00:00;502,105804443359;512,833333333;2,09181583808534;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0
2016-09-13 22:00:00;628,877891540527;624,333333333;0,72790574600049;;;;;;;;;;;;;
2016-09-13 23:00:00;550,591960906982;550,666666667;0,0135664213106825;;;;;;;;;;;;;
2016-09-14 00:00:00;541,193237304688;467,166666667;15,8458588592868;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0
2016-09-14 01:00:00;474,261199951172;405,833333333;16,8610759634238;;;;;;;;;;;;;
2016-09-14 02:00:00;427,632965087891;362,5;17,9677145070043;;;;;;;;;;;;;
2016-09-14 03:00:00;412,100524902344;396,666666667;3,89088863075565;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0
2016-09-14 04:00:00;408,077200889587;407,833333333;0,059795886372117;;;;;;;;;;;;;
2016-09-14 05:00:00;329,901565551758;330,833333333;0,281642654280034;;;;;;;;;;;;;
2016-09-14 06:00:00;346,27392578125;317,166666667;9,17727560090995;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0
2016-09-14 07:00:00;402,190254211426;384,833333333;4,51024362367453;;;;;;;;;;;;;
2016-09-14 08:00:00;488,966400146484;458,833333333;6,56732295245324;;;;;;;;;;;;;
2016-09-14 09:00:00;599,924682617188;478,333333333;25,4197942754576;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0
2016-09-14 10:00:00;598,894402861595;504;18,8282545360308;;;;;;;;;;;;;
2016-09-14 11:00:00;630,414379119873;492,333333333;28,0462516832024;;;;;;;;;;;;;
2016-09-14 12:00:00;600,251403808594;519,5;15,5440623308169;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0
2016-09-14 13:00:00;555,317115783691;543,333333333;2,20560413203044;;;;;;;;;;;;;
2016-09-14 14:00:00;549,349262237549;573;4,12752840531434;;;;;;;;;;;;;
2016-09-14 15:00:00;561,484191894531;539;4,17146417338242;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15;0
2016-09-14 16:00:00;516,880916595459;438,833333333;17,7852449515803;;;;;;;;;;;;;
2016-09-14 17:00:00;491,276481628418;380,5;29,1133985882833;;;;;;;;;;;;;
2016-09-14 18:00:00;481,384368896484;426;13,001025562555;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18;0
