"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;487,141387939453;435;11,9865259630927;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0;0
2016-09-13 01:00:00;431,028190612793;422,333333333;2,05876652244669;;;;;;;;;;;;;;
2016-09-13 02:00:00;388,58031463623;376,166666667;3,30003933607961;;;;;;;;;;;;;;
2016-09-13 03:00:00;383,663604736328;407,833333333;5,92637399183284;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0;0
2016-09-13 04:00:00;380,045073270798;399,5;4,86981895599556;;;;;;;;;;;;;;
2016-09-13 05:00:00;292,970596313477;346,333333333;15,4079125176828;;;;;;;;;;;;;;
2016-09-13 06:00:00;315,048797607422;313,833333333;0,387296104436489;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0;0
2016-09-13 07:00:00;376,024356842041;362,833333333;3,63555999330817;;;;;;;;;;;;;;
2016-09-13 08:00:00;449,983825683594;445,666666667;0,96869686236137;;;;;;;;;;;;;;
2016-09-13 09:00:00;494,506561279297;503,833333333;1,85116216745801;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0;0
2016-09-13 10:00:00;510,801200866699;513,833333333;0,590100382673264;;;;;;;;;;;;;;
2016-09-13 11:00:00;541,379695892334;545,5;0,755326142560223;;;;;;;;;;;;;;
2016-09-13 12:00:00;566,73486328125;555,666666667;1,99187701516078;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0;0
2016-09-13 13:00:00;555,915420532227;576,5;3,57061222337787;;;;;;;;;;;;;;
2016-09-13 14:00:00;558,606686592102;588,5;5,07957746948138;;;;;;;;;;;;;;
2016-09-13 15:00:00;504,150360107422;563;10,4528667659997;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0;0
2016-09-13 16:00:00;434,456489562988;496,5;12,4961753146046;;;;;;;;;;;;;;
2016-09-13 17:00:00;441,241390228271;449,333333333;1,80087754556406;;;;;;;;;;;;;;
2016-09-13 18:00:00;510,136169433594;505,833333333;0,850643051188784;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0;1
2016-09-13 19:00:00;554,667644500732;561,166666667;1,1581269081551;;;;;;;;;;;;;;
2016-09-13 20:00:00;560,937129974365;542,333333333;3,43032513362814;;;;;;;;;;;;;;
2016-09-13 21:00:00;505,182922363281;512,833333333;1,49179284427503;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0;1
2016-09-13 22:00:00;632,036666870117;624,333333333;1,23384947204291;;;;;;;;;;;;;;
2016-09-13 23:00:00;550,741527557373;550,666666667;0,013594592682756;;;;;;;;;;;;;;
2016-09-14 00:00:00;543,029907226562;467,166666667;16,2390097523029;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0;0
2016-09-14 01:00:00;476,100471496582;405,833333333;17,3142845577757;;;;;;;;;;;;;;
2016-09-14 02:00:00;429,37410736084;362,5;18,4480296167834;;;;;;;;;;;;;;
2016-09-14 03:00:00;404,186553955078;396,666666667;1,89576990455591;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0;0
2016-09-14 04:00:00;400,237062692642;407,833333333;1,86259190200997;;;;;;;;;;;;;;
2016-09-14 05:00:00;322,036819458008;330,833333333;2,6588958816124;;;;;;;;;;;;;;
2016-09-14 06:00:00;349,011535644531;317,166666667;10,0404211174454;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0;0
2016-09-14 07:00:00;404,909797668457;384,833333333;5,21692447002367;;;;;;;;;;;;;;
2016-09-14 08:00:00;491,667236328125;458,833333333;7,15595415804189;;;;;;;;;;;;;;
2016-09-14 09:00:00;563,827331542969;478,333333333;17,8733097303195;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0;0
2016-09-14 10:00:00;562,851918697357;504;11,6769679955074;;;;;;;;;;;;;;
2016-09-14 11:00:00;594,454351425171;492,333333333;20,7422514743886;;;;;;;;;;;;;;
2016-09-14 12:00:00;589,580932617188;519,5;13,4900736510467;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0;0
2016-09-14 13:00:00;544,628261566162;543,333333333;0,238330349661876;;;;;;;;;;;;;;
2016-09-14 14:00:00;538,344646453857;573;6,04805472009469;;;;;;;;;;;;;;
2016-09-14 15:00:00;528,498840332031;539;1,94826709980867;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15;0;0
2016-09-14 16:00:00;483,919429779053;438,833333333;10,2740819854357;;;;;;;;;;;;;;
2016-09-14 17:00:00;458,399429321289;380,5;20,4729117795766;;;;;;;;;;;;;;
2016-09-14 18:00:00;508,452087402344;426;19,3549500944469;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18;0;1
2016-09-14 19:00:00;541,900047302246;480,5;12,7783657236724;;;;;;;;;;;;;;
2016-09-14 20:00:00;549,491069793701;471,833333333;16,4587219627176;;;;;;;;;;;;;;
2016-09-14 21:00:00;495,671478271484;477,166666667;3,87806041309216;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;21;0;1
2016-09-14 22:00:00;651,64599609375;607,166666667;7,325719916562;;;;;;;;;;;;;;
2016-09-14 23:00:00;635,89289855957;539,833333333;17,7943004433398;;;;;;;;;;;;;;
2016-09-15 00:00:00;538,212097167969;445,333333333;20,8560098431972;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0;0;0
2016-09-15 01:00:00;463,523391723633;393,166666667;17,8948855591114;;;;;;;;;;;;;;
2016-09-15 02:00:00;384,462127685547;358,5;7,24187662079411;;;;;;;;;;;;;;
2016-09-15 03:00:00;402,565704345703;383,833333333;4,88033982094296;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;3;0;0
2016-09-15 04:00:00;376,849008560181;396,833333333;5,03594912377222;;;;;;;;;;;;;;
2016-09-15 05:00:00;312,836059570312;316;1,00124697142009;;;;;;;;;;;;;;
2016-09-15 06:00:00;347,284729003906;294;18,1240574843219;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;6;0;0
2016-09-15 07:00:00;414,417442321777;357,5;15,9209628872104;;;;;;;;;;;;;;
2016-09-15 08:00:00;493,828887939453;459,166666667;7,54894111196253;;;;;;;;;;;;;;
2016-09-15 09:00:00;551,539855957031;503;9,65007076680542;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;9;0;0
2016-09-15 10:00:00;581,970336914062;525,5;10,7460203452069;;;;;;;;;;;;;;
2016-09-15 11:00:00;601,845306396484;593,666666667;1,37764846650418;;;;;;;;;;;;;;
2016-09-15 12:00:00;591,164489746094;615,5;3,95377908268176;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;12;0;0
2016-09-15 13:00:00;596,726345062256;625,333333333;4,57467829489756;;;;;;;;;;;;;;
2016-09-15 14:00:00;559,075485229492;658;15,0341207857915;;;;;;;;;;;;;;
2016-09-15 15:00:00;532,346069335938;613;13,1572480691782;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;15;0;0
2016-09-15 16:00:00;463,245964050293;522;11,2555624424726;;;;;;;;;;;;;;
2016-09-15 17:00:00;456,928077697754;437;4,56020084616794;;;;;;;;;;;;;;
2016-09-15 18:00:00;507,298217773438;485,5;4,4898491809346;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;18;0;1
2016-09-15 19:00:00;543,083709716797;557;2,49843631655352;;;;;;;;;;;;;;
2016-09-15 20:00:00;575,652122497559;533,166666667;7,96851312857745;;;;;;;;;;;;;;
2016-09-15 21:00:00;531,659729003906;497,666666667;6,83048807840927;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;21;0;1
2016-09-15 22:00:00;664,749618530273;616,5;7,82637770158531;;;;;;;;;;;;;;
2016-09-15 23:00:00;630,758636474609;541,833333333;16,4119292171635;;;;;;;;;;;;;;
