"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;490,127777099609;435;12,6730522068068;"September";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;434,275234222412;422,333333333;2,82760084200984;;;;;;;;;;;;
2016-09-13 02:00:00;399,572372436523;376,166666667;6,22216369592451;;;;;;;;;;;;
2016-09-13 03:00:00;425,017211914062;407,833333333;4,21345612940169;"September";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;421,808314323425;399,5;5,58405865417404;;;;;;;;;;;;
2016-09-13 05:00:00;330,905303955078;346,333333333;4,45467643251301;;;;;;;;;;;;
2016-09-13 06:00:00;373,165405273438;313,833333333;18,9055991313332;"September";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;425,970561981201;362,833333333;17,4011654519777;;;;;;;;;;;;
2016-09-13 08:00:00;494,57576751709;445,666666667;10,9743681787704;;;;;;;;;;;;
2016-09-13 09:00:00;569,068481445312;503,833333333;12,9477634361275;"September";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;579,684763908386;513,833333333;12,815717919318;;;;;;;;;;;;
2016-09-13 11:00:00;629,207988739014;545,5;15,3451858366661;;;;;;;;;;;;
2016-09-13 12:00:00;607,962951660156;555,666666667;9,41144900896069;"September";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;582,904647827148;576,5;1,1109536560535;;;;;;;;;;;;
2016-09-13 14:00:00;604,707651615143;588,5;2,75406144692316;;;;;;;;;;;;
2016-09-13 15:00:00;462,576049804688;563;17,8372913313166;"September";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;390,864677429199;496,5;21,2759964895873;;;;;;;;;;;;
2016-09-13 17:00:00;394,702613830566;449,333333333;12,1581719960996;;;;;;;;;;;;
2016-09-13 18:00:00;499,042053222656;505,833333333;1,34259244356143;"September";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0
2016-09-13 19:00:00;540,838222503662;561,166666667;3,62253237243703;;;;;;;;;;;;
2016-09-13 20:00:00;554,860794067383;542,333333333;2,30991900449732;;;;;;;;;;;;
2016-09-13 21:00:00;538,92041015625;512,833333333;5,08685280921682;"September";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0
2016-09-13 22:00:00;663,202713012695;624,333333333;6,22574153973028;;;;;;;;;;;;
2016-09-13 23:00:00;578,550113677979;550,666666667;5,06357996567101;;;;;;;;;;;;
2016-09-14 00:00:00;578,260375976562;467,166666667;23,7803159420942;"September";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0
2016-09-14 01:00:00;526,08617401123;405,833333333;29,6310901055431;;;;;;;;;;;;
2016-09-14 02:00:00;478,499176025391;362,5;31,9997726966595;;;;;;;;;;;;
2016-09-14 03:00:00;417,263092041016;396,666666667;5,19237614470545;"September";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0
2016-09-14 04:00:00;412,733913421631;407,833333333;1,20161342590148;;;;;;;;;;;;
2016-09-14 05:00:00;331,002853393555;330,833333333;0,0512403205707427;;;;;;;;;;;;
2016-09-14 06:00:00;384,728118896484;317,166666667;21,301561396557;"September";15,5;1004,6;94;14,5;45;18;36;100;0;6;0
2016-09-14 07:00:00;434,722557067871;384,833333333;12,9638519882844;;;;;;;;;;;;
2016-09-14 08:00:00;521,651626586914;458,833333333;13,6908739383857;;;;;;;;;;;;
2016-09-14 09:00:00;626,503845214844;478,333333333;30,9764136338565;"September";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0
2016-09-14 10:00:00;634,393765449524;504;25,8717788590325;;;;;;;;;;;;
2016-09-14 11:00:00;659,177612304688;492,333333333;33,8884791411917;;;;;;;;;;;;
2016-09-14 12:00:00;599,543701171875;519,5;15,4078346817854;"September";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0
2016-09-14 13:00:00;550,838447570801;543,333333333;1,38130936892123;;;;;;;;;;;;
2016-09-14 14:00:00;540,09769821167;573;5,74211200494417;;;;;;;;;;;;
2016-09-14 15:00:00;564,628051757812;539;4,75474058586503;"September";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15;0
2016-09-14 16:00:00;542,658214569092;438,833333333;23,6592969015201;;;;;;;;;;;;
2016-09-14 17:00:00;490,929161071777;380,5;29,0221185471163;;;;;;;;;;;;
2016-09-14 18:00:00;486,235504150391;426;14,1397897066645;"September";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18;0
2016-09-14 19:00:00;519,456226348877;480,5;8,10743524430321;;;;;;;;;;;;
2016-09-14 20:00:00;527,001247406006;471,833333333;11,692246006297;;;;;;;;;;;;
2016-09-14 21:00:00;497,549072265625;477,166666667;4,27154850128063;"September";13,8;1010,5;89;12;60;3,6;10,8;50;0;21;0
2016-09-14 22:00:00;651,34423828125;607,166666667;7,27602057879096;;;;;;;;;;;;
2016-09-14 23:00:00;646,979263305664;539,833333333;19,8479647989003;;;;;;;;;;;;
2016-09-15 00:00:00;515,071411132812;445,333333333;15,6597480089517;"September";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0;0
2016-09-15 01:00:00;430,59741973877;393,166666667;9,52032719077688;;;;;;;;;;;;
