"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"vt_north";"vt_east";"vt_south";"vt_west"
2016-09-13 00:00:00;500,14892578125;435;14,9767645474138;"September";"Tuesday";18,3;1009;97;9;17,8;12,964;20,372;0;0;0;0;0;0
2016-09-13 01:00:00;453,583271026611;422,333333333;7,39935383432581;;;;;;;;;;;;;;;
2016-09-13 02:00:00;410,937072753906;376,166666667;9,24335119721987;;;;;;;;;;;;;;;
2016-09-13 03:00:00;415,868621826172;407,833333333;1,97023829011323;"September";"Tuesday";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3;0;0;0;0
2016-09-13 04:00:00;416,306454360485;399,5;4,2068721803467;;;;;;;;;;;;;;;
2016-09-13 05:00:00;319,18180847168;346,333333333;7,83970881463323;;;;;;;;;;;;;;;
2016-09-13 06:00:00;357,960571289062;313,833333333;14,0607237247295;"September";"Tuesday";17,6;1008,1;99;5;17,4;5,556;14,816;0;6;0;0;0;0
2016-09-13 07:00:00;415,923049926758;362,833333333;14,6319843620964;;;;;;;;;;;;;;;
2016-09-13 08:00:00;488,068572998047;445,666666667;9,51426469656286;;;;;;;;;;;;;;;
2016-09-13 09:00:00;529,808044433594;503,833333333;5,15541735374349;"September";"Tuesday";20,1;1007,2;87;45;17,9;11,112;18,52;0;9;0;0;0;0
2016-09-13 10:00:00;557,666097640991;513,833333333;8,53054122115205;;;;;;;;;;;;;;;
2016-09-13 11:00:00;593,352531433105;545,5;8,77223307664628;;;;;;;;;;;;;;;
2016-09-13 12:00:00;582,341918945312;555,666666667;4,80058529303477;"September";"Tuesday";23,3;1005,8;76;40;18,8;14,816;25,928;0;12;0;0;0;0
2016-09-13 13:00:00;559,475650787354;576,5;2,95305276888924;;;;;;;;;;;;;;;
2016-09-13 14:00:00;601,41986656189;588,5;2,19538939029561;;;;;;;;;;;;;;;
2016-09-13 15:00:00;528,946105957031;563;6,04864903072269;"September";"Tuesday";18,8;1005,1;93;5;17,6;14,816;29,632;0;15;0;0;0;0
2016-09-13 16:00:00;458,491928100586;496,5;7,65520078538048;;;;;;;;;;;;;;;
2016-09-13 17:00:00;450,074890136719;449,333333333;0,165034896970174;;;;;;;;;;;;;;;
2016-09-13 18:00:00;536,003173828125;505,833333333;5,96438362342238;"September";"Tuesday";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18;0;0;0;0
2016-09-13 19:00:00;588,281959533691;561,166666667;4,83195002079157;;;;;;;;;;;;;;;
2016-09-13 20:00:00;595,97953414917;542,333333333;9,89173954816279;;;;;;;;;;;;;;;
2016-09-13 21:00:00;525,157531738281;512,833333333;2,40315861006615;"September";"Tuesday";17,2;1005,1;98;3;16,9;12,964;25,928;0;21;0;0;0;0
2016-09-13 22:00:00;644,423942565918;624,333333333;3,21792993586684;;;;;;;;;;;;;;;
2016-09-13 23:00:00;583,312198638916;550,666666667;5,92836537019909;;;;;;;;;;;;;;;
2016-09-14 00:00:00;570,849548339844;467,166666667;22,1939810929939;"September";"Wednesday";17,5;1005,5;97;9;17;12,964;24,076;3;0;0;0;0;0
2016-09-14 01:00:00;513,581283569336;405,833333333;26,5498029329999;;;;;;;;;;;;;;;
2016-09-14 02:00:00;457,653869628906;362,5;26,2493433459052;;;;;;;;;;;;;;;
2016-09-14 03:00:00;404,423645019531;396,666666667;1,95554076114068;"September";"Wednesday";16,2;1004;97;2,9;15,7;7,408;12,964;0;3;0;0;0;0
2016-09-14 04:00:00;400,559468507767;407,833333333;1,78353857586576;;;;;;;;;;;;;;;
2016-09-14 05:00:00;323,985832214355;330,833333333;2,06977363787952;;;;;;;;;;;;;;;
2016-09-14 06:00:00;353,168518066406;317,166666667;11,3510829425229;"September";"Wednesday";15,5;1004,6;94;45;14,5;18;36;0;6;0;0;0;0
2016-09-14 07:00:00;396,749389648438;384,833333333;3,09642000401416;;;;;;;;;;;;;;;
2016-09-14 08:00:00;497,574508666992;458,833333333;8,44340908115227;;;;;;;;;;;;;;;
2016-09-14 09:00:00;612,071655273438;478,333333333;27,9592310677068;"September";"Wednesday";18;1005,9;82;29;14,9;28,8;46,8;0;9;0;0;0;0
2016-09-14 10:00:00;645,291877746582;504;28,0341027274964;;;;;;;;;;;;;;;
2016-09-14 11:00:00;647,895309448242;492,333333333;31,5968807275587;;;;;;;;;;;;;;;
2016-09-14 12:00:00;611,322143554688;519,5;17,6750998180342;"September";"Wednesday";20,2;1007,2;65;7;13,4;32,4;54;0;12;0;0;0;0
2016-09-14 13:00:00;572,089374542236;543,333333333;5,29252292194858;;;;;;;;;;;;;;;
