"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"Hour"
2016-09-13 00:00:00;505,220428466797;435;16,1426272337464;"September";"Tuesday";"South";18,3;1009;97;17,8;9;20,372;0;0
2016-09-13 01:00:00;442,370880126953;422,333333333;4,74448621798791;;;;;;;;;;;
2016-09-13 02:00:00;420,911592483521;376,166666667;11,8949736330919;;;;;;;;;;;
2016-09-13 03:00:00;413,825836181641;407,833333333;1,46935092324778;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;11,112;0;3
2016-09-13 04:00:00;412,862362682819;399,5;3,3447716352489;;;;;;;;;;;
2016-09-13 05:00:00;338,950589001179;346,333333333;2,13168748753465;;;;;;;;;;;
2016-09-13 06:00:00;346,111968994141;313,833333333;10,2852795521535;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;14,816;0;6
2016-09-13 07:00:00;407,619983673096;362,833333333;12,3435875994865;;;;;;;;;;;
2016-09-13 08:00:00;494,568843841553;445,666666667;10,97281462405;;;;;;;;;;;
2016-09-13 09:00:00;530,830810546875;503,833333333;5,35841426673362;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;18,52;0;9
2016-09-13 10:00:00;550,709768295288;513,833333333;7,17673077437145;;;;;;;;;;;
2016-09-13 11:00:00;572,91766166687;545,5;5,02615245955456;;;;;;;;;;;
2016-09-13 12:00:00;596,725524902344;555,666666667;7,38911665902565;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;25,928;0;12
2016-09-13 13:00:00;600,201481580734;576,5;4,11127173993656;;;;;;;;;;;
2016-09-13 14:00:00;617,363430738449;588,5;4,90457616626153;;;;;;;;;;;
2016-09-13 15:00:00;576,493041992188;563;2,39663268067274;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;29,632;0;15
2016-09-13 16:00:00;492,648101806641;496,5;0,77581031084781;;;;;;;;;;;
2016-09-13 17:00:00;432,347248077393;449,333333333;3,78028603611721;;;;;;;;;;;
2016-09-13 18:00:00;530,942687988281;505,833333333;4,96395808671456;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;24,076;2;18
2016-09-13 19:00:00;585,439659118652;561,166666667;4,32545158033347;;;;;;;;;;;
2016-09-13 20:00:00;586,528546571732;542,333333333;8,14908664513067;;;;;;;;;;;
2016-09-13 21:00:00;543,989074707031;512,833333333;6,07521768749785;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;25,928;0;21
2016-09-13 22:00:00;653,311630249023;624,333333333;4,64147841687755;;;;;;;;;;;
2016-09-13 23:00:00;575,033218383789;550,666666667;4,42491859263457;;;;;;;;;;;
2016-09-14 00:00:00;511,796081542969;467,166666667;9,55321046220554;"September";"Wednesday";"East";17,5;1005,5;97;17;9;24,076;3;0
2016-09-14 01:00:00;441,949058532715;405,833333333;8,89915199993705;;;;;;;;;;;
2016-09-14 02:00:00;392,77515411377;362,5;8,35176665207435;;;;;;;;;;;
2016-09-14 03:00:00;412,183166503906;396,666666667;3,91172264795627;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;12,964;0;3
2016-09-14 04:00:00;399,494088172913;407,833333333;2,04476791829036;;;;;;;;;;;
2016-09-14 05:00:00;327,974915504456;330,833333333;0,864005388981551;;;;;;;;;;;
2016-09-14 06:00:00;340,771209716797;317,166666667;7,44231520224027;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;36;0;6
2016-09-14 07:00:00;413,03736114502;384,833333333;7,32889419108982;;;;;;;;;;;
2016-09-14 08:00:00;504,300888061523;458,833333333;9,9093835223879;;;;;;;;;;;
2016-09-14 09:00:00;538,546936035156;478,333333333;12,5882096241529;"September";"Wednesday";"East";18;1005,9;82;14,9;29;46,8;0;9
2016-09-14 10:00:00;568,250261306763;504;12,7480677195958;;;;;;;;;;;
2016-09-14 11:00:00;567,893273532391;492,333333333;15,3473135137661;;;;;;;;;;;
2016-09-14 12:00:00;597,048645019531;519,5;14,9275543829704;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;54;0;12
2016-09-14 13:00:00;598,371871829033;543,333333333;10,1297923612393;;;;;;;;;;;
2016-09-14 14:00:00;605,3365701437;573;5,64338047883065;;;;;;;;;;;
2016-09-14 15:00:00;508,606262207031;539;5,63891239201647;"September";"Wednesday";"South";20,4;1007,9;62;12,9;28;46,8;0;15
2016-09-14 16:00:00;419,80793762207;438,833333333;4,33544907959228;;;;;;;;;;;
2016-09-14 17:00:00;366,678462982178;380,5;3,63246702176669;;;;;;;;;;;
2016-09-14 18:00:00;491,139678955078;426;15,2910044495489;"September";"Wednesday";"East";18,6;1009,3;63;11,4;45;43,2;0;18
2016-09-14 19:00:00;546,718982696533;480,5;13,7812659097884;;;;;;;;;;;
2016-09-14 20:00:00;555,135759353638;471,833333333;17,6550532011367;;;;;;;;;;;
2016-09-14 21:00:00;560,972595214844;477,166666667;17,5632403523126;"September";"Wednesday";"East";13,8;1010,5;89;12;60;10,8;0;21
2016-09-14 22:00:00;694,825988769531;607,166666667;14,4374398192396;;;;;;;;;;;
2016-09-14 23:00:00;705,567510604858;539,833333333;30,7009899237964;;;;;;;;;;;
2016-09-15 00:00:00;557,400268554688;445,333333333;25,1647309629726;"September";"Thursday";"North";13,4;1010,4;89;11,6;60;14,4;0;0
2016-09-15 01:00:00;495,1936378479;393,166666667;25,9500562562477;;;;;;;;;;;
2016-09-15 02:00:00;419,50297164917;358,5;17,0161706134365;;;;;;;;;;;
2016-09-15 03:00:00;392,977661132812;383,833333333;2,382369379024;"September";"Thursday";"East";12,7;1009,8;94;11,8;60;7,2;0;3
2016-09-15 04:00:00;372,522508621216;396,833333333;6,12620530326869;;;;;;;;;;;
2016-09-15 05:00:00;306,880205154419;316;2,88601102708261;;;;;;;;;;;
2016-09-15 06:00:00;336,769378662109;294;14,5474077082005;"September";"Thursday";"North";13,8;1010,1;92;12,5;4,6;18;;6
2016-09-15 07:00:00;399,260581970215;357,5;11,6812816699902;;;;;;;;;;;
2016-09-15 08:00:00;501,252494812012;459,166666667;9,16569759963292;;;;;;;;;;;
2016-09-15 09:00:00;590,191101074219;503;17,334214925292;"September";"Thursday";"West";14;1010,8;98;13,7;2,9;14,4;9;9
2016-09-15 10:00:00;598,306634902954;525,5;13,8547354715422;;;;;;;;;;;
2016-09-15 11:00:00;607,205054283142;593,666666667;2,28046955914675;;;;;;;;;;;
2016-09-15 12:00:00;611,039916992188;615,5;0,724627621090577;"September";"Thursday";"West";16,4;1011,4;95;15,6;2;14,4;0;12
2016-09-15 13:00:00;578,999103546143;625,333333333;7,40952501922423;;;;;;;;;;;
2016-09-15 14:00:00;581,442152500153;658;11,6349312309799;;;;;;;;;;;
2016-09-15 15:00:00;583,863525390625;613;4,75309536857667;"September";"Thursday";"North";16,3;1011,8;91;14,8;19;18;1;15
2016-09-15 16:00:00;526,464401245117;522;0,855249280673791;;;;;;;;;;;
2016-09-15 17:00:00;495,545919418335;437;13,3972355648364;;;;;;;;;;;
2016-09-15 18:00:00;556,691162109375;485,5;14,6634731430227;"September";"Thursday";"West";16,1;1012,8;94;15,1;18;10,8;;18
2016-09-15 19:00:00;591,267665863037;557;6,15218417648781;;;;;;;;;;;
2016-09-15 20:00:00;580,059994697571;533,166666667;8,79524752057672;;;;;;;;;;;
2016-09-15 21:00:00;540,260559082031;497,666666667;8,55871917247208;"September";"Thursday";"North";16,2;1014;96;15,6;10;25,2;0;21
2016-09-15 22:00:00;677,707702636719;616,5;9,92825671317417;;;;;;;;;;;
2016-09-15 23:00:00;594,984184265137;541,833333333;9,80944649624781;;;;;;;;;;;
2016-09-16 00:00:00;491,211730957031;442,5;11,00830078125;"September";"Friday";"West";15,9;1014,7;95;15,1;16;28,8;0;0
2016-09-16 01:00:00;420,221809387207;412,5;1,87195379083807;;;;;;;;;;;
2016-09-16 02:00:00;379,762790679932;371,166666667;2,31597413909041;;;;;;;;;;;
2016-09-16 03:00:00;402,295196533203;412;2,35553482203808;"September";"Friday";"North";15,2;1015,4;92;13,9;40;32,4;0;3
2016-09-16 04:00:00;384,360378265381;407,166666667;5,60121696314379;;;;;;;;;;;
2016-09-16 05:00:00;330,627784729004;341,833333333;3,27807370180605;;;;;;;;;;;
2016-09-16 06:00:00;329,64599609375;328;0,501828077362805;"September";"Friday";"North";15,1;1016,8;92;13,8;15;36;;6
2016-09-16 07:00:00;399,365928649902;425,666666667;6,178716840347;;;;;;;;;;;
2016-09-16 08:00:00;456,935974121094;461,833333333;1,06041700727025;;;;;;;;;;;
2016-09-16 09:00:00;532,419311523438;499,166666667;6,66163169076767;"September";"Friday";"North";16,4;1019;76;12,2;13;39,6;;9
2016-09-16 10:00:00;549,32813835144;506;8,56287319198427;;;;;;;;;;;
2016-09-16 11:00:00;559,068405151367;536,666666667;4,17423698466211;;;;;;;;;;;
2016-09-16 12:00:00;582,938171386719;524,833333333;11,0711028365365;"September";"Friday";"North";16,6;1020,4;68;10,7;16;46,8;0;12
