"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_evening"
2016-09-13 00:00:00;505,269897460938;435;16,1539994163075;"September";"Tuesday";"South";18,3;1009;97;17,8;9;12,964;20,372;0;0;0
2016-09-13 01:00:00;443,382457733154;422,333333333;4,98400735599943;;;;;;;;;;;;;
2016-09-13 02:00:00;421,157279968262;376,166666667;11,9602870982424;;;;;;;;;;;;;
2016-09-13 03:00:00;409,603302001953;407,833333333;0,433993135011341;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0
2016-09-13 04:00:00;408,921043276787;399,5;2,3582085799216;;;;;;;;;;;;;
2016-09-13 05:00:00;306,299842834473;346,333333333;11,5592369100768;;;;;;;;;;;;;
2016-09-13 06:00:00;344,482299804688;313,833333333;9,76600100001702;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0
2016-09-13 07:00:00;412,522636413574;362,833333333;13,6948010327845;;;;;;;;;;;;;
2016-09-13 08:00:00;497,133285522461;445,666666667;11,5482316055548;;;;;;;;;;;;;
2016-09-13 09:00:00;516,839538574219;503,833333333;2,58144993209938;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0
2016-09-13 10:00:00;528,913502693176;513,833333333;2,93483672270892;;;;;;;;;;;;;
2016-09-13 11:00:00;558,612022399902;545,5;2,40367046744314;;;;;;;;;;;;;
2016-09-13 12:00:00;596,295715332031;555,666666667;7,31176640641996;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0
2016-09-13 13:00:00;603,215430736542;576,5;4,63407298118677;;;;;;;;;;;;;
2016-09-13 14:00:00;618,752937316895;588,5;5,14068603515625;;;;;;;;;;;;;
2016-09-13 15:00:00;568,954895019531;563;1,05770781874445;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0
2016-09-13 16:00:00;483,610427856445;496,5;2,59608703797677;;;;;;;;;;;;;
2016-09-13 17:00:00;401,522262573242;449,333333333;10,6404460147908;;;;;;;;;;;;;
2016-09-13 18:00:00;513,414245605469;505,833333333;1,49869764859448;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;9,26;24,076;2;18;1
2016-09-13 19:00:00;560,034862518311;561,166666667;0,201687700984034;;;;;;;;;;;;;
2016-09-13 20:00:00;557,457366943359;542,333333333;2,78869703940417;;;;;;;;;;;;;
2016-09-13 21:00:00;541,928283691406;512,833333333;5,67337348555576;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;12,964;25,928;0;21;1
2016-09-13 22:00:00;650,776245117188;624,333333333;4,23538362800879;;;;;;;;;;;;;
2016-09-13 23:00:00;562,534543991089;550,666666667;2,15518353342888;;;;;;;;;;;;;
2016-09-14 00:00:00;512,987060546875;467,166666667;9,80814710235654;"September";"Wednesday";"East";17,5;1005,5;97;17;9;12,964;24,076;3;0;0
2016-09-14 01:00:00;442,66822052002;405,833333333;9,07635823910878;;;;;;;;;;;;;
2016-09-14 02:00:00;404,325721740723;362,5;11,5381301353718;;;;;;;;;;;;;
2016-09-14 03:00:00;407,7470703125;396,666666667;2,79337907029177;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;7,408;12,964;0;3;0
2016-09-14 04:00:00;396,56271648407;407,833333333;2,76353498543671;;;;;;;;;;;;;
2016-09-14 05:00:00;307,469543457031;330,833333333;7,06210273329741;;;;;;;;;;;;;
2016-09-14 06:00:00;338,071685791016;317,166666667;6,59117786358181;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;18;36;0;6;0
2016-09-14 07:00:00;410,12230682373;384,833333333;6,5714093089872;;;;;;;;;;;;;
2016-09-14 08:00:00;477,766143798828;458,833333333;4,12629359952965;;;;;;;;;;;;;
2016-09-14 09:00:00;524,330627441406;478,333333333;9,61615904706028;"September";"Wednesday";"East";18;1005,9;82;14,9;29;28,8;46,8;0;9;0
2016-09-14 10:00:00;556,58854675293;504;10,4342354668511;;;;;;;;;;;;;
2016-09-14 11:00:00;551,099487304688;492,333333333;11,9362533456454;;;;;;;;;;;;;
2016-09-14 12:00:00;592,3603515625;519,5;14,0250917348412;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;32,4;54;0;12;0
2016-09-14 13:00:00;600,505646705627;543,333333333;10,5225116636802;;;;;;;;;;;;;
2016-09-14 14:00:00;611,199188232422;573;6,66652499693226;;;;;;;;;;;;;
2016-09-14 15:00:00;513,982299804688;539;4,64150281916744;"September";"Wednesday";"South";20,4;1007,9;62;12,9;28;25,2;46,8;0;15;0
2016-09-14 16:00:00;424,032707214355;438,833333333;3,37272148545137;;;;;;;;;;;;;
2016-09-14 17:00:00;369,825210571289;380,5;2,80546371319604;;;;;;;;;;;;;
2016-09-14 18:00:00;487,858184814453;426;14,5207006606697;"September";"Wednesday";"East";18,6;1009,3;63;11,4;45;25,2;43,2;0;18;1
2016-09-14 19:00:00;532,441074371338;480,5;10,8097969555334;;;;;;;;;;;;;
2016-09-14 20:00:00;546,783580780029;471,833333333;15,8848987877956;;;;;;;;;;;;;
2016-09-14 21:00:00;556,951904296875;477,166666667;16,720622625879;"September";"Wednesday";"East";13,8;1010,5;89;12;60;3,6;10,8;0;21;1
2016-09-14 22:00:00;688,823532104492;607,166666667;13,4488386666123;;;;;;;;;;;;;
2016-09-14 23:00:00;699,804580688477;539,833333333;29,6334511927586;;;;;;;;;;;;;
2016-09-15 00:00:00;548,173889160156;445,333333333;23,092939182762;"September";"Thursday";"North";13,4;1010,4;89;11,6;60;10,8;14,4;0;0;0
2016-09-15 01:00:00;491,980876922607;393,166666667;25,1329063812269;;;;;;;;;;;;;
2016-09-15 02:00:00;406,90901184082;358,5;13,5032111131995;;;;;;;;;;;;;
2016-09-15 03:00:00;404,641876220703;383,833333333;5,42124434764773;"September";"Thursday";"East";12,7;1009,8;94;11,8;60;7,2;7,2;0;3;0
2016-09-15 04:00:00;379,319797515869;396,833333333;4,41332275946549;;;;;;;;;;;;;
2016-09-15 05:00:00;314,2861328125;316;0,542363034018987;;;;;;;;;;;;;
2016-09-15 06:00:00;348,373077392578;294;18,494244011081;"September";"Thursday";"North";13,8;1010,1;92;12,5;4,6;7,2;18;;6;0
2016-09-15 07:00:00;405,759864807129;357,5;13,499262883113;;;;;;;;;;;;;
2016-09-15 08:00:00;492,450439453125;459,166666667;7,24873454506733;;;;;;;;;;;;;
2016-09-15 09:00:00;592,512512207031;503;17,7957280729684;"September";"Thursday";"West";14;1010,8;98;13,7;2,9;7,2;14,4;9;9;0
2016-09-15 10:00:00;609,381872177124;525,5;15,9622972744289;;;;;;;;;;;;;
2016-09-15 11:00:00;645,326042175293;593,666666667;8,70174769931454;;;;;;;;;;;;;
2016-09-15 12:00:00;603,267395019531;615,5;1,98742566701361;"September";"Thursday";"West";16,4;1011,4;95;15,6;2;10,8;14,4;0;12;0
2016-09-15 13:00:00;567,367191314697;625,333333333;9,26963891551178;;;;;;;;;;;;;
2016-09-15 14:00:00;544,512538909912;658;17,2473345121714;;;;;;;;;;;;;
2016-09-15 15:00:00;571,946716308594;613;6,6971099007188;"September";"Thursday";"North";16,3;1011,8;91;14,8;19;10,8;18;1;15;0
2016-09-15 16:00:00;514,85542678833;522;1,36869218614366;;;;;;;;;;;;;
2016-09-15 17:00:00;449,516410827637;437;2,86416723744547;;;;;;;;;;;;;
2016-09-15 18:00:00;534,694580078125;485,5;10,132766236483;"September";"Thursday";"West";16,1;1012,8;94;15,1;18;7,2;10,8;;18;1
2016-09-15 19:00:00;559,467420578003;557;0,442983945781495;;;;;;;;;;;;;
2016-09-15 20:00:00;562,143041610718;533,166666667;5,43476866715218;;;;;;;;;;;;;
2016-09-15 21:00:00;542,206665039062;497,666666667;8,94976524555244;"September";"Thursday";"North";16,2;1014;96;15,6;10;14,4;25,2;0;21;1
2016-09-15 22:00:00;679,672424316406;616,5;10,2469463611365;;;;;;;;;;;;;
2016-09-15 23:00:00;583,196182250977;541,833333333;7,63386937889916;;;;;;;;;;;;;
2016-09-16 00:00:00;494,966979980469;442,5;11,8569446283545;"September";"Friday";"West";15,9;1014,7;95;15,1;16;18;28,8;0;0;0
2016-09-16 01:00:00;426,504180908203;412,5;3,39495294744318;;;;;;;;;;;;;
2016-09-16 02:00:00;376,572639465332;371,166666667;1,45648122092335;;;;;;;;;;;;;
2016-09-16 03:00:00;405,158416748047;412;1,66057845921192;"September";"Friday";"North";15,2;1015,4;92;13,9;40;21,6;32,4;0;3;0
2016-09-16 04:00:00;389,40229511261;407,166666667;4,36292383652287;;;;;;;;;;;;;
2016-09-16 05:00:00;325,386489868164;341,833333333;4,81136327591964;;;;;;;;;;;;;
2016-09-16 06:00:00;343,620300292969;328;4,76228667468559;"September";"Friday";"North";15,1;1016,8;92;13,8;15;18;36;;6;0
2016-09-16 07:00:00;408,290786743164;425,666666667;4,08203913637173;;;;;;;;;;;;;
2016-09-16 08:00:00;470,629409790039;461,833333333;1,90459973808273;;;;;;;;;;;;;
2016-09-16 09:00:00;527,062561035156;499,166666667;5,58849302867531;"September";"Friday";"North";16,4;1019;76;12,2;13;28,8;39,6;;9;0
2016-09-16 10:00:00;540,579992294312;506;6,83399057199832;;;;;;;;;;;;;
2016-09-16 11:00:00;551,484712600708;536,666666667;2,76112657149668;;;;;;;;;;;;;
2016-09-16 12:00:00;580,442687988281;524,833333333;10,5956217190187;"September";"Friday";"North";16,6;1020,4;68;10,7;16;25,2;46,8;0;12;0
2016-09-16 13:00:00;534,581829071045;564,5;5,29994170574935;;;;;;;;;;;;;
2016-09-16 14:00:00;512,382614135742;572,666666667;10,526900907664;;;;;;;;;;;;;
2016-09-16 15:00:00;494,889068603516;520,833333333;4,9812988280642;"September";"Friday";"North";16,7;1021,1;70;11,2;19;28,8;50,4;0;15;0
2016-09-16 16:00:00;471,588832855225;442,166666667;6,6540896015535;;;;;;;;;;;;;
2016-09-16 17:00:00;473,78281211853;386,666666667;22,5300376167556;;;;;;;;;;;;;
2016-09-16 18:00:00;478,624267578125;447,833333333;6,87553425645283;"September";"Friday";"North";14,5;1022,6;80;11,1;55;18;39,6;0;18;1
2016-09-16 19:00:00;522,411029815674;488,166666667;7,01489173410388;;;;;;;;;;;;;
2016-09-16 20:00:00;522,70178604126;493,5;5,9172818725957;;;;;;;;;;;;;
2016-09-16 21:00:00;554,933166503906;511,333333333;8,5266948834944;"September";"Friday";"North";13,3;1024,3;87;11,2;45;14,4;21,6;0;21;1
2016-09-16 22:00:00;690,745056152344;616,5;12,042993698677;;;;;;;;;;;;;
2016-09-16 23:00:00;717,524307250977;560,5;28,0150414363919;;;;;;;;;;;;;
2016-09-17 00:00:00;569,539123535156;461,333333333;23,4550123270739;"September";"Saturday";"North";12,2;1024,3;94;11,3;19;7,2;14,4;;0;0
