"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_evening"
2016-09-13 00:00:00;497,200622558594;435;14,2989936916307;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;444,41349029541;422,333333333;5,22813503451324;;;;;;;;;;;;;
2016-09-13 02:00:00;405,863822937012;376,166666667;7,89468044394826;;;;;;;;;;;;;
2016-09-13 03:00:00;413,901763916016;407,833333333;1,48796826718936;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;408,696303367615;399,5;2,30195328350807;;;;;;;;;;;;;
2016-09-13 05:00:00;323,518493652344;346,333333333;6,58753792512364;;;;;;;;;;;;;
2016-09-13 06:00:00;337,329467773438;313,833333333;7,48681925877721;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;398,445087432861;362,833333333;9,81490696368233;;;;;;;;;;;;;
2016-09-13 08:00:00;497,171630859375;445,666666667;11,5568356452513;;;;;;;;;;;;;
2016-09-13 09:00:00;576,222534179688;503,833333333;14,3676878954817;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;589,797190666199;513,833333333;14,7837542653094;;;;;;;;;;;;;
2016-09-13 11:00:00;623,703052520752;545,5;14,336031626169;;;;;;;;;;;;;
2016-09-13 12:00:00;577,144836425781;555,666666667;3,8652974970789;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;579,801595926285;576,5;0,572696604732834;;;;;;;;;;;;;
2016-09-13 14:00:00;595,458948135376;588,5;1,1824890629356;;;;;;;;;;;;;
2016-09-13 15:00:00;515,371398925781;563;8,45978704693051;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;464,880561828613;496,5;6,36846690259551;;;;;;;;;;;;;
2016-09-13 17:00:00;445,267280578613;449,333333333;0,904907883024418;;;;;;;;;;;;;
2016-09-13 18:00:00;545,427551269531;505,833333333;7,82752249157641;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;1
2016-09-13 19:00:00;613,701759338379;561,166666667;9,36176287579704;;;;;;;;;;;;;
2016-09-13 20:00:00;611,835433959961;542,333333333;12,815384258206;;;;;;;;;;;;;
2016-09-13 21:00:00;581,706970214844;512,833333333;13,4300234413822;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;1
2016-09-13 22:00:00;700,804634094238;624,333333333;12,2484731598418;;;;;;;;;;;;;
2016-09-13 23:00:00;661,357131958008;550,666666667;20,1011740843113;;;;;;;;;;;;;
