"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"Hour";"f_evening"
2016-09-13 00:00:00;497,209777832031;435;14,3010983521911;"September";"Tuesday";"South";18,3;1009;97;17,8;9;20,372;0;0
2016-09-13 01:00:00;442,585456848145;422,333333333;4,79529364999855;;;;;;;;;;;
2016-09-13 02:00:00;396,986503601074;376,166666667;5,53473733293463;;;;;;;;;;;
2016-09-13 03:00:00;414,40380859375;407,833333333;1,61106871943328;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;11,112;3;0
2016-09-13 04:00:00;414,488690912724;399,5;3,75186255637636;;;;;;;;;;;
2016-09-13 05:00:00;314,389488220215;346,333333333;9,22343939734819;;;;;;;;;;;
2016-09-13 06:00:00;347,553100585938;313,833333333;10,7444823960616;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;14,816;6;0
2016-09-13 07:00:00;408,75740814209;362,833333333;12,6570716056404;;;;;;;;;;;
2016-09-13 08:00:00;502,146728515625;445,666666667;12,6731627184554;;;;;;;;;;;
2016-09-13 09:00:00;520,043212890625;503,833333333;3,21730986919664;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;18,52;9;0
2016-09-13 10:00:00;522,319975614548;513,833333333;1,65163326919621;;;;;;;;;;;
2016-09-13 11:00:00;559,188175201416;545,5;2,50928967945298;;;;;;;;;;;
2016-09-13 12:00:00;593,465759277344;555,666666667;6,80247617462288;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;25,928;12;0
2016-09-13 13:00:00;595,576552867889;576,5;3,30902911845436;;;;;;;;;;;
2016-09-13 14:00:00;615,925075531006;588,5;4,66016576567644;;;;;;;;;;;
2016-09-13 15:00:00;585,809692382812;563;4,05145513016208;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;29,632;15;0
2016-09-13 16:00:00;505,210884094238;496,5;1,75445802502282;;;;;;;;;;;
2016-09-13 17:00:00;417,530166625977;449,333333333;7,07785609207278;;;;;;;;;;;
2016-09-13 18:00:00;533,3408203125;505,833333333;5,43805343911397;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;24,076;18;1
2016-09-13 19:00:00;599,384399414062;561,166666667;6,81040678592929;;;;;;;;;;;
2016-09-13 20:00:00;577,974643707275;542,333333333;6,57184579735045;;;;;;;;;;;
2016-09-13 21:00:00;571,383239746094;512,833333333;11,4169463269025;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;25,928;21;1
2016-09-13 22:00:00;699,944488525391;624,333333333;12,1107029138971;;;;;;;;;;;
2016-09-13 23:00:00;600,082361221313;550,666666667;8,97379441058419;;;;;;;;;;;
2016-09-14 00:00:00;500,298187255859;467,166666667;7,09201296942613;"September";"Wednesday";"East";17,5;1005,5;97;17;9;24,076;0;0
2016-09-14 01:00:00;446,854846954346;405,833333333;10,1079705021879;;;;;;;;;;;
2016-09-14 02:00:00;373,957359313965;362,5;3,16065084523168;;;;;;;;;;;
2016-09-14 03:00:00;404,521575927734;396,666666667;1,98022922539355;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;12,964;3;0
2016-09-14 04:00:00;391,193442344666;407,833333333;4,08007134981971;;;;;;;;;;;
2016-09-14 05:00:00;306,340698242188;330,833333333;7,40331539269637;;;;;;;;;;;
2016-09-14 06:00:00;344,281524658203;317,166666667;8,54908817378075;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;36;6;0
2016-09-14 07:00:00;415,650169372559;384,833333333;8,00783959452195;;;;;;;;;;;
