"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"vt_moy";"nebul";"Hour";"f_evening"
2016-09-13 00:00:00;532,114990234375;435;22,3252851113506;"September";"Tuesday";"South";18,3;1009;97;17,8;9;20,372;12,964;7;0;0
2016-09-13 01:00:00;471,385383605957;422,333333333;11,6145343977101;;;;;;;;;;;;;
2016-09-13 02:00:00;426,706588745117;376,166666667;13,4355131798154;;;;;;;;;;;;;
2016-09-13 03:00:00;401,250366210938;407,833333333;1,61413170136523;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;11,112;3,704;7;3;0
2016-09-13 04:00:00;399,186479330063;399,5;0,0784782653159284;;;;;;;;;;;;;
2016-09-13 05:00:00;309,897583007812;346,333333333;10,5204283903434;;;;;;;;;;;;;
2016-09-13 06:00:00;345,308898925781;313,833333333;10,0293889302649;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;14,816;5,556;8;6;0
2016-09-13 07:00:00;419,65470123291;362,833333333;15,6604596876332;;;;;;;;;;;;;
2016-09-13 08:00:00;511,59831237793;445,666666667;14,7939369583127;;;;;;;;;;;;;
2016-09-13 09:00:00;528,928283691406;503,833333333;4,98080390838694;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;18,52;11,112;8;9;0
2016-09-13 10:00:00;560,320779800415;513,833333333;9,04718387300263;;;;;;;;;;;;;
2016-09-13 11:00:00;580,596683502197;545,5;6,4338558207511;;;;;;;;;;;;;
2016-09-13 12:00:00;592,803833007812;555,666666667;6,68335327068811;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;25,928;14,816;;12;0
2016-09-13 13:00:00;596,995789051056;576,5;3,55521058994899;;;;;;;;;;;;;
2016-09-13 14:00:00;614,73521232605;588,5;4,45798000442647;;;;;;;;;;;;;
2016-09-13 15:00:00;566,394348144531;563;0,602903755689387;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;29,632;14,816;8;15;0
2016-09-13 16:00:00;480,117340087891;496,5;3,29962938813885;;;;;;;;;;;;;
2016-09-13 17:00:00;399,023574829102;449,333333333;11,1965337916771;;;;;;;;;;;;;
2016-09-13 18:00:00;515,913757324219;505,833333333;1,99283505592595;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;24,076;9,26;8;18;1
