"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"vt_moy";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;490,414001464844;435;12,7388509114583;"September";"South";18,3;1009;97;17,8;9;20,372;12,964;0;0;0
2016-09-13 01:00:00;423,839462280273;422,333333333;0,35662090306424;;;;;;;;;;;;
2016-09-13 02:00:00;397,419891357422;376,166666667;5,64994896510493;;;;;;;;;;;;
2016-09-13 03:00:00;417,169891357422;407,833333333;2,28930723933703;"September";"East";17,1;1007,4;98;16,8;0,4;11,112;3,704;3;0;0
2016-09-13 04:00:00;400,805574417114;399,5;0,326802106912205;;;;;;;;;;;;
2016-09-13 05:00:00;322,556846618652;346,333333333;6,86520309365848;;;;;;;;;;;;
2016-09-13 06:00:00;355,289276123047;313,833333333;13,209540984628;"September";"South";17,6;1008,1;99;17,4;5;14,816;5,556;6;0;0
2016-09-13 07:00:00;419,721923828125;362,833333333;15,6789868153911;;;;;;;;;;;;
2016-09-13 08:00:00;498,622665405273;445,666666667;11,8824230527077;;;;;;;;;;;;
2016-09-13 09:00:00;551,484558105469;503,833333333;9,45773564786642;"September";"North";20,1;1007,2;87;17,9;45;18,52;11,112;9;0;0
2016-09-13 10:00:00;567,8703956604;513,833333333;10,5164571509767;;;;;;;;;;;;
2016-09-13 11:00:00;581,622047424316;545,5;6,62182354249613;;;;;;;;;;;;
2016-09-13 12:00:00;608,636352539062;555,666666667;9,53263692957962;"September";"North";23,3;1005,8;76;18,8;40;25,928;14,816;12;0;0
2016-09-13 13:00:00;595,792531967163;576,5;3,34649296915231;;;;;;;;;;;;
2016-09-13 14:00:00;625,211486816406;588,5;6,23814559327209;;;;;;;;;;;;
2016-09-13 15:00:00;576,075500488281;563;2,32246900324711;"September";"North";18,8;1005,1;93;17,6;5;29,632;14,816;15;0;0
2016-09-13 16:00:00;492,378257751465;496,5;0,830159566673747;;;;;;;;;;;;
2016-09-13 17:00:00;405,874588012695;449,333333333;9,67182759354679;;;;;;;;;;;;
2016-09-13 18:00:00;538,861694335938;505,833333333;6,52949476170529;"September";"North";17,2;1005,1;98;16,9;3,9;24,076;9,26;18;1;0
2016-09-13 19:00:00;589,624950408936;561,166666667;5,07127123408114;;;;;;;;;;;;
2016-09-13 20:00:00;585,562107086182;542,333333333;7,97088637121232;;;;;;;;;;;;
2016-09-13 21:00:00;555,273010253906;512,833333333;8,27553011132931;"September";"East";17,2;1005,1;98;16,9;3;25,928;12,964;21;1;0
2016-09-13 22:00:00;675,888702392578;624,333333333;8,25766722791334;;;;;;;;;;;;
2016-09-13 23:00:00;583,353742599487;550,666666667;5,93590967296626;;;;;;;;;;;;
2016-09-14 00:00:00;483,073394775391;467,166666667;3,40493644845792;"September";"East";17,5;1005,5;97;17;9;24,076;12,964;0;0;0
2016-09-14 01:00:00;421,48796081543;405,833333333;3,85740307575587;;;;;;;;;;;;
2016-09-14 02:00:00;368,725326538086;362,5;1,71733145878233;;;;;;;;;;;;
2016-09-14 03:00:00;405,544250488281;396,666666667;2,23804634149759;"September";"East";16,2;1004;97;15,7;2,9;12,964;7,408;3;0;0
2016-09-14 04:00:00;386,815128326416;407,833333333;5,15362607436072;;;;;;;;;;;;
2016-09-14 05:00:00;313,778587341309;330,833333333;5,15508694963483;;;;;;;;;;;;
2016-09-14 06:00:00;330,379516601562;317,166666667;4,16590118798169;"September";"East";15,5;1004,6;94;14,5;45;36;18;6;0;0
2016-09-14 07:00:00;386,629501342773;384,833333333;0,466739196996538;;;;;;;;;;;;
2016-09-14 08:00:00;458,315002441406;458,833333333;0,112967139468386;;;;;;;;;;;;
2016-09-14 09:00:00;547,029907226562;478,333333333;14,3616530788036;"September";"East";18;1005,9;82;14,9;29;46,8;28,8;9;0;0
2016-09-14 10:00:00;553,660171031952;504;9,8532085380857;;;;;;;;;;;;
2016-09-14 11:00:00;551,346309185028;492,333333333;11,9863864289915;;;;;;;;;;;;
