"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;488,588409423828;435;12,3191745801904;"September";"Tuesday";"South";18,3;1009;97;17,8;9;20,372;0;0;0
2016-09-13 01:00:00;414,405181884766;422,333333333;1,87722607298515;;;;;;;;;;;;
2016-09-13 02:00:00;356,991668701172;376,166666667;5,09747398293606;;;;;;;;;;;;
2016-09-13 03:00:00;402,622009277344;407,833333333;1,27780728786118;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;11,112;3;0;0
2016-09-13 04:00:00;400,594491004944;399,5;0,273965207745644;;;;;;;;;;;;
2016-09-13 05:00:00;320,452262878418;346,333333333;7,47287886081047;;;;;;;;;;;;
2016-09-13 06:00:00;339,687622070312;313,833333333;8,23822264599256;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;14,816;6;0;0
2016-09-13 07:00:00;402,356422424316;362,833333333;10,8929046645896;;;;;;;;;;;;
2016-09-13 08:00:00;486,060531616211;445,666666667;9,06369445381766;;;;;;;;;;;;
2016-09-13 09:00:00;527,231323242188;503,833333333;4,64399402762878;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;18,52;9;0;0
2016-09-13 10:00:00;527,293975390494;513,833333333;2,61965138971831;;;;;;;;;;;;
2016-09-13 11:00:00;560,21605682373;545,5;2,69771894110549;;;;;;;;;;;;
2016-09-13 12:00:00;605,035705566406;555,666666667;8,88465007187343;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;25,928;12;0;0
2016-09-13 13:00:00;609,746943473816;576,5;5,76703269276946;;;;;;;;;;;;
2016-09-13 14:00:00;628,882648468018;588,5;6,86196235650256;;;;;;;;;;;;
2016-09-13 15:00:00;569,039245605469;563;1,07269016082926;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;29,632;15;0;0
2016-09-13 16:00:00;486,175743103027;496,5;2,07940723000456;;;;;;;;;;;;
2016-09-13 17:00:00;399,672760009766;449,333333333;11,0520563775826;;;;;;;;;;;;
2016-09-13 18:00:00;525,344299316406;505,833333333;3,85719261616194;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;24,076;18;1;0
2016-09-13 19:00:00;586,899208068848;561,166666667;4,58554346335;;;;;;;;;;;;
2016-09-13 20:00:00;575,273113250732;542,333333333;6,07371479737295;;;;;;;;;;;;
2016-09-13 21:00:00;543,154296875;512,833333333;5,91244007969184;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;25,928;21;1;0
2016-09-13 22:00:00;660,498405456543;624,333333333;5,79259030275957;;;;;;;;;;;;
2016-09-13 23:00:00;585,173721313477;550,666666667;6,26641428204402;;;;;;;;;;;;
2016-09-14 00:00:00;491,695159912109;467,166666667;5,25048018089729;"September";"Wednesday";"East";17,5;1005,5;97;17;9;24,076;0;0;0
2016-09-14 01:00:00;418,253517150879;405,833333333;3,06041490379198;;;;;;;;;;;;
2016-09-14 02:00:00;364,997009277344;362,5;0,688830145474138;;;;;;;;;;;;
2016-09-14 03:00:00;395,987030029297;396,666666667;0,171336967488043;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;12,964;3;0;0
2016-09-14 04:00:00;374,312303543091;407,833333333;8,21929622965343;;;;;;;;;;;;
2016-09-14 05:00:00;308,037391662598;330,833333333;6,89046095831495;;;;;;;;;;;;
2016-09-14 06:00:00;336,299041748047;317,166666667;6,03227800768053;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;36;6;0;0
2016-09-14 07:00:00;403,677795410156;384,833333333;4,89678529506434;;;;;;;;;;;;
2016-09-14 08:00:00;481,17155456543;458,833333333;4,86848265145934;;;;;;;;;;;;
2016-09-14 09:00:00;549,70947265625;478,333333333;14,9218409735121;"September";"Wednesday";"East";18;1005,9;82;14,9;29;46,8;9;0;0
2016-09-14 10:00:00;568,03505897522;504;12,7053688442896;;;;;;;;;;;;
2016-09-14 11:00:00;571,064022064209;492,333333333;15,9913382663363;;;;;;;;;;;;
2016-09-14 12:00:00;608,083923339844;519,5;17,0517658017024;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;54;12;0;0
2016-09-14 13:00:00;613,356382369995;543,333333333;12,8876777368782;;;;;;;;;;;;
2016-09-14 14:00:00;624,250616073608;573;8,94426109487058;;;;;;;;;;;;
2016-09-14 15:00:00;503,304565429688;539;6,62252960488173;"September";"Wednesday";"South";20,4;1007,9;62;12,9;28;46,8;15;0;0
2016-09-14 16:00:00;420,303520202637;438,833333333;4,22251723441945;;;;;;;;;;;;
2016-09-14 17:00:00;377,026809692383;380,5;0,912796401476265;;;;;;;;;;;;
2016-09-14 18:00:00;488,402069091797;426;14,6483730262434;"September";"Wednesday";"East";18,6;1009,3;63;11,4;45;43,2;18;1;0
2016-09-14 19:00:00;550,822998046875;480,5;14,6353794062175;;;;;;;;;;;;
2016-09-14 20:00:00;535,149124145508;471,833333333;13,4191008433527;;;;;;;;;;;;
2016-09-14 21:00:00;539,666809082031;477,166666667;13,0981786409335;"September";"Wednesday";"East";13,8;1010,5;89;12;60;10,8;21;1;0
2016-09-14 22:00:00;674,245452880859;607,166666667;11,0478374219856;;;;;;;;;;;;
2016-09-14 23:00:00;676,304565429688;539,833333333;25,2802529354934;;;;;;;;;;;;
2016-09-15 00:00:00;558,840637207031;445,333333333;25,488167037601;"September";"Thursday";"North";13,4;1010,4;89;11,6;60;14,4;0;0;0
2016-09-15 01:00:00;502,279541015625;393,166666667;27,7523207329883;;;;;;;;;;;;
2016-09-15 02:00:00;430,907516479492;358,5;20,197354666525;;;;;;;;;;;;
2016-09-15 03:00:00;388,632080078125;383,833333333;1,25021626012918;"September";"Thursday";"East";12,7;1009,8;94;11,8;60;7,2;3;0;0
2016-09-15 04:00:00;356,917316436768;396,833333333;10,0586350851573;;;;;;;;;;;;
2016-09-15 05:00:00;313,00072479248;316;0,949137723898586;;;;;;;;;;;;
2016-09-15 06:00:00;337,560272216797;294;14,8164191213595;"September";"Thursday";"North";13,8;1010,1;92;12,5;4,6;18;6;0;0
2016-09-15 07:00:00;392,663410186768;357,5;9,83591893336156;;;;;;;;;;;;
2016-09-15 08:00:00;476,188125610352;459,166666667;3,70703280072723;;;;;;;;;;;;
2016-09-15 09:00:00;579,54345703125;503;15,2173870837475;"September";"Thursday";"West";14;1010,8;98;13,7;2,9;14,4;9;0;0
2016-09-15 10:00:00;594,241143226624;525,5;13,0810929070644;;;;;;;;;;;;
2016-09-15 11:00:00;630,566375732422;593,666666667;6,21556020192047;;;;;;;;;;;;
2016-09-15 12:00:00;672,540161132812;615,5;9,26728856747563;"September";"Thursday";"West";16,4;1011,4;95;15,6;2;14,4;12;0;0
2016-09-15 13:00:00;651,013990402222;625,333333333;4,10671488313998;;;;;;;;;;;;
2016-09-15 14:00:00;646,899938583374;658;1,68693942501915;;;;;;;;;;;;
2016-09-15 15:00:00;583,951843261719;613;4,73868788552712;"September";"Thursday";"North";16,3;1011,8;91;14,8;19;18;15;0;0
2016-09-15 16:00:00;519,544700622559;522;0,470363865410231;;;;;;;;;;;;
2016-09-15 17:00:00;443,787963867188;437;1,55330980942506;;;;;;;;;;;;
2016-09-15 18:00:00;567,779357910156;485,5;16,9473445746975;"September";"Thursday";"West";16,1;1012,8;94;15,1;18;10,8;18;1;0
2016-09-15 19:00:00;609,154850006104;557;9,3635278287439;;;;;;;;;;;;
2016-09-15 20:00:00;614,927520751953;533,166666667;15,3349523135171;;;;;;;;;;;;
2016-09-15 21:00:00;530,998291015625;497,666666667;6,69758024419343;"September";"Thursday";"North";16,2;1014;96;15,6;10;25,2;21;1;0
2016-09-15 22:00:00;651,875381469727;616,5;5,73809918405946;;;;;;;;;;;;
2016-09-15 23:00:00;595,592224121094;541,833333333;9,92166547919904;;;;;;;;;;;;
2016-09-16 00:00:00;487,329559326172;442,5;10,1309738590219;"September";"Friday";"West";15,9;1014,7;95;15,1;16;28,8;0;0;0
2016-09-16 01:00:00;419,701972961426;412,5;1,74593283913352;;;;;;;;;;;;
2016-09-16 02:00:00;372,673522949219;371,166666667;0,405978342761755;;;;;;;;;;;;
2016-09-16 03:00:00;397,585235595703;412;3,4987292243439;"September";"Friday";"North";15,2;1015,4;92;13,9;40;32,4;3;0;0
2016-09-16 04:00:00;371,587163925171;407,166666667;8,73831422230045;;;;;;;;;;;;
2016-09-16 05:00:00;341,692329406738;341,833333333;0,0412493202131177;;;;;;;;;;;;
2016-09-16 06:00:00;338,485168457031;328;3,19669770031441;"September";"Friday";"North";15,1;1016,8;92;13,8;15;36;6;0;0
2016-09-16 07:00:00;410,286399841309;425,666666667;3,61321851817057;;;;;;;;;;;;
2016-09-16 08:00:00;467,657333374023;461,833333333;1,26106099769635;;;;;;;;;;;;
2016-09-16 09:00:00;507,332580566406;499,166666667;1,63590929537244;"September";"Friday";"North";16,4;1019;76;12,2;13;39,6;9;0;0
2016-09-16 10:00:00;534,596771240234;506;5,65153581822814;;;;;;;;;;;;
2016-09-16 11:00:00;536,661806106567;536,666666667;0,000905694490541506;;;;;;;;;;;;
2016-09-16 12:00:00;574,378479003906;524,833333333;9,44016748255402;"September";"Friday";"North";16,6;1020,4;68;10,7;16;46,8;12;0;0
2016-09-16 13:00:00;531,583457946777;564,5;5,83109690933971;;;;;;;;;;;;
2016-09-16 14:00:00;502,44702911377;572,666666667;12,2618691885663;;;;;;;;;;;;
2016-09-16 15:00:00;495,723358154297;520,833333333;4,82111523431409;"September";"Friday";"North";16,7;1021,1;70;11,2;19;50,4;15;0;0
2016-09-16 16:00:00;470,563407897949;442,166666667;6,4221804517741;;;;;;;;;;;;
2016-09-16 17:00:00;478,713815689087;386,666666667;23,805297160864;;;;;;;;;;;;
2016-09-16 18:00:00;477,148376464844;447,833333333;6,54597167068082;"September";"Friday";"North";14,5;1022,6;80;11,1;55;39,6;18;1;0
2016-09-16 19:00:00;520,245315551758;488,166666667;6,57124934477348;;;;;;;;;;;;
2016-09-16 20:00:00;516,599060058594;493,5;4,68066059951241;;;;;;;;;;;;
2016-09-16 21:00:00;560,917846679688;511,333333333;9,69710169753322;"September";"Friday";"North";13,3;1024,3;87;11,2;45;21,6;21;1;0
2016-09-16 22:00:00;697,599624633789;616,5;13,1548458448968;;;;;;;;;;;;
2016-09-16 23:00:00;697,904235839844;560,5;24,5145826654494;;;;;;;;;;;;
2016-09-17 00:00:00;601,712036132812;461,333333333;30,4289095664553;"September";"Saturday";"North";12,2;1024,3;94;11,3;19;14,4;0;0;1
2016-09-17 01:00:00;521,25560760498;397,666666667;31,0785266398684;;;;;;;;;;;;
2016-09-17 02:00:00;440,751480102539;363,333333333;21,3077468173239;;;;;;;;;;;;
2016-09-17 03:00:00;390,801361083984;398,666666667;1,97290273821298;"September";"Saturday";"West";12,6;1024,5;95;11,8;19;18;3;0;1
2016-09-17 04:00:00;378,608806610107;398,666666667;5,03123580021969;;;;;;;;;;;;
2016-09-17 05:00:00;341,453956604004;332,166666667;2,79597288620007;;;;;;;;;;;;
2016-09-17 06:00:00;334,896728515625;316;5,97997737836234;"September";"Saturday";"North";12,3;1024,7;96;11,7;18;18;6;0;1
2016-09-17 07:00:00;388,966464996338;369,166666667;5,3633765226149;;;;;;;;;;;;
2016-09-17 08:00:00;452,055168151855;452,166666667;0,0246587206364463;;;;;;;;;;;;
2016-09-17 09:00:00;546,4443359375;515,166666667;6,0713689945933;"September";"Saturday";"North";15,9;1025,3;79;12,3;35;28,8;9;0;1
2016-09-17 10:00:00;574,212636947632;510,833333333;12,4070414906375;;;;;;;;;;;;
2016-09-17 11:00:00;548,614200115204;534,833333333;2,57666564952554;;;;;;;;;;;;
