"dt_posix";"puissance";"reality";"mape";"Month";"f_weekend";"f_evening";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;510,737884521484;435;17,4110079359734;"September";0;0;18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;449,568141937256;422,333333333;6,44865239248872;;;;;;;;;;;;;
2016-09-13 02:00:00;391,934509277344;376,166666667;4,19171713167827;;;;;;;;;;;;;
2016-09-13 03:00:00;443,349639892578;407,833333333;8,7085345058293;"September";0;0;17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;432,196257591248;399,5;8,18429476626973;;;;;;;;;;;;;
2016-09-13 05:00:00;373,77027130127;346,333333333;7,922118758892;;;;;;;;;;;;;
2016-09-13 06:00:00;368,215057373047;313,833333333;17,3282179628586;"September";0;0;17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;435,056457519531;362,833333333;19,9053167257504;;;;;;;;;;;;;
2016-09-13 08:00:00;524,631958007812;445,666666667;17,7184647735423;;;;;;;;;;;;;
2016-09-13 09:00:00;581,571105957031;503,833333333;15,4292635046145;"September";0;0;20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;588,060509681702;513,833333333;14,4457689942426;;;;;;;;;;;;;
2016-09-13 11:00:00;617,957679748535;545,5;13,2828010538103;;;;;;;;;;;;;
2016-09-13 12:00:00;580,202880859375;555,666666667;4,41563542753935;"September";0;0;23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;571,620467185974;576,5;0,846406385780725;;;;;;;;;;;;;
2016-09-13 14:00:00;579,496668457985;588,5;1,52987791707988;;;;;;;;;;;;;
2016-09-13 15:00:00;563,337036132812;563;0,0598643219915631;"September";0;0;18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;501,756446838379;496,5;1,05870026956272;;;;;;;;;;;;;
2016-09-13 17:00:00;507,607440948486;449,333333333;12,9690150479665;;;;;;;;;;;;;
2016-09-13 18:00:00;554,404846191406;505,833333333;9,60227601814266;"September";0;1;17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;608,94896697998;561,166666667;8,5148144305825;;;;;;;;;;;;;
2016-09-13 20:00:00;616,419822692871;542,333333333;13,660692567901;;;;;;;;;;;;;
2016-09-13 21:00:00;587,594604492188;512,833333333;14,5780834239654;"September";0;1;17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;720,361083984375;624,333333333;15,3808463403245;;;;;;;;;;;;;
2016-09-13 23:00:00;657,459892272949;550,666666667;19,3934429066376;;;;;;;;;;;;;
2016-09-14 00:00:00;519,051147460938;467,166666667;11,1062035234892;"September";0;0;17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;454,662673950195;405,833333333;12,0318703779636;;;;;;;;;;;;;
2016-09-14 02:00:00;403,129203796387;362,5;11,2080562196929;;;;;;;;;;;;;
