"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;506,540618896484;435;16,4461192865481;"September";"Tuesday";"South";18,3;1009;97;17,8;9;12,964;20,372;0;0;0;0
2016-09-13 01:00:00;436,608947753906;422,333333333;3,38017705309807;;;;;;;;;;;;;;
2016-09-13 02:00:00;392,652656555176;376,166666667;4,38262912401271;;;;;;;;;;;;;;
2016-09-13 03:00:00;411,887512207031;407,833333333;0,994077370012565;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0;0
2016-09-13 04:00:00;405,956642150879;399,5;1,61618076367432;;;;;;;;;;;;;;
2016-09-13 05:00:00;314,738830566406;346,333333333;9,12257057746607;;;;;;;;;;;;;;
2016-09-13 06:00:00;343,915802001953;313,833333333;9,58549187540683;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0;0
2016-09-13 07:00:00;409,075973510742;362,833333333;12,7448709722879;;;;;;;;;;;;;;
2016-09-13 08:00:00;493,963348388672;445,666666667;10,8369517700005;;;;;;;;;;;;;;
2016-09-13 09:00:00;526,872985839844;503,833333333;4,57287181743811;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0;0
2016-09-13 10:00:00;548,832368850708;513,833333333;6,81135949096283;;;;;;;;;;;;;;
2016-09-13 11:00:00;574,073440551758;545,5;5,23802759885569;;;;;;;;;;;;;;
2016-09-13 12:00:00;597,278381347656;555,666666667;7,48861092032957;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0;0
2016-09-13 13:00:00;602,581629753113;576,5;4,52413352178886;;;;;;;;;;;;;;
2016-09-13 14:00:00;614,761684417725;588,5;4,46247823580707;;;;;;;;;;;;;;
2016-09-13 15:00:00;565,914611816406;563;0,517693040214254;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0;0
2016-09-13 16:00:00;472,133155822754;496,5;4,90772289571925;;;;;;;;;;;;;;
2016-09-13 17:00:00;398,454544067383;449,333333333;11,3231726852348;;;;;;;;;;;;;;
2016-09-13 18:00:00;520,075622558594;505,833333333;2,81560907260688;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;9,26;24,076;2;18;0;1
2016-09-13 19:00:00;578,387008666992;561,166666667;3,06866801306481;;;;;;;;;;;;;;
2016-09-13 20:00:00;570,131675720215;542,333333333;5,12569312610299;;;;;;;;;;;;;;
