"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_evening"
2016-09-13 00:00:00;527,08154296875;435;21,1681707974138;"September";"South";0;18,3;1009;97;17,8;9;12,964;20,372;0;0;0
2016-09-13 01:00:00;444,66837310791;422,333333333;5,28848613455275;;;;;;;;;;;;;
2016-09-13 02:00:00;406,351890563965;376,166666667;8,02442815160073;;;;;;;;;;;;;
2016-09-13 03:00:00;417,188049316406;407,833333333;2,29375953822981;"September";"East";0;17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0
2016-09-13 04:00:00;404,222744941711;399,5;1,1821639403533;;;;;;;;;;;;;
2016-09-13 05:00:00;327,832817077637;346,333333333;5,34182375035065;;;;;;;;;;;;;
2016-09-13 06:00:00;356,051696777344;313,833333333;13,4524790582226;"September";"South";0;17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0
2016-09-13 07:00:00;425,553062438965;362,833333333;17,2860989727209;;;;;;;;;;;;;
2016-09-13 08:00:00;510,755798339844;445,666666667;14,6048911756459;;;;;;;;;;;;;
2016-09-13 09:00:00;540,975830078125;503,833333333;7,37198082933832;"September";"North";0;20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0
2016-09-13 10:00:00;544,245917320251;513,833333333;5,91876431798984;;;;;;;;;;;;;
2016-09-13 11:00:00;586,2965965271;545,5;7,47875280056821;;;;;;;;;;;;;
2016-09-13 12:00:00;599,740417480469;555,666666667;7,93168880865789;"September";"North";0;23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0
2016-09-13 13:00:00;595,891445875168;576,5;3,36365062882356;;;;;;;;;;;;;
2016-09-13 14:00:00;606,452200889587;588,5;3,05050142558834;;;;;;;;;;;;;
2016-09-13 15:00:00;574,791259765625;563;2,09436230295293;"September";"North";0;18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0
2016-09-13 16:00:00;486,202476501465;496,5;2,07402285972511;;;;;;;;;;;;;
2016-09-13 17:00:00;409,286911010742;449,333333333;8,912408528699;;;;;;;;;;;;;
2016-09-13 18:00:00;552,584411621094;505,833333333;9,24238779995873;"September";"North";0;17,2;1005,1;98;16,9;3,9;9,26;24,076;2;18;1
2016-09-13 19:00:00;604,265727996826;561,166666667;7,68026040923088;;;;;;;;;;;;;
2016-09-13 20:00:00;599,981220245361;542,333333333;10,6296042247812;;;;;;;;;;;;;
2016-09-13 21:00:00;555,146606445312;512,833333333;8,25088198485667;"September";"East";0;17,2;1005,1;98;16,9;3;12,964;25,928;0;21;1
2016-09-13 22:00:00;661,964340209961;624,333333333;6,02739031665472;;;;;;;;;;;;;
2016-09-13 23:00:00;589,798244476318;550,666666667;7,10621873050146;;;;;;;;;;;;;
2016-09-14 00:00:00;521,301574707031;467,166666667;11,5879218066342;"September";"East";0;17,5;1005,5;97;17;9;12,964;24,076;3;0;0
2016-09-14 01:00:00;452,658241271973;405,833333333;11,5379649952389;;;;;;;;;;;;;
2016-09-14 02:00:00;402,282836914062;362,5;10,974575700431;;;;;;;;;;;;;
2016-09-14 03:00:00;429,710754394531;396,666666667;8,33044228424457;"September";"East";0;16,2;1004;97;15,7;2,9;7,408;12,964;0;3;0
2016-09-14 04:00:00;410,5491065979;407,833333333;0,665902721267501;;;;;;;;;;;;;
2016-09-14 05:00:00;346,437995910645;330,833333333;4,71677458266809;;;;;;;;;;;;;
2016-09-14 06:00:00;331,871795654297;317,166666667;4,63640430497574;"September";"East";0;15,5;1004,6;94;14,5;45;18;36;0;6;0
2016-09-14 07:00:00;367,952869415283;384,833333333;4,38643497212596;;;;;;;;;;;;;
2016-09-14 08:00:00;447,587219238281;458,833333333;2,45102377654782;;;;;;;;;;;;;
2016-09-14 09:00:00;509,392791748047;478,333333333;6,49326656761015;"September";"East";0;18;1005,9;82;14,9;29;28,8;46,8;0;9;0
2016-09-14 10:00:00;563,687316894531;504;11,8427216060578;;;;;;;;;;;;;
2016-09-14 11:00:00;554,033603668213;492,333333333;12,5322146923334;;;;;;;;;;;;;
2016-09-14 12:00:00;591,400634765625;519,5;13,8403531791386;"September";"South";0;20,2;1007,2;65;13,4;7;32,4;54;0;12;0
2016-09-14 13:00:00;577,327000617981;543,333333333;6,25650318128867;;;;;;;;;;;;;
2016-09-14 14:00:00;604,493921279907;573;5,49632134029795;;;;;;;;;;;;;
2016-09-14 15:00:00;503,808380126953;539;6,5290574903612;"September";"South";0;20,4;1007,9;62;12,9;28;25,2;46,8;0;15;0
2016-09-14 16:00:00;421,310600280762;438,833333333;3,99302690138661;;;;;;;;;;;;;
2016-09-14 17:00:00;376,658393859863;380,5;1,00962053617259;;;;;;;;;;;;;
2016-09-14 18:00:00;477,806915283203;426;12,1612477190618;"September";"East";0;18,6;1009,3;63;11,4;45;25,2;43,2;0;18;1
2016-09-14 19:00:00;526,036643981934;480,5;9,47692902849815;;;;;;;;;;;;;
2016-09-14 20:00:00;531,416442871094;471,833333333;12,6279991956487;;;;;;;;;;;;;
2016-09-14 21:00:00;520,616516113281;477,166666667;9,10580149065684;"September";"East";0;13,8;1010,5;89;12;60;3,6;10,8;0;21;1
2016-09-14 22:00:00;654,018890380859;607,166666667;7,71653423779858;;;;;;;;;;;;;
2016-09-14 23:00:00;675,95263671875;539,833333333;25,2150608309665;;;;;;;;;;;;;
2016-09-15 00:00:00;564,42041015625;445,333333333;26,7411100651211;"September";"North";0;13,4;1010,4;89;11,6;60;10,8;14,4;0;0;0
2016-09-15 01:00:00;498,598098754883;393,166666667;26,8159640748945;;;;;;;;;;;;;
2016-09-15 02:00:00;413,805084228516;358,5;15,4268017373823;;;;;;;;;;;;;
2016-09-15 03:00:00;410,229400634766;383,833333333;6,87696065179033;"September";"East";0;12,7;1009,8;94;11,8;60;7,2;7,2;0;3;0
2016-09-15 04:00:00;383,694292068481;396,833333333;3,31097217921787;;;;;;;;;;;;;
2016-09-15 05:00:00;321,115028381348;316;1,61867986751508;;;;;;;;;;;;;
2016-09-15 06:00:00;366,658599853516;294;24,7138094739849;"September";"North";0;13,8;1010,1;92;12,5;4,6;7,2;18;;6;0
2016-09-15 07:00:00;420,180397033691;357,5;17,5329781912423;;;;;;;;;;;;;
2016-09-15 08:00:00;494,260101318359;459,166666667;7,64285328159722;;;;;;;;;;;;;
2016-09-15 09:00:00;607,653015136719;503;20,8057684168427;"September";"West";0;14;1010,8;98;13,7;2,9;7,2;14,4;9;9;0
2016-09-15 10:00:00;621,009316444397;525,5;18,1749412834247;;;;;;;;;;;;;
2016-09-15 11:00:00;637,798223495483;593,666666667;7,43372658536642;;;;;;;;;;;;;
2016-09-15 12:00:00;613,053833007812;615,5;0,39742761855199;"September";"West";0;16,4;1011,4;95;15,6;2;10,8;14,4;0;12;0
2016-09-15 13:00:00;599,627551078796;625,333333333;4,11073276986418;;;;;;;;;;;;;
2016-09-15 14:00:00;590,477348327637;658;10,2618011660127;;;;;;;;;;;;;
2016-09-15 15:00:00;592,3408203125;613;3,3701761317292;"September";"North";0;16,3;1011,8;91;14,8;19;10,8;18;1;15;0
2016-09-15 16:00:00;530,829036712646;522;1,69138634341887;;;;;;;;;;;;;
2016-09-15 17:00:00;462,031997680664;437;5,72814592234876;;;;;;;;;;;;;
2016-09-15 18:00:00;581,123962402344;485,5;19,6959757780317;"September";"West";0;16,1;1012,8;94;15,1;18;7,2;10,8;;18;1
2016-09-15 19:00:00;609,017475128174;557;9,33886447543516;;;;;;;;;;;;;
2016-09-15 20:00:00;616,861698150635;533,166666667;15,6977239419036;;;;;;;;;;;;;
2016-09-15 21:00:00;532,151672363281;497,666666667;6,92933805015234;"September";"North";0;16,2;1014;96;15,6;10;14,4;25,2;0;21;1
2016-09-15 22:00:00;658,795547485352;616,5;6,86059164401485;;;;;;;;;;;;;
2016-09-15 23:00:00;593,143741607666;541,833333333;9,46977698087312;;;;;;;;;;;;;
2016-09-16 00:00:00;494,753448486328;442,5;11,808688923464;"September";"West";0;15,9;1014,7;95;15,1;16;18;28,8;0;0;0
2016-09-16 01:00:00;425,052810668945;412,5;3,04310561671402;;;;;;;;;;;;;
2016-09-16 02:00:00;388,48649597168;371,166666667;4,66632132141826;;;;;;;;;;;;;
2016-09-16 03:00:00;404,744384765625;412;1,76107165882888;"September";"North";0;15,2;1015,4;92;13,9;40;21,6;32,4;0;3;0
2016-09-16 04:00:00;379,763729095459;407,166666667;6,73015249402831;;;;;;;;;;;;;
2016-09-16 05:00:00;338,540748596191;341,833333333;0,963213477370587;;;;;;;;;;;;;
2016-09-16 06:00:00;330,852478027344;328;0,869657935165777;"September";"North";0;15,1;1016,8;92;13,8;15;18;36;;6;0
2016-09-16 07:00:00;374,230167388916;425,666666667;12,0837508092507;;;;;;;;;;;;;
2016-09-16 08:00:00;456,271034240723;461,833333333;1,20439532853439;;;;;;;;;;;;;
2016-09-16 09:00:00;553,96923828125;499,166666667;10,978812343415;"September";"North";0;16,4;1019;76;12,2;13;28,8;39,6;;9;0
2016-09-16 10:00:00;567,720663070679;506;12,1977595001341;;;;;;;;;;;;;
2016-09-16 11:00:00;586,463996887207;536,666666667;9,27900563108872;;;;;;;;;;;;;
2016-09-16 12:00:00;573,335754394531;524,833333333;9,24149019909089;"September";"North";0;16,6;1020,4;68;10,7;16;25,2;46,8;0;12;0
2016-09-16 13:00:00;522,631591796875;564,5;7,41690136459256;;;;;;;;;;;;;
2016-09-16 14:00:00;478,918800354004;572,666666667;16,3704073887558;;;;;;;;;;;;;
2016-09-16 15:00:00;498,721740722656;520,833333333;4,24542578118872;"September";"North";0;16,7;1021,1;70;11,2;19;28,8;50,4;0;15;0
2016-09-16 16:00:00;481,329858779907;442,166666667;8,85711091885662;;;;;;;;;;;;;
2016-09-16 17:00:00;490,727838993073;386,666666667;26,9123721532714;;;;;;;;;;;;;
2016-09-16 18:00:00;470,735382080078;447,833333333;5,11396696995054;"September";"North";0;14,5;1022,6;80;11,1;55;18;39,6;0;18;1
2016-09-16 19:00:00;511,021926879883;488,166666667;4,68185596712882;;;;;;;;;;;;;
2016-09-16 20:00:00;510,496814727783;493,5;3,44413672295506;;;;;;;;;;;;;
2016-09-16 21:00:00;566,205261230469;511,333333333;10,7311462641795;"September";"North";0;13,3;1024,3;87;11,2;45;14,4;21,6;0;21;1
2016-09-16 22:00:00;705,959014892578;616,5;14,5107891147734;;;;;;;;;;;;;
2016-09-16 23:00:00;726,213943481445;560,5;29,5653779627913;;;;;;;;;;;;;
2016-09-17 00:00:00;537,900939941406;461,333333333;16,5970245538573;"September";"North";1;12,2;1024,3;94;11,3;19;7,2;14,4;;0;0
2016-09-17 01:00:00;459,632415771484;397,666666667;15,5823342257584;;;;;;;;;;;;;
2016-09-17 02:00:00;381,561050415039;363,333333333;5,01680286662086;;;;;;;;;;;;;
2016-09-17 03:00:00;385,002593994141;398,666666667;3,42744297813912;"September";"West";1;12,6;1024,5;95;11,8;19;10,8;18;0;3;0
2016-09-17 04:00:00;376,830784797668;398,666666667;5,47722789364046;;;;;;;;;;;;;
2016-09-17 05:00:00;311,304801940918;332,166666667;6,28054131241178;;;;;;;;;;;;;
2016-09-17 06:00:00;321,24755859375;316;1,66061980814873;"September";"North";1;12,3;1024,7;96;11,7;18;3,6;18;0;6;0
2016-09-17 07:00:00;379,855205535889;369,166666667;2,8953152692223;;;;;;;;;;;;;
2016-09-17 08:00:00;451,326477050781;452,166666667;0,185814142915919;;;;;;;;;;;;;
2016-09-17 09:00:00;534,502563476562;515,166666667;3,75332840043029;"September";"North";1;15,9;1025,3;79;12,3;35;18;28,8;0;9;0
2016-09-17 10:00:00;555,008399963379;510,833333333;8,64764762748602;;;;;;;;;;;;;
2016-09-17 11:00:00;581,154003143311;534,833333333;8,66076718173999;;;;;;;;;;;;;
2016-09-17 12:00:00;568,28955078125;524,5;8,3488180707817;"September";"North";1;17,3;1025;67;11,1;25;18;28,8;0;12;0
2016-09-17 13:00:00;528,076068878174;567,333333333;6,91961183105451;;;;;;;;;;;;;
2016-09-17 14:00:00;478,364181518555;606,166666667;21,0837203984122;;;;;;;;;;;;;
2016-09-17 15:00:00;504,040863037109;556,666666667;9,4537371790166;"September";"North";1;16,2;1024,1;71;10,9;40;18;32,4;0;15;0
2016-09-17 16:00:00;475,861125946045;449;5,98243339555566;;;;;;;;;;;;;
2016-09-17 17:00:00;471,483840942383;401,666666667;17,3818691141888;;;;;;;;;;;;;
2016-09-17 18:00:00;444,979705810547;454;1,98684894040818;"September";"North";1;14,5;1024,2;82;11,5;55;7,2;21,6;0;18;1
2016-09-17 19:00:00;480,123043060303;489,666666667;1,94900414023638;;;;;;;;;;;;;
2016-09-17 20:00:00;487,172374725342;499,833333333;2,53303606688896;;;;;;;;;;;;;
2016-09-17 21:00:00;535,6767578125;517,666666667;3,47909036937961;"September";"West";1;12;1024,4;94;11,1;17;7,2;10,8;0;21;1
2016-09-17 22:00:00;679,76872253418;628,666666667;8,12864091206034;;;;;;;;;;;;;
2016-09-17 23:00:00;675,469772338867;571,333333333;18,2269146451449;;;;;;;;;;;;;
2016-09-18 00:00:00;567,232727050781;473,666666667;19,7535665834726;"September";"West";1;9,8;1024,2;97;9,3;6;7,2;7,2;0;0;0
2016-09-18 01:00:00;480,072677612305;430,833333333;11,4288613414335;;;;;;;;;;;;;
2016-09-18 02:00:00;413,364471435547;390,166666667;5,9456142080804;;;;;;;;;;;;;
2016-09-18 03:00:00;408,484710693359;418,5;2,39313961926897;"September";"West";1;10,1;1023,7;98;9,8;0,6;3,6;10,8;0;3;0
2016-09-18 04:00:00;406,943491101265;412,666666667;1,38687614678444;;;;;;;;;;;;;
2016-09-18 05:00:00;333,192985534668;348;4,25488921417587;;;;;;;;;;;;;
2016-09-18 06:00:00;327,887634277344;311,5;5,26087777763844;"September";"North";1;10,4;1023,4;99;10,2;0,3;3,6;10,8;0;6;0
2016-09-18 07:00:00;389,863914489746;359,833333333;8,34569184532856;;;;;;;;;;;;;
2016-09-18 08:00:00;460,490219116211;434,333333333;6,02230678048297;;;;;;;;;;;;;
2016-09-18 09:00:00;523,088928222656;515;1,57066567430218;"September";"North";1;15,2;1023,5;79;11,6;18;7,2;18;0;9;0
2016-09-18 10:00:00;534,131106376648;553;3,41209649608536;;;;;;;;;;;;;
2016-09-18 11:00:00;544,301103591919;582,333333333;6,53100682445957;;;;;;;;;;;;;
2016-09-18 12:00:00;557,174133300781;581,333333333;4,155825693618;"September";"West";1;18;1023,2;63;10,8;35;10,8;25,2;0;12;0
2016-09-18 13:00:00;528,436498641968;582;9,20335074880279;;;;;;;;;;;;;
2016-09-18 14:00:00;497,179706573486;572,166666667;13,1057897046554;;;;;;;;;;;;;
2016-09-18 15:00:00;491,685913085938;547,333333333;10,1670073533063;"September";"West";1;17,7;1023,2;62;10,3;50;10,8;25,2;0;15;0
2016-09-18 16:00:00;460,613739013672;451,333333333;2,05621987016516;;;;;;;;;;;;;
2016-09-18 17:00:00;446,245651245117;378,166666667;18,00237582496;;;;;;;;;;;;;
2016-09-18 18:00:00;442,810791015625;400,166666667;10,6565908409636;"September";"North";1;15,7;1023,5;75;11,3;55;3,6;14,4;0;18;1
2016-09-18 19:00:00;488,6350440979;445,166666667;9,76451758087634;;;;;;;;;;;;;
2016-09-18 20:00:00;470,594203948975;453,833333333;3,6931775136218;;;;;;;;;;;;;
2016-09-18 21:00:00;525,043151855469;450,5;16,5467595683615;"September";"North";1;14,2;1023,5;86;11,9;35;0;3,6;0;21;1
2016-09-18 22:00:00;682,432968139648;580,166666667;17,6270556976598;;;;;;;;;;;;;
2016-09-18 23:00:00;680,281875610352;527;29,0857448975999;;;;;;;;;;;;;
2016-09-19 00:00:00;547,28662109375;453,833333333;20,5919840824426;"September";"West";0;13,3;1023,3;93;12,2;14;3,6;7,2;0;0;0
2016-09-19 01:00:00;478,719665527344;406,166666667;17,8628638966641;;;;;;;;;;;;;
2016-09-19 02:00:00;399,798355102539;370,166666667;8,00495860482099;;;;;;;;;;;;;
2016-09-19 03:00:00;395,262969970703;391,166666667;1,0472015262973;"September";"South";0;13,6;1023;96;13;22;3,6;3,6;0;3;0
2016-09-19 04:00:00;387,462171077728;402,333333333;3,69622922666546;;;;;;;;;;;;;
2016-09-19 05:00:00;298,472091674805;317,5;5,9930419921875;;;;;;;;;;;;;
2016-09-19 06:00:00;318,950134277344;304,166666667;4,86031811846385;"September";"South";0;14,4;1022,9;95;13,6;16;7,2;10,8;0;6;0
2016-09-19 07:00:00;390,106430053711;350,333333333;11,3529296063032;;;;;;;;;;;;;
2016-09-19 08:00:00;457,129165649414;407,5;12,1789363556844;;;;;;;;;;;;;
2016-09-19 09:00:00;558,811279296875;476,166666667;17,3562364640848;"September";"South";0;15,7;1023,1;93;14,6;19;10,8;14,4;;9;0
2016-09-19 10:00:00;574,533452033997;529,166666667;8,57325077800971;;;;;;;;;;;;;
2016-09-19 11:00:00;580,975463867188;561,5;3,46847085791407;;;;;;;;;;;;;
2016-09-19 12:00:00;585,438720703125;581,833333333;0,619659817266174;"September";"West";0;16,2;1022,8;92;14,9;6;7,2;14,4;0;12;0
2016-09-19 13:00:00;552,965763092041;579,166666667;4,52389702013419;;;;;;;;;;;;;
2016-09-19 14:00:00;531,382495880127;567,166666667;6,30928665063508;;;;;;;;;;;;;
2016-09-19 15:00:00;569,885620117188;564,5;0,95405139365589;"September";"North";0;17;1022;86;14,6;40;14,4;21,6;0;15;0
2016-09-19 16:00:00;505,280502319336;485,833333333;4,0028478188026;;;;;;;;;;;;;
2016-09-19 17:00:00;422,922760009766;393;7,61393384472408;;;;;;;;;;;;;
2016-09-19 18:00:00;469,304809570312;457,5;2,58028624487705;"September";"North";0;15,2;1021,9;91;13,7;18;14,4;21,6;0;18;1
2016-09-19 19:00:00;499,099027633667;499,666666667;0,113603542361437;;;;;;;;;;;;;
2016-09-19 20:00:00;516,55318069458;473,666666667;9,05415496711116;;;;;;;;;;;;;
2016-09-19 21:00:00;524,696594238281;470;11,6375732421875;"September";"West";0;14,3;1021,8;96;13,7;7;10,8;21,6;0;21;1
2016-09-19 22:00:00;648,738777160645;583,166666667;11,2441458405728;;;;;;;;;;;;;
2016-09-19 23:00:00;650,362213134766;527,833333333;23,2135547461654;;;;;;;;;;;;;
2016-09-20 00:00:00;504,497772216797;440,166666667;14,6151697576103;"September";"North";0;14,2;1021;97;13,7;4,8;0;7,2;0;0;0
2016-09-20 01:00:00;428,762825012207;404,333333333;6,04191879947911;;;;;;;;;;;;;
2016-09-20 02:00:00;372,057037353516;379,666666667;2,00429218089843;;;;;;;;;;;;;
2016-09-20 03:00:00;394,712890625;399,833333333;1,28064427878389;"September";"East";0;13,3;1020,1;98;13;0,3;3,6;3,6;0;3;0
2016-09-20 04:00:00;391,645541667938;412,166666667;4,97884148783951;;;;;;;;;;;;;
2016-09-20 05:00:00;307,461067199707;330;6,82997963645241;;;;;;;;;;;;;
2016-09-20 06:00:00;309,450256347656;313,833333333;1,39662569899577;"September";"North";0;13,5;1020;99;13,3;7;7,2;10,8;0;6;0
2016-09-20 07:00:00;373,235221862793;372,833333333;0,107793079068398;;;;;;;;;;;;;
2016-09-20 08:00:00;446,00276184082;469,833333333;5,07213298876124;;;;;;;;;;;;;
2016-09-20 09:00:00;532,4072265625;491,666666667;8,28621557196048;"September";"North";0;14,5;1020,5;97;14;4,9;7,2;14,4;0;9;0
2016-09-20 10:00:00;550,709117889404;533,5;3,22570157252189;;;;;;;;;;;;;
2016-09-20 11:00:00;570,166458129883;541,833333333;5,22912177119044;;;;;;;;;;;;;
2016-09-20 12:00:00;553,060180664062;589,833333333;6,23449889838231;"September";"North";0;17;1019,9;86;14,6;50;7,2;14,4;0;12;0
2016-09-20 13:00:00;526,40559387207;614,166666667;14,2894555432644;;;;;;;;;;;;;
2016-09-20 14:00:00;490,898090362549;608,666666667;19,3486160412464;;;;;;;;;;;;;
2016-09-20 15:00:00;510,821624755859;568;10,0666153598839;"September";"North";0;18,1;1018,5;81;14,8;19;14,4;25,2;0;15;0
2016-09-20 16:00:00;428,715919494629;482,5;11,1469596902324;;;;;;;;;;;;;
2016-09-20 17:00:00;349,06071472168;412,333333333;15,3450166397829;;;;;;;;;;;;;
2016-09-20 18:00:00;465,263580322266;445,333333333;4,4753548628624;"September";"North";0;15,6;1018,6;91;14,1;12;14,4;21,6;0;18;1
2016-09-20 19:00:00;514,23014831543;494,5;3,989918769551;;;;;;;;;;;;;
2016-09-20 20:00:00;511,612777709961;507,666666667;0,777303554095535;;;;;;;;;;;;;
2016-09-20 21:00:00;522,899475097656;500,666666667;4,44064083168604;"September";"North";0;14,3;1018,9;98;14;1,6;7,2;10,8;;21;1
2016-09-20 22:00:00;667,869644165039;601;11,1263966996737;;;;;;;;;;;;;
2016-09-20 23:00:00;599,970291137695;536,333333333;11,8651879064142;;;;;;;;;;;;;
