"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"f_evening";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour"
2016-09-13 00:00:00;516,020141601562;435;18,6253199084052;"September";"South";0;0;18,3;1009;97;17,8;9;12,964;20,372;0;0
2016-09-13 01:00:00;433,65168762207;422,333333333;2,67995760593826;;;;;;;;;;;;;
2016-09-13 02:00:00;395,188705444336;376,166666667;5,05681137190582;;;;;;;;;;;;;
2016-09-13 03:00:00;418,480194091797;407,833333333;2,6105911137243;"September";"East";0;0;17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3
2016-09-13 04:00:00;405,591635704041;399,5;1,524814944691;;;;;;;;;;;;;
2016-09-13 05:00:00;328,543579101562;346,333333333;5,13659891187332;;;;;;;;;;;;;
2016-09-13 06:00:00;357,082244873047;313,833333333;13,7808533850535;"September";"South";0;0;17,6;1008,1;99;17,4;5;5,556;14,816;0;6
2016-09-13 07:00:00;426,427429199219;362,833333333;17,5270820026487;;;;;;;;;;;;;
2016-09-13 08:00:00;511,717544555664;445,666666667;14,8206906257176;;;;;;;;;;;;;
2016-09-13 09:00:00;538,096740722656;503,833333333;6,80054397413409;"September";"North";0;0;20,1;1007,2;87;17,9;45;11,112;18,52;0;9
2016-09-13 10:00:00;541,535873889923;513,833333333;5,39134749729634;;;;;;;;;;;;;
2016-09-13 11:00:00;584,571529388428;545,5;7,16251684480802;;;;;;;;;;;;;
2016-09-13 12:00:00;601,2998046875;555,666666667;8,21232237920924;"September";"North";0;0;23,3;1005,8;76;18,8;40;14,816;25,928;0;12
2016-09-13 13:00:00;597,586982011795;576,5;3,65775923881961;;;;;;;;;;;;;
2016-09-13 14:00:00;608,486173152924;588,5;3,39612118146535;;;;;;;;;;;;;
2016-09-13 15:00:00;574,988830566406;563;2,12945480753219;"September";"North";0;0;18,8;1005,1;93;17,6;5;14,816;29,632;0;15
2016-09-13 16:00:00;486,485107421875;496,5;2,01709820304632;;;;;;;;;;;;;
2016-09-13 17:00:00;409,662170410156;449,333333333;8,82889382556524;;;;;;;;;;;;;
2016-09-13 18:00:00;552,068481445312;505,833333333;9,14039171907934;"September";"North";0;1;17,2;1005,1;98;16,9;3,9;9,26;24,076;2;18
2016-09-13 19:00:00;603,758964538574;561,166666667;7,5899550706651;;;;;;;;;;;;;
2016-09-13 20:00:00;599,189155578613;542,333333333;10,4835566525473;;;;;;;;;;;;;
2016-09-13 21:00:00;566,984130859375;512,833333333;10,5591415391115;"September";"East";0;1;17,2;1005,1;98;16,9;3;12,964;25,928;0;21
2016-09-13 22:00:00;673,797988891602;624,333333333;7,92279587164356;;;;;;;;;;;;;
2016-09-13 23:00:00;602,770122528076;550,666666667;9,4618866575747;;;;;;;;;;;;;
2016-09-14 00:00:00;516,427917480469;467,166666667;10,5446844409776;"September";"East";0;0;17,5;1005,5;97;17;9;12,964;24,076;3;0
2016-09-14 01:00:00;447,288055419922;405,833333333;10,2147159146503;;;;;;;;;;;;;
2016-09-14 02:00:00;396,327209472656;362,5;9,3316439924569;;;;;;;;;;;;;
2016-09-14 03:00:00;433,450836181641;396,666666667;9,27332004569992;"September";"East";0;0;16,2;1004;97;15,7;2,9;7,408;12,964;0;3
2016-09-14 04:00:00;414,282333374023;407,833333333;1,58128321398334;;;;;;;;;;;;;
2016-09-14 05:00:00;350,256500244141;330,833333333;5,87098244166052;;;;;;;;;;;;;
2016-09-14 06:00:00;322,873504638672;317,166666667;1,79931833053049;"September";"East";0;0;15,5;1004,6;94;14,5;45;18;36;0;6
2016-09-14 07:00:00;359,002532958984;384,833333333;6,71220451469155;;;;;;;;;;;;;
2016-09-14 08:00:00;438,133804321289;458,833333333;4,51133941410664;;;;;;;;;;;;;
2016-09-14 09:00:00;510,322540283203;478,333333333;6,68763908367082;"September";"East";0;0;18;1005,9;82;14,9;29;28,8;46,8;0;9
2016-09-14 10:00:00;564,3957862854;504;11,9832909296429;;;;;;;;;;;;;
2016-09-14 11:00:00;556,133964538574;492,333333333;12,9588282746684;;;;;;;;;;;;;
2016-09-14 12:00:00;594,821838378906;519,5;14,4989101788077;"September";"South";0;0;20,2;1007,2;65;13,4;7;32,4;54;0;12
2016-09-14 13:00:00;580,420447349548;543,333333333;6,82584920550387;;;;;;;;;;;;;
2016-09-14 14:00:00;608,022908210754;573;6,11220038582101;;;;;;;;;;;;;
2016-09-14 15:00:00;502,566345214844;539;6,75949068370246;"September";"South";0;0;20,4;1007,9;62;12,9;28;25,2;46,8;0;15
2016-09-14 16:00:00;419,922889709473;438,833333333;4,30925414892709;;;;;;;;;;;;;
2016-09-14 17:00:00;376,539344787598;380,5;1,04090807159063;;;;;;;;;;;;;
2016-09-14 18:00:00;475,668518066406;426;11,6592765414099;"September";"East";0;1;18,6;1009,3;63;11,4;45;25,2;43,2;0;18
2016-09-14 19:00:00;523,538921356201;480,5;8,95711162459962;;;;;;;;;;;;;
2016-09-14 20:00:00;531,953002929688;471,833333333;12,7417173288725;;;;;;;;;;;;;
2016-09-14 21:00:00;520,100708007812;477,166666667;8,99770338961561;"September";"East";0;1;13,8;1010,5;89;12;60;3,6;10,8;0;21
2016-09-14 22:00:00;653,6591796875;607,166666667;7,65729009395682;;;;;;;;;;;;;
2016-09-14 23:00:00;677,981216430664;539,833333333;25,5908397217195;;;;;;;;;;;;;
2016-09-15 00:00:00;568,085266113281;445,333333333;27,5640567620598;"September";"North";0;0;13,4;1010,4;89;11,6;60;10,8;14,4;0;0
2016-09-15 01:00:00;502,358535766602;393,166666667;27,772412657781;;;;;;;;;;;;;
2016-09-15 02:00:00;417,703186035156;358,5;16,5141383640603;;;;;;;;;;;;;
2016-09-15 03:00:00;406,771575927734;383,833333333;5,97609446671845;"September";"East";0;0;12,7;1009,8;94;11,8;60;7,2;7,2;0;3
2016-09-15 04:00:00;380,145572662354;396,833333333;4,20523158437476;;;;;;;;;;;;;
2016-09-15 05:00:00;317,05704498291;316;0,334507905984227;;;;;;;;;;;;;
2016-09-15 06:00:00;366,560546875;294;24,6804581207483;"September";"North";0;0;13,8;1010,1;92;12,5;4,6;7,2;18;;6
2016-09-15 07:00:00;420,061405181885;357,5;17,4996937571706;;;;;;;;;;;;;
2016-09-15 08:00:00;493,585899353027;459,166666667;7,49602163760487;;;;;;;;;;;;;
2016-09-15 09:00:00;593,902465820312;503;18,0720607992669;"September";"West";0;0;14;1010,8;98;13,7;2,9;7,2;14,4;9;9
2016-09-15 10:00:00;607,075271606445;525,5;15,5233628175919;;;;;;;;;;;;;
2016-09-15 11:00:00;623,762500762939;593,666666667;5,06948356472587;;;;;;;;;;;;;
2016-09-15 12:00:00;608,380493164062;615,5;1,15670297903128;"September";"West";0;0;16,4;1011,4;95;15,6;2;10,8;14,4;0;12
2016-09-15 13:00:00;595,03059387207;625,333333333;4,84585385836022;;;;;;;;;;;;;
2016-09-15 14:00:00;586,546762466431;658;10,8591546403601;;;;;;;;;;;;;
2016-09-15 15:00:00;579,255920410156;613;5,5047438156352;"September";"North";0;0;16,3;1011,8;91;14,8;19;10,8;18;1;15
2016-09-15 16:00:00;517,685581207275;522;0,8265170101005;;;;;;;;;;;;;
2016-09-15 17:00:00;448,583160400391;437;2,65060878727474;;;;;;;;;;;;;
2016-09-15 18:00:00;544,310485839844;485,5;12,1133853429132;"September";"West";0;1;16,1;1012,8;94;15,1;18;7,2;10,8;;18
2016-09-15 19:00:00;572,227926254272;557;2,73391853757136;;;;;;;;;;;;;
2016-09-15 20:00:00;578,505218505859;533,166666667;8,50363585598582;;;;;;;;;;;;;
2016-09-15 21:00:00;534,343383789062;497,666666667;7,36973552351733;"September";"North";0;1;16,2;1014;96;15,6;10;14,4;25,2;0;21
2016-09-15 22:00:00;660,965278625488;616,5;7,2125350568513;;;;;;;;;;;;;
